SampleID,Condition,Treatment,Replicate,bamReads,bamControl,Peaks,PeakCaller
NPC_3m1,3m,1,1,../BAM/3m1_NPCs_H3K4me3_AGTCAA_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/3m1_NPCs_H3_CGATGT_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_3m2,3m,1,2,../BAM/3m2_NPCs_H3K4me3_AGTTCC_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/3m2_NPCs_H3_TGACCA_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_12m1,12m,1,1,../BAM/12m1_NPCs_H3K4me3_ATGTCA_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/12m1_NPCs_H3_ACAGTG_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_12m2,12m,1,2,../BAM/12m2_NPCs_H3K4me3_CCGTCC_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/12m2_NPCs_H3_GCCAAT_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_29m1,29m,1,1,../BAM/29m1_NPCs_H3K4me3_GTCCGC_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/29m1_NPCs_H3_CAGATC_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_29m2,29m,1,2,../BAM/29m2_NPCs_H3K4me3_GTGAAA_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/29m2_NPCs_H3_CTTGTA_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_3m5,3m,2,3,../BAM/3m5_NPCs_H3K4me3_CAGATC_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/3m5_NPCs_H3_ATCACG_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_3m6,3m,2,4,../BAM/3m6_NPCs_H3K4me3_ACTTGA_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/3m6_NPCs_H3_CGATGT_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_12m5,12m,2,3,../BAM/12m5_NPCs_H3K4me3_GATCAG_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/12m5_NPCs_H3_TTAGGC_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_12m6,12m,2,4,../BAM/12m6_NPCs_H3K4me3_TAGCTT_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/12m6_NPCs_H3_TGACCA_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_29m5,29m,2,3,../BAM/29m5_NPCs_H3K4me3_GGCTAC_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/29m5_NPCs_H3_ACAGTG_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
NPC_29m6,29m,2,4,../BAM/29m6_NPCs_H3K4me3_CTTGTA_trimmed.FIXSEQ_CLEANED_READS.bam,../BAM/29m6_NPCs_H3_GCCAAT_trimmed.FIXSEQ_CLEANED_READS.bam,../Peaks_intersecting_repeats/NSPCs_H3K4me3_Repeatmasker_mm9_25bp_extend.bed,bed
