Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_APICAL_JUNCTION	DOWN	1.41476058760428	5436	98	13027	98	0.000125847217591568	SHC1,MYH10,VCL,NLGN2,MYH9,CDH4,CDH6,ACTN4,CLDN4,FSCN1,CD34,PVRL2,NRXN2,MMP2,CNTN1,ACTG1,LIMA1,PTEN,THBS3,COL17A1,PVRL1,ATP1A3,MSN,CLDN19,EPB41L2,NFASC,PCDH1,LAYN,ITGB1,COL9A1,PIK3R3,MVD,TJP1,CADM2,ADAM23,CDH11,CALB2,ACTC1,NLGN3,SRC,CLDN14,CDH8,CD276,CADM3,NF1,JAM3,CTNNA1,ARPC2,MAP4K2,ADAM9,ZYX,ITGA3,PLCG1,JUP,BAIAP2,AMIGO1,DHX16,VAV2,PTK2,IRS1,CAP1,ACTB,ARHGEF6,TGFBI,PARVA,EXOC4,TUBG1,PPP2R2C,SORBS3,MAPK11,HRAS,TSC1,SPEG,PVRL4,CRAT,HADH,VCAN,EVL,WNK4,ACTN3,GAMT,CDK8,RSU1,AMH,AKT3,TAOK2,LDLRAP1,ACTN1,FYB,SDC3,CLDN7,WASL,GTF2F1,ICAM5,NEGR1,CD274,PVRL3,CLDN11,ZAK,CDH15,SYMPK,ITGA10,CLDN8,NRAP,MPZL1,CNN2,ADRA1B,RHOF,PDZD3,FLNC,TIAL1,ADAMTS5,SLIT2,PFN1,MPP5,SHROOM2,PKD1,SGCE,RASA1,LAMA3,VWF,CDH1,GNAI1,ITGA2,RAC2,AMIGO2,TMEM8B,CLDN15,TNFRSF11B,B4GALT1,TRO,CTNND1,MPZL2,PTPRC,MDK,MMP9,RRAS,PECAM1,EGFR,INPPL1,BMP1,VCAM1,PBX2,AKT2,NEXN,DLG1,CLDN5,LAMC2,SKAP2,ACTN2,VASP,ITGB4,TSPAN4,CRB3,GRB7,GNAI2,NF2,ITGA9,MAPK13,SYK,SIRPA,MAPK14,IKBKG,PIK3CB,PARD6G,MYL9	0.00104872681326307
HALLMARK_INFLAMMATORY_RESPONSE	UP	1.35277145348753	6443	93	13027	93	0.000509993421968113	SLC7A2,EMP3,PDE4B,IL18R1,CSF3R,C5AR1,ABI1,CHST2,MYC,ABCA1,PTAFR,ADORA2B,PLAUR,KCNA3,NLRP3,LCP2,TACR3,ITGB8,RASGRP1,IRF7,DCBLD2,SERPINE1,CDKN1A,CD82,TLR2,RAF1,NFKBIA,RELA,ATP2A2,TNFRSF1B,RHOG,CALCRL,CMKLR1,MARCO,IL18RAP,GPR183,IL12B,HAS2,SLC7A1,P2RX7,PTGIR,PIK3R5,TNFSF10,F3,SLC28A2,CD48,KLF6,CXCL10,HRH1,CD40,HPN,AHR,LYN,MET,SLC31A2,CD69,IL10RA,GPR132,ITGA5,LCK,SGMS2,MEP1A,EIF2AK2,RGS1,NMI,IL1R1,MXD1,EBI3,IFNAR1,GP1BA,OSMR,TNFSF15,APLNR,PTPRE,SLC4A4,HBEGF,TPBG,ATP2B1,EDN1,PTGER4,HIF1A,CYBB,TLR1,SEMA4D,SCARF1,LTA,GABBR1,OPRK1,MEFV,INHBA,IL7R,AQP9,CCL5,TAPBP,ADM,IRF1,PTGER2,VIP,SCN1B,IL15RA,RTP4,SPHK1,NPFFR2,P2RY2,AXL,NOD2,ATP2C1,IL2RB,BEST1,LDLR,ITGB3,CCR7,KIF1B,SLC1A2,TACR1,NFKB1,GCH1,FFAR2,EREG,KCNJ2,FPR1,FZD5,SRI,NDP,NMUR1,SLC11A2,SLC31A1,RIPK2,MMP14,ACVR1B,TNFAIP6,PSEN1,PCDH7,NAMPT,LPAR1,ACVR2A,CSF1,STAB1,GPC3	0.00392302632283164
HALLMARK_UV_RESPONSE_DN	DOWN	1.87908620472043	2085	40	13027	40	0.000727305245926013	LDLR,TGFBR2,ATRN,COL11A1,PMP22,ATRX,ZMIZ1,MAP1B,NRP1,DDAH1,NFIB,CDC42BPA,COL1A1,NOTCH2,KALRN,PRDM2,WDR37,ACVR2A,LPAR1,PTEN,ABCC1,CELF2,SIPA1L1,RXRA,FZD2,TGFBR3,RND3,PIK3R3,RGS4,LAMC1,TJP1,PTPRM,GRK5,COL1A2,SCN8A,MMP16,CYR61,NIPBL,PRKCA,PTGFR,ANXA4,MGLL,ARHGEF9,PAPD7,CACNA1A,VAV2,MAGI2,IRS1,ATP2B1,SLC22A18,SFMBT1,SNAI2,FYN,SCAF8,IGF1R,LTBP1,ANXA2,MYC,ATXN1,PRKAR2B,BCKDHB,AKT3,SLC7A1,SMAD3,RBPMS,EFEMP1,SRI,AMPH,AGGF1,CDON,MRPS31,ITGB3,MIOS,ADD3,APBB2,IGFBP5,CAP2,NR3C1,NFKB1,ID1,GJA1,ICA1,DYRK1A,ATP2C1,MET,CDK13,SMAD7,BMPR1A,PDLIM5,SYNE1,PIK3CD,NR1D2,CAV1,SCHIP1,FHL2,DLC1,ERBB2,MGMT,PHF3,VLDLR,DUSP1,TFPI,NEK7,PLCB4,FAM179B,CITED2,DLG1,BDNF,F3,CDKN1B,BHLHE40,INPP4B,SPOP,KIT,HAS2,KCNMA1,RUNX1,SDC2,MAP2K5,MTA1,SERPINE1,YTHDC1,MAPK14,ADORA2B,PRKCE,PDGFRB,ATP5S,RASA2,PEX14,PPARG,PTPN21,FBLN5,DAB2	0.00519503747090009
HALLMARK_KRAS_SIGNALING_UP	UP	1.32870876736111	6400	94	13027	94	0.00133519219990097	TFPI,SCG5,ANO1,CBX8,SNAP25,MAP7,SDCCAG8,TNFAIP3,SPON1,CFH,NR1H4,TPH1,ETV5,TNNT2,GUCY1A3,PLAUR,CBR4,LCP1,IL2RG,IL1RL2,ACE,HDAC9,DCBLD2,GLRX,SOX9,ANGPTL4,ATG10,MAFB,KLF4,MPZL2,TMEM158,ADAM8,TNFRSF1B,EPHB2,CXCR4,PLEK2,ARG1,GPNMB,CMKLR1,VWA5A,PECAM1,CCND2,PTBP2,TSPAN1,SLPI,ETV4,CTSS,PLVAP,IRF8,DUSP6,ID2,ADAM17,F2RL1,PIGR,TRIB1,NR0B2,TRIB2,AVL9,STRN,SLMO2,CXCL10,BTBD3,SCG3,IL10RA,CPE,YRDC,AKT2,TSPAN7,PSMB8,CFB,CBL,ITGB2,RBP4,EPB41L3,TLR8,RBM4,F13A1,MMP9,HBEGF,GPRC5B,PPBP,PLAU,USH1C,DOCK2,ETV1,IGFBP3,GADD45G,MTMR10,HSD11B1,TSPAN13,ETS1,PRDM1,INHBA,IL7R,CDADC1,USP12,NRP1,ITGBL1,ITGA2,SCN1B,APOD,FUCA1,PEG3,PLAT,FBXO4,WNT7A,FCER1G,CROT,TOR1AIP2,PRKG2,BMP2,MYCN,BIRC3,SPRY2,IGF2,KIF5C,PTCD2,PTPRR,AMMECR1,DNMBP,EREG,TMEM100,IKZF1,GABRA3,PTGS2,AKAP12,PRRX1,RELN,GALNT3,MMP11,WDR33,GFPT2,PCP4,JUP,ERO1L,CAB39L,BTC,MMD,NIN,SATB1,FLT4,BPGM,SNAP91,ALDH1A2	0.00890128133267313
HALLMARK_XENOBIOTIC_METABOLISM	UP	1.64192880654247	2679	52	13027	52	0.00179400678109787	APOE,NFS1,PROS1,POR,SSR3,F10,SLC6A6,KARS,PDLIM5,LPIN2,TPST1,PTS,ALDH2,KYNU,PEMT,UPB1,ARG2,BCAT1,CDO1,RAP1GAP,PTGES,GABARAPL1,FAH,PINK1,FAS,NINJ1,SERPINE1,SLC46A3,BPHL,GSTM4,MBL2,HNF4A,FBLN1,MPP2,CYP27A1,CYP17A1,FMO3,TGFB2,ANGPTL3,DDAH2,ESR1,ATP2A2,AP4B1,PPARD,DHRS1,EPHX1,ARG1,EPHA2,MTHFD1,GART,MARCH6,CBR1,FETUB,BLVRB,SAR1B,IRF8,LCAT,ID2,PTGDS,CAT,ATOH8,CCL25,TNFRSF1A,CD36,IGFBP1,ALDH9A1,DCXR,GNMT,PMM1,CFB,ARPP19,HACL1,IL1R1,SLC35D1,RBP4,CNDP2,NQO1,CYB5A,DHRS7,SLC12A4,VTN,LEAP2,PLG,FBP1,HSD11B1,COMT,MCCC2,PGD,AQP9,ABHD6,RETSAT,NPC1,ACP2,ABCC2,GCNT2,CSAD,G6PC,CYP1A1,TAT,ALAS1,TTPA,ECH1,TYR,XDH,CROT,DHPS,HMOX1,CASP6,IDH1,IGF1,PGRMC1,HGFAC,GCH1,PAPSS2,MAOA,DDT,DDC,TDO2,TMBIM6,LONP1,BCAR1,GCKR,NDRG2,PTGES3,ENTPD5,IGFBP4,UGDH,ENPEP,SLC35B1,SLC1A5,GAD1,ASL,GCLC,TMEM97,ACO2,GSS,ETFDH,ADH5,PTGR1,ABCD2,JUP,SMOX,SHMT2,ACOX3,ABCC3,NMT1,ACP1,ACOX1,GSR,ELOVL5,AOX1,CYFIP2,HES6,UPP1	0.0110128436526031
HALLMARK_P53_PATHWAY	UP	1.60681923305654	2735	56	13027	56	0.00187218342094253	RPL18,MAPKAPK3,CCNG1,CDKN2AIP,BLCAP,RPL36,F2R,CTSD,RPS12,GNB2L1,BAIAP2,TCN2,CTSF,DDB2,VAMP8,PITPNC1,MDM2,TOB1,DDIT4,EI24,EPS8L2,TM4SF1,ISCU,VDR,LDHB,TSC22D1,SESN1,PDGFA,WWP1,ZBTB16,SLC19A2,FAS,ATF3,NINJ1,ABHD4,FGF13,TNNI1,PERP,CDKN1A,CD82,PLK3,KLF4,JAG2,LRMP,ABCC5,GM2A,MKNK2,EPHX1,RNF19B,EPHA2,RAB40C,ZFP36L1,VWA5A,CCND2,FOS,ST14,FAM162A,BTG1,ADCK3,ITGB4,RAP2B,SAT1,CSRNP2,PLK2,IP6K2,KIF13B,CD81,SLC3A2,GADD45A,STOM,SEC61A1,DCXR,RHBDF2,PMM1,TGFB1,TXNIP,MXD1,SOCS1,IRAK1,SLC35D1,FOXO3,PPM1D,BAX,RRP8,NOTCH1,WRAP73,PTPRE,HBEGF,CASP1,SERTAD3,NDRG1,FBXW7,NUPR1,KRT17,TPD52L1,NUDT15,CGRRF1,INHBB,DRAM1,RCHY1,RETSAT,JUN,POLH,RXRA,SPHK1,RAD51C,CCNK,FDXR,FUCA1,CEBPA,IER3,BMP2,HRAS,TCHH,HMOX1,SLC7A11,NOL8,MXD4,POM121,TM7SF3,TGFA,CDK5R1,TRAFD1,HEXIM1,IFI30,RRAD,GPX2,DEF6,TRIAP1,XPC,HINT1,PLXNB2,AK1,ANKRA2,RAD9A,AEN,CDH13,PTPN14,TRAF4,DDIT3,PRMT2,SP1,DNTTIP2,PHLDA3,HSPA4L,ABAT,TAP1,ERCC5,HDAC3,IKBKAP,STEAP3,ACVR1B,PRKAB1,ZMAT3,APP,PCNA,TPRKB,TAX1BP3,NHLH2,APAF1,ADA,CYFIP2,S100A10,CCP110,UPP1,RB1	0.0110128436526031
HALLMARK_MYOGENESIS	DOWN	1.32277924909131	5814	98	13027	98	0.00256213615548651	COL4A2,IGF1,MYH9,RB1,ACHE,ERBB3,GNAO1,DES,NOTCH1,FABP3,TNNI2,TPM2,COL15A1,COL1A1,NCAM1,SVIL,SPARC,PVALB,COL6A3,SLC6A8,EPHB3,PDE4DIP,FDPS,CASQ1,ITGB1,TNNC2,SPTAN1,HRC,MYBPH,APP,FKBP1B,DMD,SH2B1,ACTC1,NAV2,RYR1,MYH4,CNN3,PLXNB2,MYLPF,BIN1,FST,PGAM2,MAPK12,MYO1C,IGFBP3,CACNG1,PDLIM7,MYH1,TNNT3,MYOM2,ATP6AP1,CAMK2B,MAPRE3,AGRN,MYL1,MRAS,KLF5,ADAM12,MYOZ1,PYGM,PKIA,SORBS3,MYH11,COX6A2,SPEG,APLNR,PPFIA4,SPHK1,CRAT,LDB3,ACSL1,ACTN3,CDH13,NQO1,CASQ2,LARGE,LSP1,APOD,CKM,CACNA1H,ADCY9,IFRD1,CAV3,KCNH1,AK1,LAMA2,MEF2C,VIPR1,AEBP1,SYNGR2,SIRT2,GSN,MYLK,AGL,CKB,CKMT2,BDKRB2,PPP1R3C,DAPK2,TEAD4,KIFC3,ATP2A1,TNNI1,SGCD,ABLIM1,PFKM,REEP1,GJA5,LPIN1,DTNA,SMTN,CHRNB1,SSPN,SCHIP1,MB,TNNC1,TPD52L1,MEF2D,CHRNG,SH3BGR,NOS1,CRYAB,HBEGF,SOD3,TNNT2,ENO3,MYL3,HSPB8,FLII,GABARAPL2,TGFB1,CSRP3,AKT2,COL6A2,PTGIS,TNNT1,TCAP,CD36,TSC2,MEF2A,ACTN2,GADD45B,BHLHE40,MYBPC3,ITGB4,CHRNA1,ST5,MYH7,SGCG,SORBS1,BAG1,CLU,PSEN2,GAA,FOXO4,CDKN1A,FGF2,PTP4A3,ITGA7,EIF4A2,HDAC5,STC2,TAGLN,PICK1,ITGB5	0.0135550766800765
HALLMARK_NOTCH_SIGNALING	DOWN	86.8466666666667	12	2	13027	2	0.00257546456921454	DLL1,TCF7L2,NOTCH1,NOTCH2,KAT2A,JAG1,CCND1,PRKCA,FZD7,ARRB1,HES1,DTX4,LFNG,FZD1,FZD5,RBX1,DTX2,MAML2,APH1A,PSENEN,CUL1,WNT5A,PPARD,PSEN2,FBXW11	0.0135550766800765
HALLMARK_SPERMATOGENESIS	DOWN	3.22813137378243	603	13	13027	13	0.0030001218140735	KIF2C,NEK2,CDK1,MAST2,BUB1,SNAP91,CCNB2,DBF4,TOPBP1,NCAPH,DCC,TTK,AURKA,VDAC3,NEFH,EZH2,STRBP,HOXB1,TLE4,PSMG1,MTNR1A,JAM3,IDE,PARP2,PIAS2,GPR182,CCT6B,HSPA4L,SLC12A2,RFC4,MTOR,GAD1,COIL,CHRM4,SHE,CAMK4,PRKAR2A,GRM8,RAD17,ACE,CLPB,POMC,MLLT10,NPHP1,GMCL1,SEPT4,AGFG1,GAPDHS,GFI1,TSN,CFTR,TEKT2,DDX4,CHFR,PEBP1,CNIH2,SIRT1,PHKG2,IL12RB2,MAP7,LPIN1,MEP1B,CLVS1,STAM2,IL13RA2,NOS1,ADCYAP1,HTR5A,SPATA6,ARL4A,PACRG,CSNK2A2,TALDO1,BRAF,SCG3,CRISP2,PGS1,ZC3H14,IP6K1,YBX2,NF2,HSPA1L,DMC1,IFT88,SLC2A5,MLF1,SCG5	0.0142863737135235
HALLMARK_HEME_METABOLISM	UP	1.66812608979948	2368	47	13027	47	0.00318806010852735	RBM5,HEBP1,MGST3,MARK3,RCL1,TOP1,EZH1,HAGH,SEC14L1,LPIN2,BNIP3L,ADD1,P4HA2,SIDT2,DCAF11,FOXJ2,EPB41,EPOR,MINPP1,ISCA1,YPEL5,KAT2B,FBXO7,OPTN,RAP1GAP,NCOA4,FTCD,ATP6V0A1,LAMP2,RIOK3,RNF19A,ADIPOR1,CIR1,CTSB,CTSE,ENDOD1,ARHGEF12,FBXO34,MPP1,ALDH6A1,PSMD9,GCLM,LRP10,MOSPD1,TMEM9B,UCP2,TSPAN5,BMP2K,UROS,MKRN1,BLVRB,PICALM,PPOX,MARCH8,SLC2A1,CAT,XK,ALDH1L1,ELL2,SNCA,CTNS,OSBP2,RANBP10,BACH1,C3,MBOAT2,NR3C1,FAM46C,NEK7,SDCBP,DAAM1,ACP5,CCDC28A,TMCC2,PQLC1,FOXO3,ARL2BP,ANK1,SLC10A3,LMO2,NFE2L1,TRAK2,NUDT4,PRDX2,FBXO9,TNS1,TAL1,SLC6A8,BLVRA,AQP3,SLC30A1,ABCG2,TNRC6B,IGSF3,KLF3,EIF2AK1,CPOX,CLCN3,RNF123,TYR,CAST,FECH,CDC27,TCEA1,ADD2,HTRA2,GLRX5,SLC7A11,KEL,MARCH2,BSG,GMPS,UBAC1,HTATIP2,CDR2,NNT,UROD,USP15,ACSL6,SELENBP1,AGPAT4,KLF1,MOCOS,MXI1,XPO7,HDGF,SLC6A9,DCAF10,GCLC,ALAD,SLC11A2,TFRC,NARF,RAD23A,PGLS,DCUN1D1,PPP2R5B,MFHAS1,SMOX,BCAM,GAPVD1,SLC30A10,HMBS,PIGQ,SLC25A38,VEZF1,ABCB6,RHAG,ASNS,ALAS2,GDE1,SYNJ1,BPGM,E2F2,H1F0	0.0142863737135235
