Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_FATTY_ACID_METABOLISM	UP	1.9629640600316	2532	41	14547	41	0.000164777382743342	PSME1,ADIPOR2,ECH1,GRHPR,ACADS,ODC1,HSD17B4,ALAD,ENO3,AADAT,ECI1,ACADVL,ECI2,GCDH,EPHX1,HSDL2,RETSAT,ALDH9A1,UROD,ECHS1,UROS,CPT2,G0S2,IDH3G,CBR1,HMGCL,DLD,SDHA,CPOX,S100A10,APEX1,SDHD,ADSL,SUCLA2,CBR3,HIBCH,UGDH,MLYCD,HSD17B10,FMO1,SDHC,LGALS1,EHHADH,PDHA1,NBN,ACO2,CCDC58,INMT,DLST,ACOX1,GSTZ1,PRDX6,ALDH3A1,D2HGDH,BPHL,SUCLG1,ELOVL5,MGLL,UBE2L6,ERP29,FABP1,ACSS1,AUH,FASN,TDO2,H2AFZ,ACSL5,BMPR1B,OSTC,ACAT2,SMS,IDI1,ALDH3A2,MAOA,HCCS,BCKDHB,ACOT8,AQP7,HSD17B7,IDH3B,CRYZ,CRAT,ALDH1A1,MDH2,NTHL1,CEL,RDH11,GABARAPL1,BLVRA,MDH1,HMGCS2,GLUL,AOC3,ACSM3,LTC4S,GPD2,HSP90AA1,IL4I1,PTS,METAP1,DHCR24,HPGD,PDHB,ACOT2,PTPRG,NCAPH2,LDHA,GAD2,SERINC1,ENO2,ALDOA,PCBD1,NSDHL,MIF,HSPH1,YWHAH,HMGCS1,RAP1GDS1,REEP6,GAPDHS	0.00117698130530959
HALLMARK_E2F_TARGETS	UP	1.38676291375108	6320	97	14547	97	0.000302166105329071	DUT,SRSF2,TMPO,WDR90,PAICS,CDC25A,PAN2,CDK4,RFC3,STAG1,HELLS,MCM6,DCLRE1B,LMNB1,POLD1,BRCA2,PRKDC,MCM4,DEK,POLA2,PCNA,BIRC5,SRSF1,NCAPD2,MSH2,HMGB2,SNRPB,AURKB,LIG1,CKS1B,RPA2,LBR,TIPIN,PA2G4,POLE,RPA3,TACC3,MLH1,CDC20,CDKN1A,RACGAP1,GINS4,RPA1,RFC1,TRIP13,CTCF,RFC2,MMS22L,SUV39H1,KPNA2,SSRP1,AURKA,BRCA1,ORC2,NBN,MRE11A,CENPE,PRDX4,ATAD2,POLE4,NUP205,ASF1B,RBBP7,KIF18B,XPO1,NUP107,EED,DNMT1,TBRG4,GINS3,RNASEH2A,MAD2L1,UBR7,PPM1D,TRA2B,CDCA8,RAD1,DSCC1,XRCC6,DIAPH3,SLBP,IPO7,MCM7,EZH2,CHEK2,ASF1A,PMS2,SPC25,PPP1R8,NUP153,SYNCRIP,RAD21,PLK4,EIF2S1,RANBP1,HUS1,POLD3,SPC24,H2AFZ,HMMR,USP1,DCTPP1,EXOSC8,PRIM2,SPAG5,LUC7L3,WEE1,CDKN1B,PTTG1,UBE2S,GINS1,RAD51AP1,CTPS,CDC25B,NAA38,POLD2,NOP56,PHF5A,PRPS1,CDCA3,RAD50,PSMC3IP,HNRNPD,CDKN2C,NUDT21,ORC6,DONSON,H2AFX,RAN,CENPM,CCNE1,CKS2,SMC3,STMN1,SMC1A,NOLC1,DCK,HN1,ZW10,ING3,HMGA1,PNN,PSIP1,CBX5,ANP32E,PDS5B,TCF19,NAP1L1,POP7,SMC6,RAD51C,ILF3,HMGB3,NME1,LYAR,KIF2C,TFRC,TUBG1,CDKN3,BRMS1L,NASP	0.00201444070219381
HALLMARK_KRAS_SIGNALING_UP	UP	4.46866680319476	257	12	14547	12	0.000400023740408595	GPNMB,LCP1,SEMA3B,CTSS,CFH,CFHR2,ITGB2,TMEM176A,TMEM176B,DOCK2,RELN,CMKLR1,LAPTM5,IRF8,CXCL10,IL1B,CD37,IL2RG,FCER1G,ANO1,G0S2,TRAF1,IL33,NR1H4,MALL,TLR8,TFPI,WDR33,APOD,KCNN4,NRP1,ETS1,CCND2,CAB39L,BTC,MPZL2,IKZF1,CROT,GYPC,MAP7,ATG10,MAFB,AKT2,FBXO4,PLAUR,EVI5,PLAU,PLAT,PTCD2,GNG11,IL10RA,F13A1,ARG1,MMP11,PRKG2,ST6GAL1,RBM4,BPGM,AVL9,CBR4,MTMR10,NIN,ADAM8,LAT2,ID2,HIST1H2BB,FUCA1,PRDM1,PPP1R15A,C3AR1,CBL,RGS16,ETV1,CSF2RA,MAP4K1,KLF4,LIF,TNFAIP3,YRDC,AMMECR1,TNNT2,SCN1B,TRIB1,CDADC1,SDCCAG8,TMEM100,ERO1L,STRN,USP12,PTPRR,RABGAP1L,GADD45G,PIGR,NGF,BIRC3,GFPT2,GUCY1A3,MAP3K1,SCG5,MMP9,HBEGF,F2RL1,BTBD3,CBX8,ITGBL1,RBP4,IL7R,SCG3,SPP1,GPRC5B,IL1RL2,PEG3,INHBA,FGF9,EPHB2,HKDC1,TMEM158,TSPAN13,PRRX1,EPB41L3,GLRX,GABRA3,JUP,MYCN,GALNT3,PLEK2,SNAP25,DNMBP,KIF5C,PTGS2,PCP4,SPRY2,PTBP2,TSPAN1,WNT7A,SPARCL1,SOX9,SPON1,AKAP12,SNAP91,ETV4,TSPAN7,TRIB2,DUSP6,DCBLD2,ACE,CPE,MMD,HDAC9,IGF2,ETV5,ALDH1A2	0.00250014837755372
HALLMARK_MYC_TARGETS_V2	UP	1.80989864136295	4637	30	14547	30	0.00164757063864629	SRM,DDX18,SLC29A2,NPM1,MAP3K6,CDK4,PUS1,TCOF1,GNL3,MYBBP1A,MCM4,PPAN,UTP20,GRWD1,HK2,PA2G4,PPRC1,NIP7,PHB,PRMT3,IMP4,WDR43,RCL1,NDUFAF4,NOP16,MRTO4,TBRG4,IPO4,NOP2,FARSA,TFB2M,PLK4,CBX3,MPHOSPH10,SUPV3L1,RRP12,DCTPP1,PES1,SORD,WDR74,NOP56,AIMP2,NOLC1,EXOSC5,RRP9,BYSL,SLC19A1,NOC4L,DUSP2,RABEPK,LAS1L,TMEM97	0.009691591992037
HALLMARK_INFLAMMATORY_RESPONSE	UP	2.17221469457733	1247	27	14547	27	0.00193607782264893	ICAM1,EIF2AK2,IRF7,CMKLR1,RTP4,NFKB1,NFKBIA,KCNMB2,GPR183,MSR1,CSF1,CXCL10,OLR1,FZD5,GCH1,CD48,TAPBP,IL1B,ITGB3,CD14,PTPRE,GNA15,OSMR,IL15RA,RELA,CYBB,CD82,SLC31A1,APLNR,IFITM1,LDLR,PIK3R5,CDKN1A,CD40,IL18R1,SERPINE1,MEFV,RGS1,LCK,NMI,PLAUR,ADM,TLR2,SLC11A2,CALCRL,PTGIR,P2RX4,IL10RA,RHOG,AHR,AXL,CCL5,TIMP1,NDP,HIF1A,F3,IFNAR1,PDPN,P2RX7,RAF1,HPN,ADRM1,IRAK2,RIPK2,CLEC5A,CXCR6,PVR,IL2RB,RNF144B,NLRP3,BTG2,C5AR1,C3AR1,IL1R1,RGS16,SLC31A2,PSEN1,CXCL9,LPAR1,PTAFR,ROS1,P2RY2,KCNJ2,EBI3,LIF,OSM,TNFSF9,SLC7A2,SELL,KIF1B,ACVR2A,SELE,LCP2,TACR1,NAMPT,IL18RAP,SLAMF1,EDN1,IFNGR2,AQP9,GP1BA,SCN1B,MEP1A,CSF3R,ATP2A2,HRH1,SRI,ADORA2B,CCRL2,SGMS2,HBEGF,OPRK1,PTGER4,ITGB8,SPHK1,BEST1,IL7R,ATP2C1,FPR1,KCNA3,ABI1,HAS2,INHBA,TNFRSF9,SLC4A4,CCL24,SEMA4D,KLF6,LAMP3,TNFAIP6,TNFSF15,PDE4B,VIP,CD55,PTGER2,ACVR1B,RASGRP1,ATP2B1,PCDH7,CHST2,TPBG,DCBLD2,TACR3,MXD1,CX3CL1	0.010438243274332
HALLMARK_HEME_METABOLISM	UP	1.55047351132234	3577	61	14547	61	0.00198326622212308	C3,LAMP2,ACP5,CTSE,ALAS2,ABCG2,CTSB,OPTN,CCND3,BNIP3L,ALAD,DCAF10,BCAM,SLC22A4,UROD,VEZF1,MOCOS,UROS,KHNYN,SLC25A37,PICALM,GCLC,SELENBP1,KAT2B,MYL4,SPTA1,EPB41,EIF2AK1,LRP10,CPOX,FOXO3,MARCH8,SLC4A1,TFDP2,ALDH6A1,ARHGEF12,NCOA4,FBXO7,PRDX2,HTRA2,PGLS,BMP2K,ENDOD1,ATG4A,GYPC,MOSPD1,GLRX5,CAT,ADIPOR1,HMBS,RAD23A,CAST,GDE1,KLF3,P4HA2,EZH1,TNRC6B,MINPP1,RCL1,SLC11A2,FECH,SLC6A8,MARCH2,FOXJ2,RHD,CTNS,GMPS,TCEA1,RBM5,MARK3,DCAF11,BPGM,E2F2,SEC14L1,TAL1,RIOK3,GAPVD1,SLC10A3,BTG2,SDCBP,DAAM1,XPO7,BACH1,TYR,NEK7,TOP1,RBM38,RNF123,HTATIP2,PSMD9,LMO2,TMEM9B,BSG,BLVRB,FN3K,NFE2L1,EPB42,HAGH,HEBP1,PIGQ,XK,NR3C1,SPTB,BLVRA,KLF1,CDC27,UBAC1,SLC25A38,HDGF,ABCB6,CIR1,MAP2K3,AQP3,SLC6A9,RAP1GAP,EPOR,USP15,CLCN3,RANBP10,GCLM,PPP2R5B,ISCA1,ANK1,PPOX,CCDC28A,MGST3,TRAK2,LPIN2,FTCD,SLC7A11,MFHAS1,SYNJ1,PQLC1,DCUN1D1,SLC2A1,ARL2BP,FBXO9,OSBP2,ADD1,TSPAN5,ASNS,ATP6V0A1,AGPAT4,MKRN1,SLC30A1,NARF,BTRC,TMCC2,SMOX,RNF19A,NUDT4,TFRC,FAM46C,SLC30A10,ADD2,ELL2,SNCA,IGSF3,FBXO34,CDR2	0.010438243274332
HALLMARK_MYOGENESIS	UP	1.75120884412432	2167	42	14547	42	0.00303280544055462	BHLHE40,DES,MYL7,MYBPC3,CNN3,CRYAB,MYL1,CASQ1,TAGLN,BDKRB2,TNNT3,MYL2,LDB3,ENO3,MYH7,NOS1,MYLPF,ACTC1,CKM,CKMT2,TNNI2,MB,TGFB1,TEAD4,DAPK2,IGFBP7,ADCY9,ACTA1,SORBS3,MYL4,LSP1,SGCG,TNNC1,MYL3,ITGB4,APOD,APLNR,PLXNB2,GPX3,GADD45B,MYOM1,COL15A1,CDKN1A,PTP4A3,CSRP3,GSN,IFRD1,FXYD1,FGF2,AKT2,NQO1,COX7A1,AEBP1,ATP2A1,SYNGR2,SPARC,TPM2,SLC6A8,FHL1,SGCD,FLII,SVIL,NAV2,AGL,CTF1,PSEN2,SORBS1,CHRNA1,ACTN3,CHRNB1,MYH8,PGAM2,NOTCH1,HSPB8,MAPK12,SSPN,PTGIS,PVALB,TNNC2,MYOZ1,GABARAPL2,TNNT1,SH3BGR,GAA,EIF4A2,STC2,OCEL1,RIT1,SH2B1,MRAS,MYH9,RB1,VIPR1,FOXO4,KIFC3,LPIN1,ERBB3,MYH11,PDLIM7,BIN1,KLF5,COX6A2,RYR1,CRAT,SGCA,FST,MYL6B,EFS,TNNT2,ADAM12,TPM3,CLU,PYGM,IGF1,DMPK,BAG1,MYH3,SCHIP1,PRNP,HBEGF,TSC2,MEF2A,SPHK1,TPD52L1,AK1,ST5,ATP6AP1,ITGA7,ACTN2,PPP1R3C,CASQ2,DMD,GJA5,ABLIM1,KCNH1,HDAC5,KCNH2,MEF2D,MYBPH,SIRT2,SPTAN1,ACHE,PICK1,PPFIA4,HRC,CDH13,PFKM,PKIA,EPHB3,FKBP1B,AGRN,FDPS,APP,GNAO1,FABP3,NCAM1,SPEG,REEP1,CKB,MAPRE3,MEF2C	0.0151640272027731
HALLMARK_KRAS_SIGNALING_DN	DOWN	1.31681451825438	6662	79	14547	79	0.00967094184505701	STAG3,RIBC2,YBX2,DLK2,SLC30A3,SLC16A7,SPTBN2,ARPP21,KCNQ2,HTR1B,NGB,CELSR2,SSTR4,KCNN1,EPHA5,FAM46C,SYNPO,CHST2,GPR19,BRDT,YPEL1,SLC25A23,SNCB,SIDT1,CAMK1D,WNT16,EFHD1,SNN,CYP39A1,PAX3,THRB,CNTFR,SHOX2,DCC,KCNE2,PTPRJ,ADRA2C,NR4A2,GPRC5C,CLSTN3,MAST3,PDK2,ABCG4,KCND1,GPR3,CCDC106,TGFB2,MTHFR,HTR1D,GRID2,PTGFR,PKP1,TG,FGF22,CD40LG,SKIL,P2RX6,FGFR3,COL2A1,NUDT11,ITGB1BP2,DTNB,MFSD6,MAGIX,CDKAL1,KLK8,RYR2,GP1BA,EDN1,CCNA1,SLC5A5,ATP4A,RYR1,KCNMB1,NPHS1,CALCB,ZFP112,SERPINA10,SOX10,CDH16,GTF3C5,LFNG,EDAR,NR6A1,CPEB3,SLC12A3,BMPR1B,PARK2,CPA2,SMPX,BTG2,PRODH,NTF3,MYOT,TSHB,ATP6V1B1,TFAP2B,TEX15,ABCB11,SPHK2,GAMT,ASB7,NRIP2,TCF7L1,OXT,H2AFY2,HNF1A,ENTPD7,TFCP2L1,MX1,MEFV,PLAG1,TNNI3,THNSL2,CPB1,ZBTB16,SLC6A3,COPZ2,CD80,P2RY4,CKM,ACTC1,ITIH3,FGGY,NOS1,MYH7,SLC29A3,CACNA1F,RSAD2,IDUA,SGK1	0.046052104024081
HALLMARK_ADIPOGENESIS	UP	1.48580606899278	6030	93	14547	93	1.30652217747995e-05	C3,CYP4B1,ADIPOR2,ECH1,ACADS,LIFR,STAT5A,DRAM2,SDPR,PQLC3,PTCD3,FAH,MCCC1,BCKDHA,BCL6,RETSAT,ATP1B3,ADIPOQ,ECHS1,CPT2,ESYT1,IDH3G,QDPR,PGM1,TANK,DGAT1,DLD,TKT,PFKFB3,TALDO1,APOE,IFNGR1,BAZ2A,TOB1,GPX3,HIBCH,ETFB,COL15A1,CD302,SLC25A10,COQ9,UQCR10,SDHC,CAT,CHUK,VEGFB,DBT,NDUFB7,ACO2,GRPEL1,POR,SOD1,CD151,RAB34,PEX14,DDT,GHITM,IMMT,UQCRC1,PPP1R15B,ACOX1,UCK1,MAP4K3,COQ3,DHRS7,ACLY,OMD,ELMOD3,CCNG2,GBE1,SORBS1,PTRF,ITIH5,SDHB,COX7B,BCL2L13,NDUFS3,ABCB8,SLC27A1,CS,PHLDB1,REEP5,DNAJB9,CYC1,SUCLG1,JAGN1,HSPB8,MGLL,SSPN,RIOK3,PDCD4,GPAM,PREB,SAMM50,NDUFAB1,ATP5O,SNCG,ARAF,CMPK1,ANGPT1,COQ5,SLC25A1,CRAT,DHRS7B,NDUFA5,MDH2,GPX4,CDKN2C,PTGER3,MTCH2,PPM1B,PEMT,PFKL,LTC4S,GPD2,PIM3,EPHX2,UBQLN1,APLP2,LPCAT3,NMT1,TST,SQRDL,CHCHD10,DLAT,COX6A1,GADD45A,GPHN,G3BP2,MGST3,ITSN1,ENPP2,MRPL15,RNF11,ITGA7,SLC19A1,ATL2,UQCRQ,NKIRAS1,ARL4A,ALDOA,UQCR11,ESRRA,COX8A,SPARCL1,ELOVL6,IDH3A,AGPAT3,YWHAG,RTN3,REEP6	0.000130652217747995
HALLMARK_IL6_JAK_STAT3_SIGNALING	UP	2.57539799013236	3407	38	14547	38	1.42367549971212e-08	A2M,PTPN11,IL10RB,CSF2RB,MAP3K8,IL17RB,IRF9,CD44,CRLF2,CSF1,CXCL10,STAT3,IL1B,ITGB3,IL6ST,CD14,IL2RG,STAT2,OSMR,IL15RA,TGFB1,IL13RA1,CD9,IL9R,HMOX1,CCR1,IFNGR1,FAS,MYD88,PIK3R5,ITGA4,IL18R1,TNFRSF12A,SOCS1,PTPN1,TYK2,PDGFC,TLR2,ACVRL1,HAX1,JUN,CXCL13,IFNAR1,IL17RA,LTB,CBL,IL1R1,DNTT,IL3RA,CXCL9,PTPN2,CSF2RA,EBI3,STAM2,BAK1,IFNGR2,IL7,CSF3R,CD38,CNTFR,GRB2,ACVR1B,TNFRSF21	3.5591887492803e-07
