Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_E2F_TARGETS	DOWN	1.3232258122275	8274	122	16961	122	0.000223608595565139	MKI67,RRM2,TOP2A,MELK,DLGAP5,CDK1,H2AFX,HMGA1,HN1,AURKB,PLK4,UBE2S,SNRPB,POP7,ORC6,CTCF,PA2G4,CCNB2,DCLRE1B,XRCC6,E2F8,DCTPP1,PPM1D,SLBP,CDKN1B,STMN1,DEK,H2AFZ,ASF1B,MCM7,MYBL2,HMMR,RPA1,PHF5A,CCNE1,CDCA8,SPC24,MCM4,ILF3,SPC25,DUT,CHEK2,POLD1,PPP1R8,ESPL1,CDC25B,CDC20,BIRC5,DSCC1,NOLC1,RBBP7,MCM2,IPO7,ANP32E,KIF18B,PRDX4,DNMT1,UBR7,MCM6,RAD51C,RAD21,BRMS1L,CKS1B,MAD2L1,TMPO,RFC2,DCK,GINS3,TBRG4,SSRP1,GINS1,TRIP13,NUDT21,PTTG1,CBX5,STAG1,TK1,SMC1A,TIMELESS,NUP153,BRCA2,USP1,XPO1,NOP56,PSIP1,TFRC,SYNCRIP,KIF22,HMGB3,TRA2B,RNASEH2A,NME1,CDC25A,RPA3,RAD1,RANBP1,PDS5B,CHEK1,SHMT1,CENPM,PSMC3IP,UBE2T,CDKN1A,POLD2,HNRNPD,PAICS,CENPE,RAD51AP1,CDK4,TUBG1,SUV39H1,CSE1L,CKS2,BARD1,BUB1B,CCP110,NAA38,CDKN3,LIG1,EIF2S1,KIF2C,LMNB1,MXD3,HMGB2,PLK1,POLD3,CIT,GSPT1,TACC3,NBN,PRKDC,RFC3,NCAPD2,MTHFD2,PCNA,ASF1A,CTPS,SRSF1,MCM3,WEE1,NAP1L1,RFC1,NUP205,PRIM2,TCF19,POLE4,EED,NUP107,DONSON,SMC3,PMS2,AURKA,CDCA3,MLH1,RQCD1,POLA2,ING3,WDR90,POLE,EXOSC8,PNN,MSH2,NASP,MRE11A,RPA2,ZW10,SPAG5,SRSF2,LYAR,ORC2,CDKN2C,AK2,MMS22L,HUS1,ATAD2,EZH2,HELLS,MCM5,SMC4,PAN2,UNG,GINS4,LUC7L3,LBR,RAD50,BRCA1,RACGAP1,SMC6,TIPIN	0.00319440850807341
HALLMARK_APOPTOSIS	DOWN	2.03244162321469	2005	37	16961	37	0.000417288825078077	TOP2A,BTG2,PPP3R1,EMP1,CD69,IRF1,FEZ1,BCL2L10,APP,LUM,SQSTM1,MMP2,IL1B,ATF3,SMAD7,EGR3,JUN,BCL2L1,VDAC2,EREG,PAK1,GCH1,CREBBP,GPX4,XIAP,PPP2R5B,GADD45A,ENO2,GADD45B,DDIT3,ADD1,CDKN1B,CD14,BCAP31,TNF,SPTAN1,TNFRSF12A,TIMP1,ANXA1,SOD2,DCN,CDC25B,IGFBP6,SOD1,BCL2L2,CASP2,RARA,MCL1,DNAJC3,CTNNB1,PMAIP1,MADD,SAT1,CASP6,BIK,DNAJA1,GPX3,EBP,H1F0,KRT18,IL6,TXNIP,GSR,GSTM1,F2R,CASP9,LMNA,BAX,HGF,BNIP3L,PDCD4,BMP2,FDXR,CDK2,ISG20,PPT1,CD2,CDKN1A,AIFM3,CASP3,TGFBR3,RHOT2,PRF1,RETSAT,HMOX1,AVPR1A,ERBB3,BIRC3,DFFA,HMGB2,DIABLO,CASP1,IGF2R,RELA,BGN,CYLD,TIMP2,CASP4,GPX1,BCL2L11,HSPB1,BTG3,CLU,SATB1,PSEN1,IL1A,TAP1,WEE1,CD38,BID,CCND2,DAP3,ETF1,DAP,CCND1,CAV1,RHOB,IER3,ROCK1,FAS,IFITM3,SLC20A1,DNM1L,TNFSF10,IL18,PSEN2,GNA15,PTK2,LEF1,BCL10,CASP8,NEFH,CCNA1,CASP7,CFLAR,DPYD,CD44,GSN,TIMP3,TSPO,TGFB2,LGALS3,BMF,MGMT,PDGFRB,ERBB2,NEDD9,BRCA1,PLCB2,IFNGR1,CTH,F2,PLAT,RNASEL	0.00509190233800829
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	DOWN	2.14343485403766	1394	34	16961	34	0.000458271210420746	TNC,BASP1,PRSS2,COL3A1,SFRP1,COL1A1,PFN2,COL1A2,COL6A3,MEST,FN1,CTHRC1,FMOD,GPC1,LUM,FBLN2,MMP2,APLP1,IGFBP2,TFPI2,TPM4,SPP1,JUN,PPIB,EDIL3,POSTN,MAGEE1,THY1,THBS2,VIM,PLAUR,CADM1,LRRC15,CAP2,SLIT3,GADD45A,ENO2,GADD45B,CYR61,TNFRSF12A,FOXC2,CDH2,COL6A2,MCM7,TIMP1,COL5A2,ABI3BP,TPM1,DCN,NT5E,TNFRSF11B,ITGA5,SLC6A8,LOX,NID2,ID2,TGFBI,MFAP5,MGP,PLOD1,COL12A1,QSOX1,PTX3,PCOLCE,SAT1,AREG,LOXL2,PTHLH,LRP1,MMP3,MMP14,FSTL1,LAMC2,IL6,PVR,SGCB,NNMT,FBN2,LOXL1,LEPRE1,SERPINH1,COPA,FBLN5,SERPINE1,THBS1,ECM2,VCAN,CXCL1,FBLN1,MSX1,TGFBR3,VCAM1,GAS1,TNFAIP3,CXCL12,TPM2,GEM,PLOD3,NTM,ADAM12,RGS4,WIPF1,SLIT2,ITGB3,INHBA,IL15,BGN,CDH11,DAB2,BDNF,PCOLCE2,LAMA1,SPOCK1,SCG2,WNT5A,FUCA1,BMP1,SFRP4,CALU,IGFBP3,IGFBP4,ANPEP,SDC4,FLNA,COL4A1,ITGB1,COL4A2,FAP,GREM1,PMEPA1,RHOB,FAS,SNAI2,SGCD,VEGFC,FZD8,FBN1,GLIPR1,PMP22,COL8A2,VEGFA,TAGLN,COL16A1,CALD1,ITGB5,ELN,SDC1,SERPINE2,CTGF,LAMC1,CRLF1,COL5A1,GJA1,PRRX1,DST,EMP3,ITGA2,FGF2,MYL9,COL7A1,CD44,TIMP3,ACTA2,TGFB1,PDLIM4,MATN2,ITGAV,FSTL3,FERMT2,CDH6,GPX7,NOTCH2,TGM2,HTRA1,MYLK,ECM1,COL11A1,PDGFRB,DPYSL3,LAMA2,EFEMP2,SNTB1,SPARC,OXTR,MATN3,LGALS1,PLOD2,COL5A3,DKK1,SGCG,COMP,LAMA3,CAPG	0.00509190233800829
HALLMARK_PI3K_AKT_MTOR_SIGNALING	DOWN	1.85979014490798	3487	39	16961	39	0.000629179345029929	CFL1,GRB2,PLCB1,ADRBK1,CDK1,RAC1,SQSTM1,RPS6KA1,TIAM1,AP2M1,ARF1,PFN1,DAPP1,CAMK4,HSP90B1,AKT1,HRAS,SLA,PPP1CA,DDIT3,YWHAB,PRKCB,TRAF2,CDKN1B,MAPK8,MAPK9,ARHGDIA,E2F1,ECSIT,PLA2G12A,AKT1S1,CLTC,MAP2K3,MAPK1,SFN,GSK3B,UBE2N,PTEN,IL4,RAF1,CALR,CSNK2B,PIK3R3,CAB39,MAPKAP1,NCK1,UBE2D3,ACTR3,DUSP3,PIKFYVE,CDK2,NGF,ACTR2,EIF4E,CDKN1A,RALB,CDK4,STAT2,GNA14,NFKBIB,ARPC3,SMAD2,PLCG1,TRIB3,PRKAR2A,CXCR4,RIPK1,TNFRSF1A,IL2RG,TSC2,PITX2,RPS6KA3,RIT1,PRKAA2,ATF1,PPP2R1B,PRKAG1,CAB39L,MAPK10,MAP3K7,ACACA,PDK1,MYD88,RPTOR,TBK1,PTPN11,MKNK1,PIN1,VAV3,LCK,PAK4,ADCY2,FGF17,THEM4,NOD1,MAP2K6,SLC2A1,IRAK4,MKNK2,FGF22,EGFR,ITPR2	0.00629179345029929
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DOWN	5.6979843225084	141	9	16961	9	0.000748588086344482	FOSB,EGR2,FOS,TNC,JUNB,BTG2,EGR1,CXCL3,CCL2,PTGER4,CD69,IRF1,IER2,CCL4,LIF,B4GALT5,DUSP1,SQSTM1,SPHK1,IL1B,ATF3,GPR183,PHLDA2,EGR3,JUN,PLAUR,EIF1,EHD1,GCH1,ATP2B1,GADD45A,PANX1,FOSL1,GADD45B,CYR61,PTGS2,MSC,KDM6B,TNF,ZFP36,NR4A2,PHLDA1,RCAN1,FJX1,SOCS3,RELB,F3,CD80,SOD2,TNFAIP6,MAP2K3,NAMPT,KLF4,PLAU,SLC2A3,RNF19B,ID2,NR4A1,RIPK2,PDE4B,IL23A,BTG1,MCL1,LITAF,MARCKS,ICAM1,TNFAIP8,PTX3,SAT1,CLCF1,AREG,SERPINB8,PTPRE,SPSB1,DDX58,SNN,KLF10,MAFF,IL6,ZBTB10,CXCL10,DUSP5,NFIL3,NFKBIE,BMP2,PLEK,IRS2,NFKB1,EFNA1,CD83,SIK1,SERPINE1,ZC3H12A,HBEGF,KYNU,IL6ST,CXCL1,CDKN1A,TGIF1,TANK,GFPT2,TSC22D1,NFE2L2,DNAJB4,KLF6,TUBB2A,PNRC1,TNFAIP3,NFAT5,OLR1,CCRL2,IFNGR2,TIPARP,TRIB1,LDLR,GEM,BIRC3,MXD1,TNFSF9,IL12B,NFKB2,IL15RA,YRDC,INHBA,PPP1R15A,BIRC2,RELA,FOSL2,TLR2,IFIT2,BHLHE40,FUT4,CCL5,BCL3,BTG3,DUSP2,CSF1,IL1A,SERPINB2,IFIH1,TNIP2,ETS2,TRIP10,TAP1,SDC4,KLF9,DRAM1,HES1,F2RL1,CCND1,IL7R,PMEPA1,RHOB,SLC2A6,NR4A3,IER3,BCL6,B4GALT1,CCNL1,VEGFA,G0S2,CEBPB,PPAP2B,DUSP4,IL18,SGK1,SLC16A6,MAP3K8,DENND5A,TNIP1,ABCA1,PER1,CFLAR,TNFAIP2,CD44,TRAF1,NINJ1,JAG1,NFKBIA,PLK2,EDN1,IER5,PDLIM5,PFKFB3,SMAD3,KLF2,REL,STAT5A,CCL20,LAMB3	0.00680534623949529
HALLMARK_ANDROGEN_RESPONSE	DOWN	1.58225814128376	5529	49	16961	49	0.00184539373147696	ZMIZ1,AKT1,AKAP12,PA2G4,SPDEF,XRCC6,RAB4A,MAK,TMPRSS2,TPD52,NKX3-1,SEC24D,PTK2B,SRF,KRT8,GNAI3,UAP1,UBE2I,ELOVL5,KRT19,SLC38A2,ADRM1,INSIG1,ELK4,IQGAP2,XRCC5,ALDH1A3,HMGCS1,TNFAIP8,PIAS1,SAT1,HOMER2,TMEM50A,CCND3,NGLY1,STK39,APPBP2,HERC3,DNAJB9,DHCR24,H1F0,PTPN21,VAPA,MYL12A,STEAP4,SORD,NDRG1,ZBTB10,GSR,IDI1,SMS,HMGCR,ACSL3,MAP7,SLC26A2,ACTN1,TSC22D1,PGM3,CAMKK2,MAF,NCOA4,SRP19,GPD1L,ADAMTS1,PPAP2A,RRP12,INPP4B,CENPN,LMAN1,ABCC4,RPS6KA3,ELL2,CCND1,SPCS3,HPGD,PMEPA1,B4GALT1,ABHD2,GUCY1A3,SGK1,ARID5B,HSD17B14,DBI,FADS1,ITGAV,SEPP1,FKBP5,UBE2J1,PDLIM5,BMPR1B,B2M,LIFR,MERTK,CDC14B,AZGP1	0.0153782810956413
HALLMARK_G2M_CHECKPOINT	DOWN	1.27378777082904	8348	121	16961	121	0.00230494228305322	BUB1,MKI67,TOP2A,NEK2,NDC80,CDK1,CASC5,H2AFX,HMGA1,HN1,AURKB,FOXN3,EXO1,PLK4,E2F2,UBE2S,TPX2,ORC6,CBX1,RAD54L,CTCF,DR1,CCNB2,CENPA,CHMP1A,PBK,CDKN1B,STMN1,MEIS2,H2AFZ,TTK,MYBL2,HMMR,TLE3,TFDP1,E2F1,DKC1,ILF3,PURA,HIRA,SQLE,RAD23B,ESPL1,CDC25B,CDC20,CDC45,BIRC5,TNPO2,NOLC1,ATF5,H2AFV,MCM2,E2F4,CENPF,PAFAH1B1,PRMT5,ATRX,MCM6,HIST1H2BK,RAD21,WHSC1,CKS1B,MAD2L1,MARCKS,TMPO,SMC2,HSPA8,TROAP,UPF1,KPNB1,BUB3,ODC1,PTTG1,STAG1,SMC1A,EFNA5,AMD1,FANCC,FBXO5,BRCA2,PAPD7,XPO1,MTF2,NUSAP1,KIF11,SYNCRIP,KIF22,CUL1,HMGB3,TRA2B,NCL,KIF23,SLC12A2,HMGN2,NUP98,CDC6,CDC25A,PDS5B,CHEK1,SNRPD1,TOP1,HNRNPD,EWSR1,CUL3,CENPE,CDK4,UCK2,SUV39H1,CKS2,BARD1,MAPK14,RPS6KA5,CHAF1A,CDKN3,NUP50,KIF2C,SMARCC1,PML,LMNB1,E2F3,GINS2,CUL5,DTYMK,HIF1A,PLK1,KATNA1,DMD,CDC27,GSPT1,SRSF10,TACC3,HOXC10,G3BP1,BCL3,STIL,HNRNPU,MEIS1,WRN,RBM14,SRSF1,YTHDC1,KIF5B,MCM3,EGF,NUMA1,SS18,CCNT1,SLC7A1,PRIM2,CCND1,LIG3,CCNA2,DBF4,SETD8,PRC1,AURKA,POLA2,SLC38A1,ORC5,RBL1,POLE,ARID4A,KIF20B,TRAIP,POLQ,CCNF,NASP,PRPF4B,SFPQ,SAP30,RPA2,INCENP,SRSF2,MNAT1,CDKN2C,HUS1,CDC7,TGFB1,RASAL2,ABL1,EZH2,KIF15,CUL4A,UBE2C,MCM5,SMC4,ODF2,ZAK,NOTCH2,LBR,SMAD3,RACGAP1,SLC7A5	0.0177303252542555
HALLMARK_KRAS_SIGNALING_DN	UP	5.4145251396648	140	8	16961	8	0.00266927301928011	PNMT,PRODH,HTR1B,CPA2,CYP11B2,FGFR3,CAPN9,LFNG,TFCP2L1,ZBTB16,P2RY4,PLAG1,ATP4A,FGF22,BRDT,CPB1,SLC29A3,TSHB,SSTR4,PAX3,GDNF,NGB,ALOX12B,BMPR1B,THRB,MYOT,KCNMB1,EDN1,SEPP1,GP2,CD207,TGFB2,CCDC132,CLPS,TCF7L1,P2RX6,CCNA1,EFHD1,IL5,RSAD2,GTF3C5,AKR1B10,EDAR,RYR1,ITIH3,SGK1,MSH5,UPK3B,CYP39A1,HTR1D,KCNE2,CACNA1F,SPRR3,SLC12A3,NR6A1,CNTFR,ADRA2C,HNF1A,ATP6V1B1,YPEL1,INSL5,TGM1,KRT13,TFAP2B,EGF,GPR3,SERPINA10,MX1,GPR19,RIBC2,SOX10,SPHK2,SERPINB2,NOS1,ZFP112,KCNN1,CLDN8,OXT,FSHB,SMPX,CDKAL1,ABCG4,ENTPD7,DTNB,TEX15,IRS4,TFF2,EDN2,GAMT,SLC6A14,COPZ2,PARK2,ADCK3,LGALS7,CHST2,IL12B,HSD11B2,GRID2,ASB7,CLDN16,SLC16A7,PKP1,FGGY,KLK8,BARD1,RGS11,KRT4,STAG3,MTHFR,CELSR2,PTPRJ,KRT15,IFNG,SPTBN2,RYR2,GPRC5C,FAM46C,ITGB1BP2,SYNPO,KRT1,MAGIX,CHRNG,IFI44L,SLC6A3,IDUA,SKIL,H2AFY2,SNN,CAMK1D,THNSL2,MAST3,DCC,SNCB,LYPD3,PDCD1,MEFV,NUDT11,KRT5,DLK2,PDE6B,SHOX2,PDK2,KCNQ2,ARHGDIG,SCGB1A1,EPHA5,GP1BA,KLHDC8A,CPEB3,CD80,SLC25A23,CCDC106,CALCB,NTF3,ACTC1,NRIP2,PROP1,NR4A2,COL2A1,TNNI3,CLSTN3,NPHS1,WNT16,MFSD6,CKM,ARPP21,IGFBP2,CDH16,SIDT1,KCND1,KLK7,SLC30A3,MYH7,SLC5A5,YBX2,CACNG1,PTGFR,BTG2,TG	0.0190662358520008
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	DOWN	1.7827828646174	5838	27	16961	27	0.00318206818707112	JUNB,HMOX2,CDKN2D,GPX4,PRNP,HHEX,PRDX2,IPCEF1,PPP2R4,NDUFA6,MSRA,SOD2,SOD1,EGLN2,PRDX4,NDUFS2,CAT,SCAF4,NDUFB4,PRDX1,GPX3,ABCC1,STK25,PDLIM1,GSR,TXNRD1,OXSR1,ATOX1,MBP,PFKP,ERCC2,GLRX,SBNO2,GCLC,GLRX2,SRXN1,GCLM,MPO,FES,PRDX6,TXNRD2,LSP1,MGST1,NQO1	0.0212137879138075
HALLMARK_APICAL_JUNCTION	DOWN	1.3999500687828	5165	81	16961	81	0.00490363937144678	ICAM5,PDZD3,GTF2F1,CDH1,BAIAP2,CNTN1,CADM3,NRAP,TRO,DSC3,CDH15,SLC30A3,WNK4,SIRPA,NRXN2,MMP2,ADAMTS5,RAC2,NLGN2,PFN1,NEGR1,GNAI1,FYB,TSPAN4,THY1,HRAS,CD274,ACTA1,CLDN11,NFASC,PPP2R2C,CDH8,ITGA9,MYL12B,GRB7,ACTC1,CERCAM,CLDN6,FLNC,AMH,WASL,TAOK2,TNFRSF11B,RASA1,MYH10,ARPC2,TGFBI,PTEN,PVRL1,INSIG1,ACTN2,PIK3CB,AMIGO1,DSC1,ACTB,ICAM1,CLDN19,MAPK13,TMEM8B,SGCE,ITGA3,ATP1A3,PTPRC,PIK3R3,DMP1,YWHAH,ADAM9,EXOC4,MPZL1,CDH3,MPZL2,CLDN7,RSU1,AKT2,CADM2,COL17A1,JAM3,ACTG1,ZYX,LAMC2,SYMPK,SRC,KCNH2,EVL,AKT3,CLDN9,RHOF,MMP9,CD276,NF2,PVRL4,PBX2,CLDN15,MAPK11,LDLRAP1,VCAN,CALB2,IRS1,CRB3,ADAM15,ACTN1,MAP4K2,CNN2,LIMA1,VCAM1,CX3CL1,VASP,TUBG1,CD86,MAPK14,NEXN,NLGN3,DHX16,PKD1,ADAM23,CRAT,SLIT2,SPEG,PVRL2,CAP1,SKAP2,CDH11,CDK8,GAMT,NRTN,MYH9,ADRA1B,CLDN8,PLCG1,LAYN,SORBS3,MVD,PARD6G,GNAI2,PCDH1,BMP1,KRT31,ACTG2,TIAL1,ITGB1,ACTN4,JUP,PVRL3,HADH,ICAM2,VCL,FSCN1,ITGA10,SHC1,NF1,IKBKG,B4GALT1,FBN1,CTNND1,MDK,TSC1,COL16A1,PARVA,CTNNA1,DLG1,MSN,THBS3,CLDN4,SHROOM2,PTK2,ITGA2,MYL9,TRAF1,CLDN18,CDH6,CDH4,MADCAM1,ZAK,MPP5,AMIGO2,VAV2,SYK,SDC3,TJP1,EGFR,CLDN5,RRAS,INPPL1,LAMB3,COL9A1,LAMA3,CD34,VWF,ARHGEF6,ITGB4	0.0306477460715424
