Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_KRAS_SIGNALING_DN	UP	1.72738339498324	3376	59	16210	59	0.000138283601144984	SGK1,CHST2,NOS1,ADRA2C,SHOX2,KCNN1,KRT13,OXT,ZBTB16,SPTBN2,CACNA1F,HSD11B2,KRT5,SNN,ABCB11,KRT4,SCN10A,FGF22,SPRR3,TFF2,SKIL,KRT15,PKP1,IGFBP2,EDN1,FGF16,GRID2,GP2,SERPINB2,CD40LG,KLK8,TGM1,IDUA,CPA2,CLPS,MFSD6,KCNQ2,IFI44L,CACNG1,TSHB,UPK3B,EDN2,CNTFR,SIDT1,CPB1,KCNMB1,TLX1,RIBC2,GPR19,TGFB2,HTR1B,GPR3,TG,CYP11B2,TEX15,RSAD2,EFHD1,NUDT11,TFCP2L1,CCNA1,MX1,KRT1,PTGFR,ARPP21,ALOX12B,SLC6A3,LGALS7,PTPRJ,ARHGDIG,CAPN9,KCND1,CLSTN3,ATP4A,KLK7,AKR1B10,BTG2,FGFR3,TCF7L1,PNMT,CALCB,LFNG,NR4A2,ITIH3,CD80,GTF3C5,COPZ2,CDH16,BARD1,YPEL1,SLC29A3,PRODH,SNCB,IFNG,ENTPD7,CPEB3,RYR1,ACTC1,GP1BA,KCNE2,SCGB1A1,PDCD1,CDKAL1,EDAR,PDE6B,MAST3,GAMT,CCDC106,SEPP1,NR6A1,MYOT,NTF3,EPHA5,ATP6V1B1,DLK2,MSH5,MYH7,TNNI3,DTNB,COL2A1,P2RY4,RGS11,P2RX6,SLC25A23,CD207,MAGIX,HNF1A,HTR1D,LYPD3,STAG3,ZFP112,PARK2,GPRC5C,MTHFR,YBX2,TFAP2B,THNSL2,ASB7,SLC30A3,CAMK1D,PLAG1,KLHDC8A,SPHK2,H2AFY2,RYR2,CKM,CELSR2,WNT16,NRIP2,SOX10,CCDC132,SYNPO,FGGY,SMPX,SLC16A7,GDNF,BMPR1B,ITGB1BP2,ABCG4,CYP39A1,THRB,PDK2,EGF,FAM46C,ADCK3	0.000576181671437433
HALLMARK_ESTROGEN_RESPONSE_EARLY	UP	1.53394842678022	4227	76	16210	76	0.000457413954296215	PRSS23,OLFM1,TFF3,AREG,KRT19,PAPSS2,KRT13,INHBB,KRT18,ELF1,PODXL,FOXC1,MSMB,FLNB,IGFBP4,ELOVL5,MED13L,TPBG,NBL1,KRT8,IL6ST,CXCL12,KRT15,DHRS2,SYBU,SH3BP5,RAB17,SFN,BHLHE40,AQP3,PMAIP1,HES1,RAPGEFL1,SEC14L2,SCNN1A,ABHD2,UGCG,B4GALT1,KAZN,KLF10,RARA,CLDN7,STC2,SLC19A2,FKBP5,JAK2,TJP3,WISP2,SLC1A1,EGR3,RAB31,CLIC3,THSD4,SLC7A5,TSKU,KCNK15,TUBB2B,SYT12,CYP26B1,DLC1,AFF1,DHRS3,IGF1R,ENDOD1,MUC1,KDM4B,NRIP1,RPS6KA2,FASN,NCOR2,SLC7A2,NADSYN1,TMPRSS3,SULT2B1,KLF4,SLC9A3R1,CD44,CALB2,SCARB1,KLK10,RHOBTB3,TFAP2C,LAD1,NXT1,SLC27A2,SLC26A2,CBFA2T3,OLFML3,TIPARP,DHCR7,INPP5F,ELOVL2,ITPK1,TOB1,RASGRP1,MYB,MYOF,RRP12,SLC2A1,CCND1,NPY1R,BCL11B,MYBBP1A,SLC39A6,DEPTOR,FAM102A,ISG20L2,SVIL,FOS,DYNLT3,ABCA3,SLC37A1,TGM2,TBC1D30,ADD3,MLPH,LRIG1,ABAT,ADCY1,RBBP8,CANT1,NAV2,KCNK5,SLC1A4,CELSR1,GLA,ASB13,XBP1,MAST4,MYBL1,TIAM1,TFF1,SLC16A1,ALDH3B1,FARP1,BCL2,GFRA1,AMFR,TPD52L1,WWC1,SNX24,PDZK1,FAM134B,MED24,SIAH2,ESRP2,ANXA9,RET,ABLIM1,TGIF2,PGR,GREB1,HR,FAIM3,BLVRB,IL17RB,ELF3,CELSR2,SLC24A3,CISH,HSPB8,ADCY9,MREG,FDFT1,OPN3,SYNGR1,REEP1,P2RY2,SLC22A5,PTGES,MAPT,FAM63A,TTC39A,MPPED2,BAG1,WFS1,AR,AKAP1,ARL3,PDLIM3,FRK,CHPT1,PPIF,FKBP4,TMEM164,FHL2,UNC119,PLA2G16,PEX11A,RHOD	0.00182965581718486
HALLMARK_ESTROGEN_RESPONSE_LATE	UP	1.63441885582648	3146	59	16210	59	0.000974195094861185	SGK1,PRSS23,OLFM1,TFF3,AREG,TOP2A,KRT19,CD9,PAPSS2,KRT13,NMU,CXCL14,FOXC1,MDK,FLNB,IGFBP4,ELOVL5,TPBG,NBL1,CPE,IL6ST,CXCL12,S100A9,DHRS2,ZFP36,CDH1,TH,FABP5,TSPAN13,LSR,SFN,TFPI2,RAPGEFL1,CAV1,SCNN1A,ABHD2,GINS2,BTG3,SERPINA5,ID2,ISG20,TRIM29,FKBP5,JAK2,UGDH,GAL,TJP3,WISP2,EGR3,RAB31,CLIC3,BATF,SLC7A5,PLK4,XRCC3,MAPK13,CYP26B1,CDC20,PTPN6,LTF,AFF1,STIL,CCNA1,SCUBE2,AGR2,CDC6,NRIP1,RPS6KA2,NCOR2,TMPRSS3,SULT2B1,KLF4,SLC9A3R1,CD44,SCARB1,KLK10,UNC13B,TFAP2C,IGSF1,NXT1,SLC27A2,SLC26A2,DUSP2,KIF20A,PRLR,JAK1,DHCR7,ITPK1,EMP2,FGFR3,PTGER3,TOB1,MYB,MYOF,CKB,ST14,CCND1,SNX10,NPY1R,TPSAB1,DNAJC1,ASS1,NAB2,FAM102A,CACNA2D2,FOS,PRKAR2B,LLGL2,DYNLT3,RABEP1,ABCA3,KLK11,DNAJC12,GALE,PDCD4,ADD3,ATP2B4,DCXR,SLC2A8,PLXNB1,TSTA3,RBBP8,MEST,KCNK5,SLC1A4,GLA,RNASEH2A,XBP1,TIAM1,ST6GALNAC2,TFF1,SLC16A1,ALDH3B1,PKP3,FARP1,TNNC1,DLG5,BCL2,AMFR,TPD52L1,GJB3,PDZK1,HSPA4L,SIAH2,ANXA9,RET,PERP,PCP4,COX6C,PGR,METTL3,IDH2,HR,BLVRB,HMGCS2,IL17RB,LAMC2,SORD,CELSR2,SLC24A3,CISH,HSPB8,CHST8,FDFT1,SLC29A1,OPN3,HOMER2,SLC22A5,PTGES,MAPT,ACOX2,ETFB,BAG1,WFS1,ALDH3A2,ARL3,PDLIM3,FRK,CHPT1,PPIF,MOCS2,LARGE,FKBP4,IMPA2,PLA2G16,TST	0.00374690421100456
HALLMARK_DNA_REPAIR	DOWN	1.33727045535452	8023	92	16210	92	0.00105929350866474	AK3,POLR3GL,RFC4,SNAPC5,GTF2H5,POLR2F,TAF12,COX17,RPA3,POLR1D,EIF1B,RALA,TAF6,AAAS,BRF2,ADCY6,VPS37D,PRIM1,POLL,GTF2F1,ERCC3,MRPL40,POLR2K,IMPDH2,TAF9,TSG101,POLD3,POLR2J,NCBP2,POLR2C,RAD52,FEN1,DAD1,POLR2H,NPR2,NME3,TARBP2,GTF2A2,CETN2,GPX4,DUT,POLB,POLR2G,ERCC8,NT5C3,NFX1,PDE4B,SSRP1,POLD1,SAC3D1,RPA2,POLR2D,POLR2I,ITPA,CSTF3,SURF1,RFC2,RAE1,MPG,NME4,NME1,SNAPC4,AK1,RNMT,ERCC1,PCNA,VPS28,ZNRD1,POLA2,TMED2,DDB1,ERCC2,DCTN4,CANT1,EDF1,VPS37B,POLD4,DFNA5,POLR2E,ADRM1,GTF2H1,UPF3B,NUDT9,PDE6G,RBX1,TCEB3,SRSF6,APRT,ERCC5,SF3A3,POLR1C,SDCBP,ERCC4,SEC61A1,BOLA2,RFC3,POLE4,GTF3C5,RFC5,CLP1,TAF1C,LIG1,USP11,POLR3C,POM121,ZWINT,RRM2B,POLA1,DGUOK,TK2,DGCR8,UMPS,POLH,NT5C,GTF2H3,TAF13,GMPR2,BCAM,SMAD5,BCAP31,GTF2B,NUDT21,TAF10,RAD51,TYMS,XPC,CMPK2,GUK1,ADA,STX3,REV3L,PNP,DDB2,POLR2A,ELL,CDA,CCNO,ARL6IP1,HCLS1	0.00392330929135089
HALLMARK_GLYCOLYSIS	UP	7.08833083458271	87	7	16210	7	0.001367499005273	STC1,IGFBP3,SLC16A3,CDK1,TFF3,CHST2,IER3,DDIT4,MERTK,CXCR4,ERO1L,IRS2,EGLN3,PYGL,ENO2,TPBG,PLOD2,CACNA1H,AGRN,PYGB,SLC35A3,SDC1,IL13RA1,EGFR,ALDOB,IDUA,B4GALT1,ISG20,PLOD1,ANG,SLC25A13,STC2,P4HA1,CLDN3,CTH,LHX9,TPST1,ENO1,SOX9,GLCE,VEGFA,B4GALT4,PFKFB1,EXT1,FUT8,SPAG4,CLN6,NASP,CHST12,CENPA,PDK3,CD44,QSOX1,PMM2,GUSB,ADORA2B,B3GALT6,COL5A1,GFPT1,CHPF2,EXT2,KIF20A,PGLS,HK2,ANGPTL4,GYS1,PFKP,LDHC,ECD,DCN,AK4,TGFBI,VCAN,GPC1,KDELR3,GPR87,HOMER1,AKR1A1,PPP2CB,B3GAT1,PPFIA4,SLC25A10,B4GALT7,COPB2,SDC3,HSPA5,RPE,MPI,ALG1,GCLC,PAM,PGAM1,SLC37A4,B4GALT2,MXI1,FBP2,GNE,GALE,PSMC4,EFNA3,NT5E,ALDH7A1,BIK,TPI1,NANP,PPIA,TSTA3,ALDOA,LDHA,HMMR,KIF2A,HS2ST1,SRD5A3,SAP30,PGK1,B3GAT3,GALK1,CLDN9,P4HA2,VLDLR,MET,CHPF,CHST1,AGL,LHPP,XYLT2,STMN1,SDC2,CAPN5,GMPPB,MED24,DLD,BPNT1,NDUFV3,GALK2,HS6ST2,FAM162A,DSC2,GAL3ST1,HDLBP,ANKZF1,TALDO1,DPYSL4,PKP2,SDHC,GPC3,MDH2,GMPPA,ME2,GNPDA1,GOT2,ARPP19,POLR3K,ARTN,PAXIP1,MDH1,ELF3,MIF,UGP2,NOL3,GPC4,RARS,ALDH9A1,COG2,CITED2,PHKA2,CASP6,NSDHL,RBCK1,HAX1,GYS2,AURKA,IDH1,ME1,TGFA,SOD1,FKBP4,RRAGD,GOT1,ABCB6,PGM2,TKTL1,GLRX,AK3	0.00488392501883214
HALLMARK_HEDGEHOG_SIGNALING	UP	7.59606373008435	388	6	16210	6	0.00153845985755374	HEY1,GPR56,NRP2,MYH9,THY1,ETS2,SCG2,PML,GLI1,NF1,TLE1,CNTFR,NRCAM,CRMP1,ACHE,VEGFA,NRP1,PTCH1,RTN1,TLE3,RASA1,SLIT1,DPYSL2,CELSR1,VLDLR,NKX6-1,L1CAM,LDB1,AMOT,OPHN1,UNC5C,HEY2,CDK5R1	0.00526404351616513
HALLMARK_APICAL_SURFACE	UP	4.6068586585828	754	9	16210	9	0.00157921305484954	SULF2,CX3CL1,THY1,RHCG,GHRL,EPHB4,MDGA1,ATP8B1,PCSK9,PLAUR,ADAM10,SCUBE1,B4GALT1,AIM1,LYN,CD160,APP,GATA3,IL2RG,IL2RB,ADIPOR2,PKHD1,HSPB1,SHROOM2,TMEM8B,NCOA6,NTNG1,CROCC,GSTM3,SLC2A4,SRPX,AFAP1L2,DCBLD2,SLC34A3,MAL,GAS1,BRCA1,EFNA5,AKAP7,LYPD3,FLOT2,RTN4RL1	0.00526404351616513
HALLMARK_MTORC1_SIGNALING	UP	2.38921606951752	817	23	16210	23	0.00214586903297398	TFRC,STC1,LDLR,DDIT4,CD9,SLA,SLC2A3,WARS,CDKN1A,CXCR4,ERO1L,SLC6A6,SKAP2,INSIG1,FGL2,EGLN3,TRIB3,PIK3R3,PFKL,STARD4,ELOVL5,ITGB2,PLOD2,CORO1A,HMGCR,IGFBP5,SLC1A5,BHLHE40,CFP,PNP,P4HA1,FADS2,EDEM1,CTH,SLC7A5,SDF2L1,FDXR,IFRD1,RIT1,ENO1,SERP1,ACTR2,HMGCS1,ASNS,NUP205,DHCR24,ACTR3,CDC25A,ACLY,CCNF,SQLE,TES,BCAT1,SLC9A3R1,FADS1,MTHFD2,MLLT11,SERPINH1,MAP2K3,PLK1,ADIPOR2,HK2,CTSC,DHCR7,BTG2,RPN1,TUBA4A,PITPNB,TBK1,DDIT3,AK4,IDI1,TMEM97,UFM1,PGM1,TCEA1,SLC2A1,NFIL3,PDK1,NFKBIB,PPP1R15A,RRM2,BUB1,SYTL2,LGMN,DAPP1,HSP90B1,HSPA5,CALR,IFI30,GSK3B,M6PR,MTHFD2L,PPA1,GCLC,SLC37A4,SSR1,ADD3,PSMC4,RDH11,MCM2,PNO1,GTF2H1,TPI1,NUPR1,GBE1,PPIA,PSMD13,ALDOA,RRP9,LDHA,PDAP1,PSME3,PGK1,SLC1A4,GLA,VLDLR,CANX,NUFIP1,CYB5B,MCM4,SLC7A11,ETF1,XBP1,LTA4H,SRD5A1,GMPS,YKT6,TOMM40,EBP,ACSL3,PSMC6,TM7SF2,PSAT1,TXNRD1,FKBP2,PHGDH,PSMA4,ELOVL6,ABCF2,EPRS,NAMPT,UBE2D3,NFYC,UNG,PSMC2,ARPC5L,HSPA4,PSMD12,HSPA9,PSMD14,SEC11A,DHFR,HSPD1,TUBG1,EIF2S2,UCHL5,GGA2,RPA1,SHMT2,IMMT,GSR,HSPE1,ATP5G1,ACACA,PSMB5,CCT6A,SORD,FAM129A,PRDX1,USO1,NMT1,CACYBP,PSMG1,SQSTM1,STIP1,PSMA3,EEF1E1,HMBS,PSPH,CCNG1,ATP2A2,ATP6V1D,AURKA,IDH1,ME1,QDPR,GOT1,COPS5,POLR3G,GLRX	0.00692215817088381
HALLMARK_BILE_ACID_METABOLISM	DOWN	3.42368346944523	536	12	16210	12	0.00356868308400948	MLYCD,ACSL1,PEX11A,PXMP2,HSD17B4,PHYH,CAT,GNPAT,PEX12,CYP39A1,ABCG4,SOD1,OPTN,AR,IDH1,ALDH9A1,RETSAT,SLC29A1,ISOC1,GSTK1,RXRA,PEX19,PEX6,NR0B2,CROT,PRDX5,PEX7,PFKM,ABCD2,IDH2,CYP46A1,AMACR,ATXN1,NR3C2,LONP2,ABCD3,NR1I2,SLC22A18,PECR,GCLM,SCP2,PEX13,ABCD1,NUDT12,LIPE,HSD3B1,HACL1,EPHX2,RBP1,PEX1,SLC23A1,SLC35B2,SLC27A5,PEX26,ABCA3,RXRG,SOAT2,KLF1,CYP7B1,PNPLA8,ALDH8A1,PEX11G,PEX16,GNMT,ABCA2,IDI1,HSD3B7,ABCA4,PAOX,BBOX1,HSD17B6,EFHC1,SLC27A2,ABCA9,ALDH1A1,APOA1,ABCA5,FADS1,SULT2B1,SLC23A2,ABCA1,AQP9,DHCR24,TFCP2L1,NPC1,CYP27A1,ABCG8,FDXR,ABCA6,LCK,FADS2,BCAR3,AGXT,DIO1,HSD17B11,BMP6,CYP8B1,TTR,NEDD4,ACSL5,GC,PIPOX,CYP7A1,DIO2,SULT1B1,CH25H	0.0109025743611477
HALLMARK_G2M_CHECKPOINT	UP	1.28759042403257	7371	113	16210	113	0.00359784953917874	CDK1,TGFB1,TOP2A,NUSAP1,CDC45,PBK,LBR,MKI67,TROAP,TPX2,SLC12A2,PRC1,CENPF,AURKB,POLE,UBE2C,TTK,NEK2,HOXC10,CENPE,MTF2,LMNB1,CCNB2,TRA2B,BCL3,DBF4,CASC5,NDC80,INCENP,E2F2,TMPO,PML,GINS2,SMC4,NUP50,BIRC5,FANCC,EZH2,HIF1A,PTTG1,TRAIP,KIF15,SS18,WRN,SLC7A5,CCNT1,PLK4,ESPL1,KIF23,ABL1,TOP1,CDC20,KIF11,SFPQ,STIL,KIF2C,BUB3,NASP,CDC25A,YTHDC1,KIF5B,CDC6,CCNF,SQLE,E2F1,MCM5,CENPA,PDS5B,STAG1,CCNA2,RASAL2,CDC27,ATRX,UCK2,MCM6,PRPF4B,PLK1,G3BP1,TACC3,H2AFX,PAPD7,FBXO5,CDKN3,ATF5,ODF2,EXO1,SYNCRIP,RAD21,CDC25B,ARID4A,TLE3,ORC6,RPS6KA5,MYBL2,E2F4,HNRNPU,NUP98,CCND1,KATNA1,TNPO2,SRSF10,NOTCH2,SLC7A1,MCM3,SMAD3,ILF3,E2F3,CDKN1B,HIST1H2BK,SUV39H1,UBE2S,BARD1,NOLC1,BUB1,POLQ,HMGB3,PURA,HNRNPD,BRCA2,SRSF2,SRSF1,CUL5,UPF1,CTCF,SMC1A,SMARCC1,CDC7,DR1,MCM2,MAPK14,SMC2,EWSR1,NCL,NUMA1,KPNB1,HMMR,PAFAH1B1,SAP30,POLA2,FOXN3,CKS2,KIF20B,CHEK1,AMD1,DKC1,CKS1B,H2AFV,DMD,CUL3,STMN1,KIF22,RPA2,RBL1,CHMP1A,MEIS2,RAD54L,XPO1,HUS1,HIRA,MARCKS,GSPT1,RACGAP1,SETD8,CDK4,EFNA5,DTYMK,MNAT1,PRIM2,RBM14,ORC5,TFDP1,CUL1,CUL4A,ZAK,HMGA1,SNRPD1,HMGN2,H2AFZ,WHSC1,CHAF1A,CDKN2C,ODC1,HN1,CBX1,MEIS1,RAD23B,PRMT5,MAD2L1,AURKA,LIG3,HSPA8,SLC38A1,EGF	0.0109025743611477
