Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_ANGIOGENESIS	UP	4.62679955703212	903	10	12534	10	0.000399476846697722	VCAN,POSTN,LUM,APP,FGFR1,OLR1,FSTL1,JAG1,TIMP1,TNFRSF21,SLCO2A1,ITGAV,CCND2,LRPAP1,SPP1,STC1,PF4,THBD,MSX1,COL5A2,JAG2,PDGFA,VAV2,COL3A1,PTK2,VTN,KCNJ8,NRP1,LPL,VEGFA	0.00166448686124051
HALLMARK_ESTROGEN_RESPONSE_EARLY	UP	1.42127393624385	4957	86	12534	86	0.000495814943915485	FOS,CD44,SLC7A5,RASGRP1,IGFBP4,MYOF,AR,GFRA1,KLF4,PRSS23,TGM2,SLC24A3,SLC7A2,RARA,PDLIM3,RBBP8,TIAM1,GAB2,UGCG,ENDOD1,ADD3,NBL1,MYC,PMAIP1,SYBU,JAK2,FLNB,BCL2,OLFM1,NCOR2,KRT19,RPS6KA2,KRT8,IL6ST,MYBL1,SLC39A6,TIPARP,SLC1A4,CCND1,OLFML3,WFS1,RRP12,INPP5F,RAB31,GREB1,ABHD2,SEC14L2,SEMA3B,DHCR7,CANT1,RHOD,CISH,INHBB,BHLHE40,TGIF2,FRK,SLC9A3R1,TSKU,MYBBP1A,AFF1,KLF10,FASN,ELF1,ARL3,HSPB8,B4GALT1,TBC1D30,KCNK5,SLC16A1,TOB1,CELSR2,P2RY2,IGF1R,MAST4,NPY1R,ABCA3,NXT1,TPD52L1,MPPED2,GLA,SIAH2,ELOVL5,DLC1,TPBG,ASB13,SLC26A2,FAM134B,FAM63A,CLIC3,FOXC1,NAV2,SLC2A1,TUBB2B,ITPK1,FAM102A,NADSYN1,MED24,XBP1,MREG,ALDH3B1,SCARB1,PDZK1,FARP1,CBFA2T3,ISG20L2,SLC37A1,KAZN,MED13L,UNC119,AMFR,RET,BLVRB,HR,SVIL,IL17RB,ADCY9,SLC19A2,FDFT1,SYNGR1,PLA2G16,PPIF,SLC1A1,LAD1,TMEM164,ADCY1,WWC1,SNX24,PAPSS2,CELSR1,GJA1,CXCL12,BAG1,AKAP1,KDM4B,BCL11B,HES1,NRIP1,PODXL,RHOBTB3,DHRS3,DEPTOR,LRIG1,ESRP2,DYNLT3,MAPT,ABLIM1,STC2,SH3BP5,REEP1,CHPT1,CYP26B1,FHL2,FKBP4	0.00198325977566194
HALLMARK_ANGIOGENESIS	DOWN	10.8238341968912	193	5	12534	5	0.00112001018908725	VEGFA,LPL,NRP1,KCNJ8,VTN,PTK2,COL3A1,VAV2,PDGFA,JAG2,COL5A2,MSX1,THBD,PF4,STC1,SPP1,LRPAP1,CCND2,ITGAV,SLCO2A1,TNFRSF21,TIMP1,JAG1,FSTL1,OLR1,FGFR1,APP,LUM,POSTN,VCAN	0.0041510015681357
HALLMARK_PEROXISOME	DOWN	1.72000334700025	3515	41	12534	41	0.00112077042339664	ACSL1,IDH2,SLC25A4,ABCD3,ECI2,RXRG,PRDX5,CRAT,SOD2,EPHX2,ALDH9A1,MLYCD,DHRS3,FDPS,GSTK1,HRAS,CNBP,GNPAT,PEX2,TSPO,DHCR24,SOD1,ATXN1,ACOX1,CTBP1,ECH1,HMGCL,IDI1,MSH2,ABCB9,IDE,FIS1,NUDT19,PRDX1,CTPS,HSD17B4,EHHADH,ABCD1,ABCC8,PEX5,ALB,SLC25A19,PEX11B,SEMA3C,ITGB1BP1,ACOT8,CDK7,ISOC1,SLC23A2,PEX13,BCL10,TTR,ABCB4,ERCC1,YWHAH,ABCC5,ACSL4,VPS4B,ELOVL5,RDH11,TOP2A,CLN8,PEX6,ABCD2,PEX14,HSD3B7,CRABP2,CLN6,IDH1,CADM1,SLC35B2,FADS1,ERCC3,SLC25A17,DLG4,SMARCC1,MVP,HAO2,ACSL5,ALDH1A1,HSD17B11,CAT,RETSAT,PABPC1,CEL	0.0041510015681357
HALLMARK_GLYCOLYSIS	UP	2.8421768707483	420	16	12534	16	0.00335016117868814	TGFA,PAM,CD44,VCAN,GCLC,IGFBP3,SDC2,PFKP,IRS2,GPC3,P4HA1,ME2,PFKFB1,ANGPTL4,DCN,MERTK,CHPF,CAPN5,PDK3,EXT1,QSOX1,SOX9,PLOD2,MET,IER3,GUSB,B4GALT4,CHPF2,GYS2,EXT2,ISG20,CHST12,HDLBP,DDIT4,LHPP,SRD5A3,NANP,FUT8,SDC1,ANKZF1,CITED2,COPB2,IDH1,CACNA1H,ENO2,CLN6,MXI1,PGAM1,KDELR3,CHST4,NT5E,ERO1L,CDK1,PYGL,KIF20A,GFPT1,IL13RA1,DSC2,P4HA2,PAXIP1,B3GAT3,IDUA,GPC4,B4GALT1,CHST2,HS2ST1,STC1,NASP,NSDHL,TPBG,TPST1,GALK1,TGFBI,PPIA,MIF,B3GALT6,KIF2A,PLOD1,SLC16A3,SLC25A10,GMPPA,GLCE,AKR1A1,PHKA2,MED24,PPP2CB,GNE,HMMR,AURKA,RPE,TALDO1,ADORA2B,ME1,GMPPB,ECD,SAP30,GALE,ALG1,GPC1,ALDOB,MIOX,PGLS,B4GALT2,PRPS1,GALK2,CTH,ABCB6,B4GALT7,GLRX,AK3,STMN1,NOL3,EGFR,TSTA3,RARS,SDC3,TPI1,PKP2,GNPDA1,CXCR4,PSMC4,XYLT2,SLC35A3,EGLN3,COL5A1,ENO1,HSPA5,POLR3K,HAX1,CHST1,CYB5A,SLC37A4,SOD1,ALDH7A1,COG2,MDH2,RBCK1,RRAGD,PPFIA4,AGRN,UGP2,B3GAT1,ALDOA,PGK1,MDH1,PYGB,LDHA,HOMER1,ALDH9A1,BPNT1,VLDLR,SDHC,AGL,PGM2,PMM2,STC2,NDUFV3,SLC25A13,AK4,GOT1,GOT2,DLD,PGAM2,MPI,HK2,GYS1,VEGFA,FKBP4	0.0119648613524576
HALLMARK_BILE_ACID_METABOLISM	DOWN	3.36688644688645	525	11	12534	11	0.00601856759280017	ACSL1,IDH2,PHYH,PFKM,ABCD3,RXRG,PRDX5,PEX19,PXMP2,EPHX2,NUDT12,ALDH9A1,MLYCD,PECR,GSTK1,NR0B2,CYP27A1,GNPAT,DHCR24,PEX12,SOD1,ATXN1,IDI1,RXRA,PNPLA8,GC,HSD17B4,ABCD1,PAOX,PEX7,PEX16,AMACR,HACL1,ISOC1,SLC23A2,FDXR,AKR1D1,PEX13,TFCP2L1,FADS2,OPTN,TTR,CYP7B1,LCK,PEX26,PEX1,SLC29A1,NR3C2,NR1H4,GCLM,ABCA3,NPC1,PEX6,ABCD2,NEDD4,ALDH8A1,HSD3B7,EFHC1,ABCA2,SLC22A18,IDH1,SLC35B2,CROT,FADS1,LIPE,ABCA9,ACSL5,CYP39A1,ALDH1A1,HSD17B11,CAT,RETSAT,BMP6,RBP1,ABCA5,BCAR3,AR,ABCA1	0.0207536813544833
HALLMARK_GLYCOLYSIS	DOWN	2.03622114784779	916	25	12534	25	0.00916729777592473	FKBP4,VEGFA,GYS1,HK2,MPI,PGAM2,DLD,GOT2,GOT1,AK4,SLC25A13,NDUFV3,STC2,PMM2,PGM2,AGL,SDHC,VLDLR,BPNT1,ALDH9A1,HOMER1,LDHA,PYGB,MDH1,PGK1,TPI1,ALDOA,B3GAT1,UGP2,AGRN,PPFIA4,RRAGD,RBCK1,ENO1,MDH2,COG2,ALDH7A1,SOD1,SLC37A4,CYB5A,CHST1,HAX1,POLR3K,HSPA5,COL5A1,EGLN3,SLC35A3,XYLT2,PSMC4,CXCR4,GNPDA1,PKP2,SDC3,RARS,TSTA3,EGFR,NOL3,STMN1,AK3,GLRX,B4GALT7,ABCB6,CTH,GALK2,PRPS1,B4GALT2,PGLS,MIOX,PPIA,ALDOB,GPC1,ALG1,GALE,SAP30,ECD,GMPPB,ME1,ADORA2B,TALDO1,RPE,AURKA,HMMR,GNE,PPP2CB,MED24,PHKA2,AKR1A1,GLCE,GMPPA,SLC25A10,SLC16A3,PLOD1,KIF2A,B3GALT6,MIF,TGFBI,IL13RA1,GALK1,TPST1,TPBG,NSDHL,ENO2,NASP,STC1,HS2ST1,CHST2,B4GALT1,GPC4,IDUA,B3GAT3,PAXIP1,P4HA2,DSC2,GFPT1,KIF20A,PYGL,CDK1,ERO1L,NT5E,CHST4,KDELR3,PGAM1,MXI1,CLN6,CACNA1H,IDH1,COPB2,CITED2,ANKZF1,SDC1,FUT8,NANP,SRD5A3,LHPP,DDIT4,HDLBP,CHST12,ISG20,EXT2,GYS2,CHPF2,B4GALT4,GUSB,IER3,MET,PLOD2,SOX9,QSOX1,EXT1,PDK3,CAPN5,CHPF,MERTK,DCN,ANGPTL4,PFKFB1,ME2,P4HA1,GPC3,IRS2,PFKP,SDC2,IGFBP3,GCLC,VCAN,CD44,PAM,TGFA	0.0305576592530824
HALLMARK_UV_RESPONSE_DN	UP	1.35333348124154	4935	73	12534	73	0.0105928390272291	SERPINE1,EFEMP1,CACNA1A,CYR61,SMAD7,SDC2,ICA1,F3,IGFBP5,PMP22,MGMT,SIPA1L1,ANXA2,LPAR1,PPARG,ID1,MAP1B,MAGI2,ADD3,FZD2,MYC,MET,DAB2,LTBP1,ITGB3,RUNX1,DUSP1,HAS2,PTGFR,CAP2,TGFBR2,AKT3,SLC7A1,PIK3CD,CITED2,SRI,NOTCH2,RBPMS,FBLN5,BHLHE40,TGFBR3,PRKAR2B,SLC22A18,PIK3R3,BMPR1A,NFIB,MAP2K5,PRKCA,PDLIM5,AGGF1,DBP,GRK5,ANXA4,PDGFRB,AMPH,ATRX,ZMIZ1,PEX14,NEK7,FAM179B,KCNMA1,RND3,NR1D2,ATP2C1,IGF1R,CELF2,COL11A1,YTHDC1,PAPD7,CDK13,DLC1,DDAH1,CDC42BPA,PIAS3,PTPN21,CDON,PRDM2,PHF3,ATP2B1,APBB2,ERBB2,COL1A1,ADORA2B,CDKN1B,MAPK14,MGLL,PTEN,COL1A2,NFKB1,SCAF8,MTA1,DLG1,COL5A2,ATP2B4,PLCB4,DYRK1A,NIPBL,LAMC1,PTPRM,FYN,INSIG1,NR3C1,CAV1,RASA2,ABCC1,MIOS,TJP1,RXRA,SFMBT1,GJA1,VAV2,ATXN1,SPOP,KIT,ACVR2A,COL3A1,WDR37,TFPI,MRPS31,SMAD3,KALRN,INPP4B,PRKCE,BDNF,ATP5S,VLDLR,MMP16,LDLR,IRS1,GCNT1,ATRN,SCHIP1,BCKDHB,SYNJ2,NRP1,RGS4,FHL2	0.0341704484749326
HALLMARK_INTERFERON_GAMMA_RESPONSE	UP	1.27623936700537	5546	96	12534	96	0.0144696350349407	CFB,CFH,VCAM1,SERPING1,FGL2,LGALS3BP,ICAM1,PFKP,IFITM3,PLA2G4A,LCP2,TNFAIP2,IFIT3,TXNIP,IRF5,CSF2RB,MX1,BANK1,MYD88,IRF7,GZMA,SELP,CCL5,SP110,NFKBIA,MTHFD2,JAK2,PML,LY6E,WARS,STAT3,CASP3,PTPN6,MVP,PNP,BPGM,ISG20,NMI,IFIT2,IFI30,FAS,EIF4E3,TDRD7,SRI,NUP93,ARL4A,EPSTI1,IRF4,GCH1,DHX58,PLSCR1,LATS2,ZNFX1,TOR1B,IL10RA,CASP4,RIPK1,TAPBP,BTG1,CD69,CD40,CDKN1A,RSAD2,ZBP1,OAS2,IFITM2,CD86,PDE4B,UBE2L6,NOD1,DDX58,P2RY14,IRF9,IL2RB,CCL7,CD38,ADAR,UPP1,KLRK1,MX2,ST3GAL5,TRIM25,IRF2,TNFAIP6,BST2,TNFAIP3,PTPN1,PTPN2,PELI1,CASP1,TRIM26,SAMHD1,CMKLR1,RNF31,CMPK2,SOCS3,SAMD9L,NLRC5,B2M,PARP12,NCOA3,IRF8,XAF1,VAMP8,CCL2,GPR18,CD274,VAMP5,NFKB1,SPPL2A,RAPGEF6,SLC25A28,IFIT1,IFI44,XCL1,ISOC1,ITGB7,IFI27,DDX60,PSMB8,RTP4,TRIM21,IFI44L,STAT2,IFIH1,TRIM14,OGFR,IL15,ISG15,TAP1,PSMB9,TRAFD1,EIF2AK2,IL18BP,IFNAR2,CXCL10,HIF1A,PSMA2,PSMB2,CASP8,PARP14,SLAMF7,ST8SIA4,LYSMD2,LAP3,HERC6,RIPK2,USP18,RNF213,IRF1,AUTS2,CXCL9,PSMA3,RBCK1,NAMPT,PIM1,PSMB10,CIITA,PNPT1,PSME1,IFI35,PSME2,SSPN,STAT1,IL15RA,CASP7,CXCL11,SOD2,TNFSF10,CD74	0.0452176094841897
HALLMARK_XENOBIOTIC_METABOLISM	UP	4.08436221441761	389	18	12534	18	1.18202201981887e-05	FBLN1,APOE,CFB,SERPINE1,TGFB2,MAOA,EPHX1,GCLC,AOX1,IGFBP4,NINJ1,CYFIP2,ESR1,SLC6A6,ATOH8,HMOX1,TNFRSF1A,IL1R1,TMEM176B,LPIN2,RETSAT,POR,FMO3,CAT,SPINT2,FAH,ID2,ABCC3,UGDH,CBR1,SLC12A4,GABARAPL1,PDK4,BCAT1,CYP2E1,ABHD6,TMEM97,AHCY,FAS,PGRMC1,CROT,RBP4,VNN1,COMT,IDH1,SLC22A1,GCH1,IGF1,SLC1A5,PDLIM5,XDH,GCKR,FMO1,CDO1,DHRS1,SMOX,CD36,GSS,CSAD,CNDP2,TYR,ACP2,LCAT,ABCD2,NMT1,NPC1,ABCC2,EPHA2,UPP1,ENTPD5,TMBIM6,ELOVL5,TPST1,RAP1GAP,GSR,GCNT2,PTGDS,ALDH3A1,ASL,ENPEP,SLC35D1,PROS1,SERTAD1,ITIH4,IRF8,PMM1,DHRS7,DDAH2,BCAR1,PLG,PTGES3,SHMT2,PTGR1,ARG2,CDA,NQO1,PTS,HACL1,ACOX3,ANGPTL3,BLVRB,SSR3,PPARD,AP4B1,GSTM4,ALDH2,LONP1,GART,HES6,DDT,ARG1,KARS,GSTT2,PAPSS2,GSTO1,ECH1,ACOX1,MTHFD1,CYB5A,BPHL,JUP,SAR1B,DHPS,PEMT,SLC46A3,PSMB10,CYP27A1,SLC35B1,NDRG2,ALDH9A1,ETS2,NFS1,MARCH6,DDC,ACP1,ETFDH,MCCC2,VTN,DCXR,ALAS1,ATP2A2,PINK1	5.62867628485176e-05
