Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_BILE_ACID_METABOLISM	UP	1.54519056261343	6612	66	17028	66	0.000131216807002343	AMACR,BBOX1,ABCA2,LCK,CYP7A1,PECR,FDXR,ABCG8,DIO2,PHYH,AKR1D1,OPTN,CAT,TTR,GCLM,ACSL5,SLC23A1,EPHX2,SOAT2,CYP39A1,PEX11A,HSD3B1,ALDH9A1,PEX11G,EFHC1,HSD17B6,SLC29A1,KLF1,PEX7,HSD17B4,IDH1,NR1I2,IDH2,GNPAT,PFKM,CROT,ATXN1,ABCD3,HACL1,HAO1,GSTK1,NEDD4,PIPOX,NUDT12,ABCA3,CYP8B1,CYP7B1,LIPE,ALDH1A1,LONP2,ABCD2,ABCA9,CYP46A1,AR,APOA1,SCP2,ALDH8A1,RBP1,NR3C2,SLC27A2,AGXT,AQP9,IDI1,PEX12,PAOX,PEX19,DIO1,RETSAT,SLC27A5,ISOC1,MLYCD,PEX1,BCAR3,SLC23A2,SOD1,SULT1B1,CYP27A1,SERPINA6,PRDX5,SLC35B2,GNMT,ABCA6,ABCG4,ABCA4,NR1H4,PXMP2,ABCA5,DHCR24,GC,RXRG,ACSL1,TFCP2L1,PEX6,PEX13,PEX16,FADS1,NPC1,SLC22A18,SULT2B1,CH25H,PEX26,FADS2,HSD17B11,BMP6,PNPLA8,HSD3B7,ABCD1,RXRA,ABCA1,NR0B2	0.00131216807002343
HALLMARK_INFLAMMATORY_RESPONSE	DOWN	1.57775718741436	4033	71	17028	71	0.000401713372698009	LDLR,RGS16,CCL7,IL15RA,HAS2,ADM,BST2,IL1A,CSF3,ATP2A2,IRAK2,ABCA1,IL1B,SGMS2,CCL2,IRF1,RELA,CLEC5A,TLR2,CD14,NFKBIA,ATP2B1,LIF,INHBA,TNFAIP6,IL6,RNF144B,PCDH7,TNFRSF1B,RAF1,SPHK1,SLC11A2,ADRM1,KIF1B,SLC7A1,CCRL2,IL1R1,CCL17,MEFV,C3AR1,NFKB1,ACVR1B,AXL,NAMPT,P2RX4,SLC7A2,IFITM1,FFAR2,IL18R1,NLRP3,PVR,EMP3,BEST1,IFNAR1,CD55,TLR1,ITGA5,IFNGR2,EMR1,CCL22,EDN1,PLAUR,OSMR,HBEGF,CCL24,TNFRSF9,TACR3,GNA15,CXCL10,SLC1A2,ITGB3,RHOG,ICAM1,OLR1,HPN,EREG,SLC31A1,OSM,GPR183,LTA,PTPRE,FPR1,CD82,EIF2AK2,PTAFR,SERPINE1,HIF1A,CYBB,GCH1,RIPK2,CCL20,PROK2,CHST2,MET,SCN1B,MARCO,PTGER2,TIMP1,LPAR1,CD70,ROS1,PTGIR,IL18RAP,NMI,TAPBP,SELL,EBI3,TNFSF15,PSEN1,IRF7,P2RY2,GNAI3,SLC31A2,C5AR1,IL10,KLF6,CXCR6,CD40,CALCRL,TPBG,DCBLD2,MSR1,GPR132,CXCL9,CMKLR1,ABI1,P2RX7,AQP9,MEP1A,ATP2C1,CX3CL1,CSF3R,LYN,STAB1,LCP2,PTGER4,SRI,LAMP3,OPRK1,APLNR,MMP14,KCNMB2,PIK3R5,NOD2,SLAMF1,ADORA2B,KCNA3,FZD5,HRH1,SLC4A4,RTP4,MXD1,PDE4B,KCNJ2,ACVR2A,VIP,ITGB8,IL7R,PDPN,TNFSF9,NMUR1,CCR7,GP1BA,AHR,NDP,CD69,CSF1,CD48,IL18,IL15,CDKN1A,F3,SCARF1,RGS1,LY6E,BTG2,GABBR1,SLC28A2,TLR3,IL10RA,RASGRP1,BDKRB1,GPC3,SELE,SEMA4D,TNFSF10,TACR1,LCK,IL2RB,CCL5	0.00363176444731124
HALLMARK_G2M_CHECKPOINT	DOWN	1.30536564014459	8381	124	17028	124	0.000435811733677349	LBR,POLE,ODC1,H2AFX,CENPA,AMD1,NOLC1,HUS1,TACC3,UCK2,CDKN3,FOXN3,SMC1A,DKC1,TRA2B,SLC7A1,ABL1,CUL1,GSPT1,ILF3,UPF1,HIRA,NUP98,PTTG1,KIF15,PRMT5,CDK1,NEK2,SNRPD1,TFDP1,NUSAP1,TMPO,SETD8,TOP1,UBE2S,HOXC10,ZAK,CKS2,AURKB,CDC6,CHAF1A,HMMR,EZH2,TLE3,E2F4,FANCC,CDC27,KIF11,LIG3,CDKN2C,CCNB2,EGF,PML,TGFB1,KIF2C,CDC45,CUL3,FBXO5,YTHDC1,SRSF1,CCNF,POLQ,KIF23,SLC7A5,MAD2L1,SAP30,PLK1,HMGA1,SUV39H1,EWSR1,CHEK1,NCL,PBK,G3BP1,PRC1,SYNCRIP,ODF2,HN1,HIF1A,KIF5B,CCNT1,PAPD7,DR1,RAD54L,CKS1B,KATNA1,BUB1,MAPK14,NUP50,CHMP1A,NOTCH2,SMC4,PAFAH1B1,XPO1,HMGN2,RBM14,MCM3,CUL4A,KIF20B,E2F2,STMN1,RAD21,SMARCC1,UBE2C,EXO1,CDC25A,SRSF10,SLC38A1,CDK4,BCL3,RACGAP1,STAG1,H2AFV,BARD1,CTCF,LMNB1,INCENP,SFPQ,HNRNPU,TRAIP,KPNB1,CBX1,MYBL2,TPX2,POLA2,CDC20,PURA,H2AFZ,MEIS2,BIRC5,ATF5,HNRNPD,PRIM2,RPS6KA5,CCNA2,PRPF4B,PDS5B,TNPO2,SRSF2,E2F3,SMC2,HSPA8,CENPE,STIL,DBF4,DTYMK,BUB3,WHSC1,CDKN1B,MKI67,HIST1H2BK,ATRX,SS18,KIF22,TTK,RAD23B,NDC80,NASP,HMGB3,SMAD3,MARCKS,PLK4,CDC25B,MNAT1,WRN,CUL5,ORC5,TROAP,MTF2,BRCA2,MEIS1,RASAL2,TOP2A,NUMA1,E2F1,CDC7,EFNA5,CENPF,MCM6,SQLE,RPA2,RBL1,MCM5,ORC6,AURKA,SLC12A2,DMD,GINS2,MCM2,ARID4A,CCND1,CASC5,ESPL1	0.00363176444731124
HALLMARK_INTERFERON_GAMMA_RESPONSE	DOWN	6.85507246376812	81	6	17028	6	0.0049539941755099	PIM1,SOCS1,CCL7,IL15RA,IRF8,PLSCR1,BST2,UPP1,CCL2,IRF1,TOR1B,PELI1,NLRC5,WARS,NFKBIA,SOCS3,TNFAIP6,IL6,PTPN1,ZNFX1,IRF4,RNF31,USP18,CD86,UBE2L6,PARP12,NFKB1,ISG20,NAMPT,TRIM21,IFITM2,IFITM3,IFI30,SLC25A28,ADAR,RIPK1,LYSMD2,PTPN6,DHX58,PNP,CXCL10,PARP14,PML,XAF1,CD38,ST3GAL5,ICAM1,RBCK1,APOL6,PSMA3,IFIH1,BATF2,IFI35,CMPK2,VAMP8,SAMHD1,CFH,CSF2RB,FPR1,EIF2AK2,SPPL2A,HIF1A,ARID5B,GCH1,STAT1,STAT3,CASP4,OGFR,RIPK2,TRIM26,TRAFD1,PLA2G4A,PSMB2,PTGS2,CD274,IFI27,TAP1,STAT4,MX1,MX2,IL18BP,CASP8,SOD2,RSAD2,PSMB8,C1S,NMI,IRF9,TAPBP,FGL2,PNPT1,GBP4,GBP6,EIF4E3,TXNIP,IRF7,ST8SIA4,IFI44L,IFNAR2,CFB,PSME1,VCAM1,TRIM14,ISOC1,OAS3,TNFAIP3,CD40,BTG1,SERPING1,LATS2,PSMB9,CXCL9,CMKLR1,IDO1,ITGB7,MYD88,ISG15,SP110,LAP3,IRF2,STAT2,MTHFD2,NOD1,LCP2,NUP93,JAK2,P2RY14,OAS2,SRI,TRIM25,PFKP,BPGM,XCL1,MVP,EPSTI1,PSMB10,PSME2,ZBP1,IRF5,IFIT3,IFI44,RNF213,TDRD7,RTP4,PDE4B,B2M,RAPGEF6,IL7,METTL7B,NCOA3,DDX60,AUTS2,PTPN2,DDX58,CASP3,CD69,HERC6,ARL4A,IL15,CDKN1A,CD74,CASP7,IFIT1,MARCH1,SSPN,GPR18,VAMP5,LGALS3BP,LY6E,SLAMF7,GZMA,IL10RA,FAS,SELP,CASP1,CIITA,SAMD9L,TNFSF10,IFIT2,BANK1,TNFAIP2,IL2RB,KLRK1,CCL5	0.0381076475039223
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	DOWN	1.81060543162402	6185	73	17028	73	1.31341608700097e-08	H2AFX,HERPUD1,NOP14,EIF2AK3,SLC1A4,NOLC1,CCL2,EDC4,TSPYL2,NOP56,DNAJC3,HYOU1,XPOT,ATF4,DNAJB9,TARS,EXOSC2,KHSRP,HSPA5,ERO1L,DKC1,DCTN1,IARS,CEBPG,CEBPB,TATDN2,IMP3,PREB,EIF4EBP1,RRP9,EIF4A1,EIF2S1,FKBP14,SSR1,SDAD1,ERN1,TUBB2A,XBP1,WFS1,SEC31A,SPCS3,ZBTB17,SHC1,EIF4G1,VEGFA,DNAJA4,SLC30A5,SRPR,EIF4E,CXXC1,SRPRB,BAG3,LSM1,IGFBP1,HSP90B1,SLC7A5,ALDH18A1,SERP1,EXOSC4,LSM4,DDX10,CHAC1,PARN,POP4,EDEM1,GOSR2,FUS,KIF5B,EXOSC1,RPS14,CKS1B,DCP1A,PSAT1,SKIV2L2,EXOSC5,ASNS,SEC11A,ARFGAP1,EEF2,ATF6,EXOC2,WIPI1,NFYA,PDIA5,EXOSC10,PDIA6,TTC37,EIF4A3,HSPA9,GEMIN4,CALR,NHP2,PAIP1,EIF4A2,ATP6V0D1,YWHAZ,MTHFD2,BANF1,EXOSC9,CNOT2,ATF3,NFYB,CNOT6,YIF1A,CNOT4,STC2,SPCS1,DCP2,IFIT1,DDIT4,KDELR3	6.56708043500485e-07
HALLMARK_IL6_JAK_STAT3_SIGNALING	DOWN	2.03370930530633	4136	41	17028	41	1.54247399263285e-05	PIM1,SOCS1,CCL7,IL15RA,HMOX1,IL1B,IL17RA,IRF1,CD9,TLR2,CD14,CSF2,SOCS3,IL6,IL3RA,CXCL3,TNFRSF1B,TNF,LEPR,PTPN1,TNFRSF1A,TNFRSF12A,LTBR,IL1R1,CXCL1,TYK2,ACVR1B,IL18R1,CSF2RA,IFNAR1,IFNGR2,CCR1,ACVRL1,A2M,OSMR,IL2RA,IFNGR1,CXCL10,TGFB1,ITGB3,CD38,CSF2RB,HAX1,GRB2,STAT1,STAT3,PDGFC,IL1R2,CNTFR,IL10RB,IL12RB1,CD36,BAK1,MAP3K8,IRF9,IL6ST,EBI3,CD44,PTPN11,TNFRSF21,CXCL9,MYD88,IL13RA1,LTB,CSF3R,STAT2,STAM2,IL17RB,PIK3R5,CBL,ITGA4,INHBE,IL7,JUN,PTPN2,CSF1,PF4,IL2RG,CRLF2,DNTT,IL9R,FAS,CXCL13	0.000257078998772142
HALLMARK_MYC_TARGETS_V1	DOWN	1.38444219295283	8505	130	17028	130	2.25620966232132e-06	ODC1,DDX21,GNL3,UBA2,NOLC1,NOP16,NOP56,EIF3B,XPOT,SRM,ETF1,SNRPA,PPM1G,U2AF1,IARS,CBX3,HNRNPC,TRA2B,RANBP1,CUL1,GSPT1,PABPC4,TRIM28,EIF2S2,CCT3,RRP9,EIF4A1,EIF2S1,SNRPD1,STARD7,TFDP1,PSMD3,RNPS1,UBE2L3,HDAC2,ILF2,FAM120A,DDX18,ERH,SRSF7,POLD2,CAD,PPIA,TCP1,SNRPD3,RSL1D1,RUVBL2,CANX,CCT2,TXNL4A,PA2G4,PCBP1,EPRS,EIF4E,DHX15,CDC45,CTPS,SRSF1,ABCE1,APEX1,MRPS18B,CNBP,RPLP0,MAD2L1,USP1,LDHA,YWHAE,HDGF,SNRPA1,PSMC6,PSMB3,G3BP1,SYNCRIP,EIF4H,YWHAQ,MRPL23,CDK2,PSMD1,SSB,SF3A1,EIF3D,RPS5,GNB2L1,CCT5,SET,PSMD7,SNRPG,POLE3,CCT4,UBE2E1,SERBP1,XPO1,SF3B3,SNRPB2,VBP1,RPL14,PRPF31,RPL18,HNRNPR,PSMB2,SMARCC1,EIF4G2,LSM2,RRM1,PSMC4,SSBP1,NME1,PRDX3,PGK1,CDK4,TUFM,FBL,RPS3,PSMD8,EXOSC7,PSMA7,MRPL9,IFRD1,HNRNPU,KARS,HDDC2,AIMP2,DEK,KPNB1,IMPDH2,HSP90AB1,PSMA6,NCBP2,PSMA1,C1QBP,AP3S1,PHB2,MCM7,TOMM70A,CDC20,RPL6,H2AFZ,PABPC1,SLC25A3,PRDX4,PWP1,PSMD14,PTGES3,VDAC3,XRCC6,LSM7,HNRNPD,ORC2,CYC1,EEF1B2,CCNA2,SRSF2,EIF1AX,CSTF2,TARDBP,PSMA4,BUB3,VDAC1,CLNS1A,HNRNPA2B1,NHP2,COPS5,COX5A,HSPD1,NDUFAB1,HNRNPA1,RAD23B,MCM4,RPS6,PHB,CCT7,DUT,NCBP1,RPL34,RPL22,GOT2,SRPK1,GLO1,HSPE1,RFC4,PRPS2,ACP1,MCM6,PCNA,MCM5,TYMS,MCM2,NAP1L1	5.6405241558033e-05
HALLMARK_MYC_TARGETS_V2	DOWN	3.5595934907056	2221	26	17028	26	3.23230336940483e-08	PPRC1,PPAN,NOP2,GNL3,RRP12,IPO4,NOLC1,NOP16,NOP56,BYSL,FARSA,TMEM97,WDR43,SRM,GRWD1,NIP7,PES1,CBX3,PUS1,MRTO4,MAP3K6,MYBBP1A,WDR74,IMP4,MPHOSPH10,RRP9,TBRG4,DDX18,SUPV3L1,PA2G4,NDUFAF4,HK2,TCOF1,PLK1,TFB2M,PRMT3,UTP20,EXOSC5,RABEPK,CDK4,SLC29A2,AIMP2,DCTPP1,NOC4L,HSPD1,UNG,MCM4,PHB,PLK4,SLC19A1,HSPE1,LAS1L,RCL1,MCM5,DUSP2,SORD	1.07743445646828e-06
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	UP	1.49676896429206	5629	95	17028	95	5.02373925539423e-05	COL5A3,WNT5A,SGCB,SFRP4,COL7A1,CXCL1,LOXL1,TNC,WIPF1,FAS,PDGFRB,OXTR,LAMA3,THY1,COL8A2,SGCG,ABI3BP,COL5A1,ACTA2,LUM,SCG2,DPYSL3,CXCL12,PFN2,CYR61,MGP,MEST,FBLN1,GLIPR1,GEM,FUCA1,RGS4,FBLN5,IL15,FMOD,COL16A1,FBN1,EDIL3,LOX,FBLN2,TPM1,GADD45A,CADM1,FGF2,THBS2,JUN,NNMT,SLIT2,IGFBP3,ENO2,COL1A2,TPM2,PTHLH,PRRX1,COL4A1,MMP2,COL4A2,DAB2,NID2,SAT1,TGFBI,COMP,FAP,SLIT3,MAGEE1,BDNF,VIM,SERPINE2,COL3A1,BMP1,CTGF,MYL9,COL5A2,DCN,CDH6,COL1A1,CAP2,SLC6A8,SDC1,SFRP1,DST,ITGA2,TAGLN,MMP14,ECM2,SERPINH1,COL6A2,CDH11,VEGFC,SNAI2,LAMA2,CALD1,GADD45B,SPP1,LAMC1,QSOX1,TNFRSF11B,CAPG,MYLK,COL6A3,MMP3,POSTN,ITGAV,MATN3,NTM,MFAP5,EFEMP2,TNFAIP3,TPM4,SPOCK1,FLNA,BGN,HTRA1,VCAM1,SPARC,ECM1,FSTL1,BASP1,AREG,CD44,ITGB1,PRSS2,ELN,COL12A1,MCM7,DKK1,PTX3,SGCD,PPIB,RHOB,GPC1,LOXL2,ID2,LAMC2,TIMP3,GAS1,TIMP1,VCAN,FERMT2,LGALS1,NOTCH2,GPX7,PCOLCE,FZD8,FN1,MSX1,LAMA1,SERPINE1,FSTL3,APLP1,FOXC2,IGFBP2,LRP1,PMP22,PCOLCE2,THBS1,CDH2,ITGB3,TGFB1,NT5E,VEGFA,PLAUR,PMEPA1,COPA,ITGA5,CTHRC1,ANPEP,GREM1,CRLF1,EMP3,LRRC15,PVR,MATN2,SNTB1,PDLIM4,ITGB5,ADAM12,PLOD3,IGFBP4,CALU,TNFRSF12A,PLOD2,FBN2,IL6,LEPRE1,INHBA,PLOD1,SDC4,TFPI2,TGFBR3,TGM2,COL11A1	0.00071767703648489
HALLMARK_IL2_STAT5_SIGNALING	DOWN	7.74255952380952	126	11	17028	11	6.30743407226131e-06	SPRY4,PIM1,IL1RL1,RGS16,SOCS1,ADAM19,IRF8,PLSCR1,ODC1,IL13,BCL2L1,NOP2,TGM2,MAPKAPK2,DCPS,CISH,SMPDL3A,PTRH2,IGF2R,HIPK2,SPRED2,BHLHE40,CSF2,LIF,DENND5A,UCK2,IL3RA,TNFRSF1B,IRF4,NFIL3,LRIG1,PUS1,CKAP4,CD86,SLC1A5,PHLDA1,IKZF4,SNX9,MAFF,RRAGD,P2RX4,DHRS3,IFITM3,SOCS2,IL18R1,AHCY,UMPS,PLEC,ST3GAL4,NCS1,SYNGR2,XBP1,PLIN2,CDC6,GLIPR2,ENPP1,CD83,FURIN,EMP1,IL2RA,IFNGR1,P4HA1,TNFRSF9,PNP,CXCL10,NT5E,HK2,HUWE1,PRAF2,MYO1C,APLP1,WLS,PRNP,IGF1R,SHE,CCNE1,F2RL2,SLC39A8,RNH1,COL6A1,CD81,CYFIP1,AHNAK,PTH1R,IL1R2,TTC39B,PTGER2,ITGAE,LRRC8C,RORA,TNFRSF18,SLC29A2,ITGA6,BMPR2,CDC42SE2,TNFRSF8,RHOB,MAP3K8,GPX4,SYT11,FGL2,SELL,GBP4,AGER,CCND3,NDRG1,IRF6,CD44,SERPINC1,BATF3,PTCH1,TNFRSF21,ECM1,IL10,PDCD2L,SLC2A3,KLF6,SCN9A,PRKCH,GABARAPL1,TWSG1,N6AMT2,POU2F1,ITGAV,CTSZ,LTB,CAPG,RHOH,PLAGL1,CDKN1C,LCLAT1,SPP1,GADD45B,CAPN3,GUCY1B3,GSTO1,SNX14,TIAM1,MUC1,CD79B,ALCAM,CDCP1,GPR83,PPAP2A,TNFSF11,CTLA4,MYO1E,TNFRSF4,PENK,GPR65,CCND2,MXD1,BATF,S100A1,ENO3,GALM,NFKBIZ,BCL2,SWAP70,ITIH5,PHTF2,NCOA3,SH3BGRL2,BMP2,METTL20,COCH,CASP3,AHR,CSF1,CD48,CST7,ARL4A,FAM126B,HOPX,TRAF1,FAH,CCR4,MAP6,ETV4,EOMES,RABGAP1L,TLR7,NRP1,ICOS,IL10RA,SELP,GATA1,TNFSF10,ANXA4,IL2RB,AMACR,IKZF2	0.000126148681445226
