Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_XENOBIOTIC_METABOLISM	DOWN	1.53348477026329	3874	74	12042	74	0.000215386026679365	MCCC2,ABCD2,GCH1,TMEM97,NDRG2,ALDH9A1,HSD11B1,ALAS1,LEAP2,MTHFD1,NPC1,IDH1,UPB1,SLC46A3,ACP1,ETFDH,ANGPTL3,MAOA,ACOX3,VTN,FETUB,LPIN2,ACOX1,BPHL,ECH1,CNDP2,HACL1,EPHX1,CYP1A1,ELOVL5,DDC,LONP1,GART,IGFBP4,SHMT2,RBP4,ACP2,TGFB2,DHRS1,NQO1,CD36,SAR1B,CYP27A1,TPST1,GCLC,MARCH6,ARPP19,DHRS7,CAT,ADH5,COMT,ALDH2,ABCC2,G6PC,CASP6,ASL,CROT,NFS1,DDT,CDO1,CDA,GAD1,ACO2,POR,RAP1GAP,SLC35D1,ENTPD5,PTGDS,RETSAT,KARS,CBR1,ATOH8,GNMT,CFB,CYB5A,DCXR,SLC35B1,TMBIM6,PEMT,PROS1,TTPA,NMT1,PINK1,FAS,F10,ABCC3,TDO2,ARG1,PLG,GABARAPL1,SSR3,PGRMC1,BLVRB,ENPEP,SLC1A5,GSS,PPARD,AOX1,PTGES3,GSR,GCNT2,CSAD,LCAT,MPP2,PAPSS2,FBP1,TNFRSF1A,ATP2A2,KYNU,FMO3,CYFIP2,DHPS,FABP1,UGDH,PGD,TAT,PMM1,JUP,CCL25,PTS,HNF4A,IGFBP1,IGF1,IRF8,DDAH2,UPP1,APOE,IL1R1,ID2,HES6,SLC6A6,XDH,FBLN1,FAH,PTGR1,EPHA2,AP4B1,PDLIM5,ABHD6,GSTM4,SLC12A4,NINJ1,SMOX,MBL2,HMOX1,AQP9,PTGES,BCAR1,SERPINE1,BCAT1	0.0011336106667335
HALLMARK_COAGULATION	UP	2.26259210049523	1461	28	12042	28	0.000444233932538673	F3,MBL2,TFPI2,DUSP14,SERPINE1,HTRA1,S100A1,THBD,F2RL2,THBS1,F10,GNB2,S100A13,CAPN2,PRSS23,FURIN,FYN,MMP14,CPN1,GSN,LRP1,CD9,DUSP6,PECAM1,TIMP3,CLU,MMP9,ANXA1,P2RY1,CRIP2,SPARC,CASP9,DCT,CFH,GP1BA,CTSK,RAPGEF3,PLEK,ITGB3,ARF4,PLAU,CAPN5,PDGFB,SIRT2,CTSB,FBN1,BMP1,HNF4A,USP11,MMP2,ITGA2,C9,CFB,PLAT,ISCU,SH2B2,CTSH,MEP1A,F8,LTA4H,SERPINC1,ADAM9,DPP4,KLKB1,LGMN,C8G,MST1,HPN,FGA,F2,GP9,FN1,CTSO,CFI,SERPING1,VWF,APOC1,GDA,KLF7,PLG,C8B,PROC,PREP,C3,FGG,RAC1,PROS1,WDR1,C8A,PEF1,CPB2,A2M,APOA1,LAMP2,APOC2,F9,MSRB2,RGN,TMPRSS6,MASP2,MMP15,RABIF	0.00222116966269336
HALLMARK_DNA_REPAIR	DOWN	2.73884938590821	663	19	12042	19	0.00117093361355769	PRIM1,LIG1,POLA1,RAD51,RFC5,POLA2,RFC4,DDB1,POLD1,DUT,POLD3,TYMS,GPX4,ADCY6,RPA2,FEN1,RFC3,NUDT9,RPA3,GTF2H5,CETN2,PCNA,POLR3GL,RALA,APRT,DDB2,TAF10,RAD52,ARL6IP1,XPC,UPF3B,GTF2H3,UMPS,POLR2E,SEC61A1,SSRP1,AAAS,GUK1,TARBP2,DAD1,POLR2C,CDA,MRPL40,BOLA2,DCTN4,POLL,ERCC8,SF3A3,ERCC5,REV3L,ELL,TMED2,ERCC3,NME3,TAF6,GTF3C5,IMPDH2,CANT1,GMPR2,GTF2F1,RFC2,SRSF6,POLE4,ADA,NUDT21,NPR2,TAF13,SURF1,POLD4,DGCR8,NME4,TAF12,POLR2D,POLR2I,POLR2K,TAF9,POLR2F,DFNA5,PDE4B,RRM2B,CSTF3,RAE1,BCAP31,ITPA,POLR1C,POLR3C,POLR2H,NFX1,POLH,RBX1,CLP1,MPG,SNAPC4,EDF1,POLR2G,ERCC1,POLB,NT5C3,ZNRD1,POLR1D,STX3,GTF2H1,AK3,GTF2B,NCBP2,POLR2A,BRF2,VPS37B,CMPK2,USP11,ERCC4,POM121,TCEB3,BCAM,PNP,POLR2J,RNMT,TAF1C,GTF2A2,SAC3D1,SDCBP,PDE6G,AK1,SMAD5,TSG101,ERCC2	0.00557587435027471
HALLMARK_GLYCOLYSIS	DOWN	2.62810999563509	580	20	12042	20	0.00152326249793688	AKR1A1,NASP,GNE,HMMR,IDUA,GOT2,ANGPTL4,GUSB,PAM,MET,ALDH9A1,ALDH7A1,KIF20A,GLRX,CAPN5,PYGL,LHPP,ERO1L,DLD,FKBP4,IDH1,NDUFV3,CDK1,STMN1,PGM2,AURKA,CITED2,AGL,HDLBP,KDELR3,GLCE,PGAM1,IGFBP3,B4GALT1,SLC37A4,SOD1,GYS2,HS2ST1,QSOX1,PGLS,GFPT1,RPE,SLC25A10,MIF,TALDO1,NSDHL,TPST1,GCLC,ARPP19,GALK1,SLC35A3,SRD5A3,CASP6,GMPPA,PKP2,TPI1,FAM162A,MPI,ENO2,VLDLR,RARS,HOMER1,ARTN,AGRN,CYB5A,PSMC4,UGP2,GPC4,SDHC,IRS2,ANKZF1,CLN6,COPB2,MDH2,MIOX,HK2,MED24,B3GAT3,SDC2,ALDOB,PAXIP1,EXT1,PPP2CB,MDH1,ECD,MXI1,LCT,ME2,ABCB6,ALG1,GALE,ELF3,PPFIA4,P4HA1,HAX1,GYS1,IL13RA1,TGFBI,BPNT1,PFKP,PLOD1,NT5E,B4GALT2,FUT8,RBCK1,DSC2,B3GALT6,KIF2A,TGFA,MERTK,GMPPB,AK4,CHST1,AK3,HSPA5,GNPDA1,PHKA2,P4HA2,PLOD2,GOT1,B4GALT7,GAL3ST1,CACNA1H,GPC1,CXCR4,LHX9,EXT2,COG2,LDHA,B4GALT4,STC2,NANP,PRPS1,EGLN3,VEGFA,SDC3,SOX9,CD44,TPBG,CHST12,TSTA3,GAPDHS,PDK3,CHST2,VCAN,CLDN3,POLR3K,EGFR,DDIT4,XYLT2,CHPF,IER3,DCN,B3GNT3,CTH,CHPF2,HS6ST2,ADORA2B	0.00692392044516764
HALLMARK_MYOGENESIS	UP	2.65883419327848	606	19	12042	19	0.00185269463781546	CRYAB,DAPK2,ACTC1,TGFB1,LDB3,LARGE,SPEG,FGF2,CACNG1,VIPR1,TNNC1,MYOM2,MRAS,TNNI1,DES,ITGA7,NOTCH1,SPTAN1,ACTN2,ADAM12,MYO1C,SVIL,PTGIS,AK1,GSN,BDKRB2,CLU,SSPN,SGCG,MAPK12,ST5,TAGLN,MEF2C,MAPRE3,SPARC,EPHB3,PDE4DIP,TPM2,NOS1,IGF1,BIN1,ITGB4,ACHE,TNNI2,SMTN,TNNT2,COL15A1,PVALB,MYLPF,PFKM,BHLHE40,PDLIM7,APLNR,SGCD,CASQ1,STC2,LPIN1,GJA5,CASQ2,CRAT,SIRT2,KLF5,HBEGF,MYH4,CACNA1H,SPHK1,SH3BGR,MYH7,MYLK,NCAM1,ADCY9,AEBP1,PPP1R3C,GADD45B,MEF2D,CKB,SCHIP1,ABLIM1,FST,IFRD1,TEAD4,KIFC3,PICK1,LSP1,REEP1,ATP6AP1,SYNGR2,GNAO1,ITGB1,BAG1,FKBP1B,DTNA,FOXO4,APP,ERBB3,GABARAPL2,PLXNB2,COL6A3,MYH11,APOD,PPFIA4,FLII,SORBS3,ITGB5,DMD,SLC6A8,GAA,FABP3,COL6A2,HSPB8,EIF4A2,TNNT3,CNN3,PYGM,SORBS1,FDPS,TPD52L1,CHRNA1,CHRNB1,TSC2,AGRN,CDKN1A,ENO3,COL4A2,COX6A2,PSEN2,SH2B1,LAMA2,CAMK2B,COL1A1,CD36,NQO1,MEF2A,HDAC5,SOD3,MYH9,ACSL1,AKT2,IGFBP3,AGL,NAV2,RB1	0.00805519407745852
HALLMARK_ANGIOGENESIS	UP	5.00320512820513	702	7	12042	7	0.00338825945303101	FGFR1,THBD,MSX1,PDGFA,JAG2,KCNJ8,APOH,PTK2,VCAN,VEGFA,JAG1,PGLYRP1,CCND2,LPL,VAV2,POSTN,APP,FSTL1,NRP1,LRPAP1,ITGAV,VTN,TNFRSF21,SLCO2A1	0.0141177477209625
HALLMARK_HEME_METABOLISM	DOWN	1.30280150324564	5854	95	12042	95	0.00371626935511127	NNT,ANK1,AQP3,NR3C1,HTATIP2,MINPP1,ELL2,PICALM,PPP2R5B,HDGF,SNCA,RAD23A,MBOAT2,DAAM1,AGPAT4,CDC27,ALAD,GAPVD1,CAST,LPIN2,SLC2A1,MARCH2,MARCH8,TFRC,PPOX,ATP6V0A1,GLRX5,ACSL6,IGSF3,ALDH1L1,ALAS2,C3,BNIP3L,DCUN1D1,RNF19A,LAMP2,MOCOS,NUDT4,RANBP10,PGLS,XPO7,XK,KEL,GCLC,TAL1,CAT,FTCD,UROD,HAGH,ADD2,GDE1,E2F2,RAP1GAP,H1F0,SLC4A1,FBXO7,NEK7,FOXO3,USP15,SIDT2,ACP5,TNRC6B,CCDC28A,PQLC1,SELENBP1,CPOX,RNF123,CLCN3,OSBP2,ADIPOR1,ARL2BP,ALDH6A1,PRDX2,FBXO9,PIGQ,DCAF11,CDR2,MGST3,ASNS,SLC7A11,CTSB,UROS,MPP1,GMPS,YPEL5,BACH1,EPOR,BSG,PSMD9,NARF,EIF2AK1,KLF3,BLVRB,SLC6A8,VEZF1,MXI1,ISCA1,HEBP1,SLC10A3,ABCB6,BMP2K,RHAG,KAT2B,EPB41,HMBS,KLF1,ADD1,SLC11A2,FECH,SLC25A38,TCEA1,OPTN,DCAF10,SYNJ1,SEC14L1,CTNS,UBAC1,MOSPD1,MARK3,LMO2,RIOK3,TOP1,MKRN1,NCOA4,P4HA2,TRAK2,NFE2L1,GCLM,RBM5,ARHGEF12,MFHAS1,TNS1,UCP2,ENDOD1,BCAM,BLVRA,EZH1,CIR1,ABCG2,HTRA2,LRP10,FBXO34,RCL1,TSPAN5,FAM46C,SLC30A1,TMEM9B,SDCBP,SMOX,FOXJ2	0.0148650774204451
HALLMARK_HYPOXIA	UP	1.39639468690702	4284	77	12042	77	0.00406610557738707	PGF,F3,ADORA2B,CYR61,LARGE,SLC6A6,FOS,NFIL3,SERPINE1,PNRC1,PTRF,HMOX1,VLDLR,NCAN,HS3ST1,LXN,TPD52,EGFR,DCN,IER3,CXCR4,DDIT4,EXT1,PFKP,PFKFB3,CDKN1C,SLC37A4,RORA,SLC2A1,EFNA1,HK2,IGFBP1,BCL2,KLF6,CHST2,TGFB3,DUSP1,PDK3,CSRP2,GAPDHS,SDC4,FOSL2,PIM1,TES,TPBG,CDKN1B,ALDOC,CTGF,TNFAIP3,CAV1,SDC3,VEGFA,BHLHE40,P4HA1,CHST3,ERRFI1,PLAUR,PLIN2,KIF5A,BCAN,STC2,LDHA,TGM2,NEDD4L,SIAH2,PDGFB,IDS,ANXA2,PPARGC1A,PCK1,ETS1,GPC1,HDLBP,BTG1,CCNG2,IRS2,BNIP3L,TIPARP,ADM,PRKCA,NAGK,PPP1R3C,P4HA2,XPNPEP1,RBPJ,FBP1,ATP7A,HSPA5,GRHPR,AMPD3,MXI1,AK4,VHL,UGP2,B3GALT6,DTNA,ENO2,TGFBI,PKP1,PDK1,GYS1,PPFIA4,GCNT2,HK1,SRPX,FOXO3,LOX,DDIT3,GALK1,SLC2A5,GAA,KLF7,PGM2,PFKL,JMJD6,NR3C1,ALDOB,SDC2,BGN,ATF3,PYGM,CITED2,ANKZF1,GPC4,AKAP12,GAPDH,CDKN1A,SELENBP1,ENO3,FAM162A,PGM1,TPI1,GBE1,CASP6,WSB1,PRDX5,MIF,STBD1,KLHL24,JUN,MYH9,CP,IGFBP3,GCK,KDELR3,SLC25A1,NDST1,ANGPTL4,SULT2B1,ERO1L,ILVBL,GLRX,PAM,PKLR,NDRG1	0.0156388676053349
HALLMARK_MTORC1_SIGNALING	DOWN	1.32945807132914	5020	92	12042	92	0.00461156439404198	MCM4,ELOVL6,MCM2,TMEM97,RPA1,GLRX,ERO1L,FADS2,IDH1,PSAT1,YKT6,DHCR7,BUB1,RRM2,DHCR24,AURKA,DHFR,UNG,STIP1,NAMPT,IDI1,PPA1,M6PR,SLC2A1,PLK1,FDXR,TFRC,EPRS,HSPD1,CCNF,TUBG1,UCHL5,ELOVL5,IMMT,SLC37A4,RPN1,PDAP1,SHMT2,SQLE,ACLY,CYB5B,CALR,HMGCS1,TM7SF2,CANX,COPS5,NUP205,GCLC,ACACA,EBP,EEF1E1,RDH11,PSMA3,ADD3,PITPNB,GBE1,PSMA4,PSMB5,SLC1A4,NUPR1,TPI1,PGM1,XBP1,IFRD1,PSMD12,UFM1,CTSC,SRD5A1,VLDLR,CDKN1A,GAPDH,PSMC4,CACYBP,PSMC6,FKBP2,PSMC2,HSPA9,LDLR,HSPA4,SORD,ACTR3,SEC11A,TOMM40,HSP90B1,ASNS,NMT1,SLC7A11,PSMD13,HK2,RAB1A,SSR1,SLC9A3R1,PSMD14,PSMG1,GMPS,NFIL3,PFKL,SERPINH1,WARS,SLC1A5,QDPR,DDIT3,HMGCR,GSK3B,IGFBP5,GSR,EDEM1,PHGDH,P4HA1,HMBS,PDK1,EIF2S2,CCNG1,LGMN,TCEA1,PRDX1,PSME3,CD9,TBK1,PNO1,ACSL3,ETF1,POLR3G,ATP2A2,NUFIP1,SERP1,ADIPOR2,SLC7A5,AK4,ABCF2,MLLT11,GTF2H1,LTA4H,HSPA5,SQSTM1,BHLHE40,ATP6V1D,USO1,IFI30,PLOD2,SYTL2,GOT1,GLA,CXCR4,PNP,LDHA,RRP9,ACTR2,ITGB2,FGL2,EGLN3,SLC6A6,SLA,TES,GGA2,SKAP2,FAM129A,NFYC,DDIT4,PSPH,MTHFD2,CTH,DAPP1,CFP,PIK3R3,BCAT1	0.0170798681260814
HALLMARK_COMPLEMENT	UP	1.42904187619599	3908	64	12042	64	0.00763458724112676	F3,LCK,ANXA5,C1QC,TFPI2,SERPINE1,BRPF3,LGALS3,CTSD,F10,ACTN2,LCP2,SRC,RASGRP1,GNB2,S100A13,FYN,GATA3,MMP14,CD46,IRF7,LRP1,DUSP6,CLU,RHOG,CEBPB,GNG2,PIK3R5,CASP1,CTSS,ZEB1,FDX1,ZFPM2,PRKCD,DOCK10,CASP9,DUSP5,PLA2G4A,PIM1,CFH,AKAP10,GPD2,TIMP2,TNFAIP3,GP1BA,PLEK,FCER1G,GCA,GZMK,DOCK9,CXCL1,VCPIP1,PLAUR,CASP7,EHD1,CPM,JAK2,PDGFB,PIK3CA,CTSB,LYN,RAF1,HNF4A,PLSCR1,PHEX,C9,SCG3,CFB,PLAT,RNF4,GRB2,XPNPEP1,CTSH,F7,IRF1,HSPA5,SIRT6,F8,LTA4H,PPP4C,PRSS36,SERPINC1,CDK5R1,SH2B3,KIF2A,ADAM9,KYNU,DPP4,WAS,DOCK4,DYRK2,KLKB1,PCLO,PSMB9,USP8,LGMN,PSEN1,PRCP,L3MBTL4,PDP1,PIK3CG,F2,GP9,FN1,PRDM4,SPOCK2,CTSO,SERPING1,CDA,APOC1,PPP2CB,GNAI2,PLG,PREP,C3,USP14,IRF2,ADRA2B,KCNIP2,COL4A2,F5,USP15,CTSC,USP16,LIPA,CD36,GMFB,LAMP2,CP,RCE1,TMPRSS6,KCNIP3,ATOX1,MMP15,CASP3,RABIF,LAP3,PLA2G7	0.0272663830040241
