Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_HYPOXIA	UP	2.00701571718975	1494	38	12783	38	0.000430387680838917	HMOX1,WSB1,CP,GAA,NAGK,IGFBP1,PRKCA,MYH9,KLF6,GLRX,CYR61,TNFAIP3,ISG20,ALDOA,SERPINE1,GCNT2,CTGF,EXT1,PPARGC1A,SRPX,JUN,MAP3K1,HEXA,DCN,PPP1R15A,ATP7A,ATF3,SCARB1,TGM2,LOX,MAFF,S100A4,ENO1,PFKFB3,SDC3,TES,NDRG1,CDKN1C,P4HA1,EFNA1,VLDLR,DDIT3,TPD52,PRKCDBP,IRS2,PTRF,PGM1,SDC4,FOS,PAM,MXI1,TPI1,GPC3,CDKN1A,ANXA2,DDIT4,ZFP36,CCNG2,GAPDH,RRAGD,F3,HK2,ILVBL,SLC25A1,STBD1,CDKN1B,AMPD3,KLHL24,TPBG,SLC2A3,ETS1,GYS1,CASP6,CXCR4,PGAM2,IDS,BHLHE40,PFKP,SIAH2,PPFIA4,BGN,ENO3,AKAP12,BCL2,B3GALT6,KDELR3,HS3ST1,PIM1,TGFB3,NDST1,NDST2,PFKL,PDK3,GPC4,HK1,TIPARP,VEGFA,LXN,SLC2A5,IER3,CAV1,CSRP2,GCK,CHST3,HSPA5,CHST2,SULT2B1,ADM,VHL,ENO2,AK4,ANKZF1,KDM3A,BNIP3L,DUSP1,GALK1,RBPJ,KIF5A,PKP1,STC1,JMJD6,SAP30,PDK1,KLF7,XPNPEP1,PPP1R3C,HDLBP,SLC2A1,COL5A1,FOXO3,ERO1L,TGFBI,ANGPTL4,SLC37A4,ERRFI1,NR3C1,ALDOB,MIF,NFIL3,FBP1,PNRC1,SELENBP1,NEDD4L,P4HA2,UGP2,PCK1,PLIN2,GBE1,SDC2,IGFBP3,PGM2,TPST2,PKLR,PGK1,PRDX5,GRHPR,BTG1,SLC6A6,RORA,EGFR,LDHA,CITED2	0.0019563076401769
HALLMARK_UV_RESPONSE_UP	DOWN	1.89051571145213	1854	34	12783	34	0.00253428392480104	CDO1,BTG1,SULT1A1,PRKACA,ALAS1,TMBIM6,FMO1,NAT1,CLCN2,DNAJA1,TST,FURIN,SLC6A12,CASP3,CREG1,HSPA2,KLHDC3,PPIF,PTPRD,PPAT,WIZ,CHKA,SIGMAR1,HSPA13,FKBP4,GCH1,CYP1A1,BMP2,PPP1R2,NXF1,AP2S1,TFRC,PSMC3,GRINA,SOD2,SPR,UROD,STIP1,CYB5B,TUBA4A,HNRNPU,MRPL23,CDC34,HYAL2,MARK2,DGAT1,CDK2,GRPEL1,NPTXR,PDAP1,E2F5,TYRO3,RFC4,GAL,PDLIM3,ATP6V1F,YKT6,FEN1,BCL2L11,H2AFX,CHRNA5,SLC6A8,POLE3,ENO2,STK25,APOM,PRKCD,CYB5R1,DLG4,CEBPG,BID,POLR2H,RXRB,TGFBRAP1,BAK1,MAOA,CCNE1,CLTB,NFKBIA,IRF1,RPN1,PRPF3,PARP2,RHOB,PLCL1,EPHX1,SLC25A4,NUPL1,STARD3,CDC5L,CCND3,SQSTM1,MGAT1,RAB27A,GLS,BSG,GPX3,FOS,DDX21,RASGRP1,DNAJB1,TARS,ATP6V1C1,CDKN1C,TAP1,ASNS,ARRB2,LHX2,ATF3,MMP14,BTG3,LYN,CDKN2B,IL6ST,ONECUT1,ALDOA,ICAM1,POLG2,JUNB,CNP,PPT1,AMD1,HMOX1,IGFBP2	0.0110186257600045
HALLMARK_MTORC1_SIGNALING	UP	2.52710864214615	541	20	12783	20	0.00275677312410405	SRD5A1,LGMN,SQLE,SLC7A5,NAMPT,IDI1,ELOVL6,FGL2,IFRD1,TM7SF2,INSIG1,GLRX,CFP,PSAT1,CCNG1,ITGB2,CD9,PLOD2,MTHFD2,ALDOA,TRIB3,NUPR1,SLA,HMGCS1,DAPP1,HMGCR,EGLN3,PPP1R15A,POLR3G,SKAP2,M6PR,CDC25A,NUP205,ASNS,LDLR,ENO1,ACTR3,TES,P4HA1,RDH11,VLDLR,PPIA,MCM4,ACACA,EPRS,DDIT3,RRP9,ATP6V1D,SLC1A5,PGM1,ACTR2,IFI30,SEC11A,RIT1,TPI1,CDKN1A,ACSL3,DDIT4,MCM2,SQSTM1,UNG,GAPDH,EEF1E1,HK2,IGFBP5,STARD4,ADD3,RPN1,LTA4H,SLC2A3,ACLY,DHCR24,PNO1,EIF2S2,NUFIP1,DHCR7,CXCR4,PSMD13,BHLHE40,TCEA1,SSR1,NFYC,HSPA9,PITPNB,DHFR,PSMD14,TXNRD1,PFKL,SLC7A11,AURKA,SDF2L1,EBP,CCNF,HSP90B1,IDH1,MAP2K3,PRDX1,EDEM1,FADS2,HSPA5,HSPA4,TOMM40,HSPD1,FAM129A,ARPC5L,CANX,NFKBIB,UBE2D3,PSMC4,MLLT11,CALR,AK4,GSR,BCAT1,GLA,YKT6,FDXR,FADS1,PSMC2,PSMA4,PSMB5,SYTL2,RAB1A,PDAP1,GCLC,PSPH,GOT1,SERPINH1,PSME3,WARS,GTF2H1,GSK3B,STC1,PIK3R3,PDK1,NMT1,TBK1,ABCF2,HSPE1,PSMC6,UFM1,TUBA4A,CYB5B,STIP1,SLC2A1,SERP1,ATP5G1,TUBG1,ETF1,HMBS,FKBP2,ERO1L,PPA1,PSMD12,SLC37A4,GGA2,TFRC,SLC1A4,COPS5,NFIL3,UCHL5,CTH,CACYBP,GMPS,BUB1,ME1,ATP2A2,IMMT,PSMA3,SORD,RPA1,GBE1,USO1,XBP1,PSMG1,TMEM97,QDPR,PGK1,SHMT2,ADIPOR2,ELOVL5,RRM2,CTSC,PNP,SLC6A6,SLC9A3R1,LDHA	0.0114865546837669
HALLMARK_ESTROGEN_RESPONSE_EARLY	UP	5.06909884009121	131	8	12783	8	0.00371521141294739	KCNK5,PLA2G16,ABLIM1,TPD52L1,SYT12,KRT8,KRT18,SLC7A5,MYBL1,TMEM164,KLF10,IL6ST,CD44,JAK2,ENDOD1,CLDN7,CELSR1,MYOF,PDZK1,BCL11B,RBBP8,MYBBP1A,HES1,SCARB1,TGM2,FHL2,PRSS23,TGIF2,UGCG,ALDH3B1,SLC39A6,ELF1,IL17RB,GJA1,RAB31,PMAIP1,SEMA3B,RASGRP1,RAB17,NAV2,FOS,FAM102A,FASN,GAB2,FAM134B,RHOBTB3,FLNB,SLC7A2,BAG1,TBC1D30,FDFT1,RPS6KA2,MYC,IGF1R,ADD3,PODXL,OPN3,ITPK1,NXT1,SLC26A2,TPBG,FARP1,SLC1A1,UNC119,B4GALT1,DHCR7,ELF3,BHLHE40,ABHD2,SIAH2,CLIC3,SLC37A1,ADCY1,HSPB8,INHBB,BCL2,SVIL,REEP1,WFS1,P2RY2,TIAM1,CANT1,ARL3,SH3BP5,SNX24,DEPTOR,TIPARP,FOXC1,WWC1,ISG20L2,IGFBP4,RRP12,NPY1R,NBL1,RHOD,SULT2B1,TSKU,SYBU,KDM4B,ADCY9,SLC27A2,GLA,PDLIM3,SYNGR1,FRK,BLVRB,CXCL12,AMFR,MED13L,FKBP5,ELOVL2,DLC1,CISH,ASB13,MED24,OLFML3,DYNLT3,MAPT,SLC2A1,KLF4,AKAP1,NCOR2,CELSR2,NADSYN1,ABCA3,AFF1,TOB1,INPP5F,SLC1A4,MAST4,ABAT,FKBP4,LRIG1,FAM63A,PPIF,PEX11A,ESRP2,NRIP1,XBP1,SEC14L2,TJP3,SLC19A2,DHRS3,SLC16A1,CCND1,RARA,CHPT1,PAPSS2,ELOVL5,CYP26B1,MREG,SLC9A3R1,AR,GFRA1	0.0148608456517896
HALLMARK_APICAL_JUNCTION	UP	1.57000009269387	2839	53	12783	53	0.00444398224348597	CDH1,ITGB1,PTPRC,MYH9,ADAM9,INSIG1,GNAI2,ACTG1,MSN,SIRPA,ICAM1,LAMC2,MVD,RAC2,EVL,CTNNA1,VWF,PBX2,CNN2,CLDN7,PTK2,VCAN,SKAP2,EXOC4,ITGA9,VCAM1,FYB,TRAF1,SYK,MYH10,SDC3,ICAM2,SHC1,LAYN,PKD1,VAV2,CLDN5,ARHGEF6,ADAM23,GTF2F1,SRC,ADAMTS5,ACTN3,CLDN6,CAP1,NF1,EPB41L2,MAP4K2,TAOK2,VASP,TSPAN4,RASA1,AMIGO2,YWHAH,CERCAM,COL16A1,ITGA2,AKT2,CRB3,FBN1,MMP9,GNAI1,CDH3,ACTN1,WASL,TNFRSF11B,ITGA3,MAPK14,AMIGO1,ZYX,B4GALT1,CLDN4,CD34,FSCN1,ACTA1,NEGR1,CTNND1,RHOF,CRAT,SYMPK,AKT3,MPZL1,CX3CL1,PLCG1,INPPL1,CLDN14,SHROOM2,MPP5,ADAM15,CD276,RRAS,SPEG,TIAL1,FLNC,LAMA3,SLIT2,SGCE,PTEN,PFN1,HRAS,MYL12B,LAMB3,MMP2,CD86,MAPK11,GRB7,ACTN2,LIMA1,ITGB4,ADRA1B,NF2,DHX16,NEXN,MAPK13,LDLRAP1,NRAP,RSU1,CDH11,TSC1,SORBS3,BAIAP2,CADM3,JAM3,THY1,PARD6G,IKBKG,ACTN4,PIK3R3,ARPC2,MYL9,ACTC1,NLGN3,TJP1,TUBG1,CD274,DLG1,TGFBI,NFASC,ACTB,NRXN2,ICAM5,PARVA,GAMT,JUP,IRS1,PCDH1,BMP1,MPZL2,PIK3CB,HADH,VCL,EGFR	0.0170692795361622
HALLMARK_ESTROGEN_RESPONSE_LATE	DOWN	2.27146872576893	848	22	12783	22	0.00466841073869073	SLC29A1,SGK1,SLC9A3R1,DCXR,CYP26B1,ELOVL5,ACOX2,PAPSS2,CHPT1,CCND1,PERP,SLC16A1,IDH2,TJP3,XBP1,TSTA3,ALDH3A2,NRIP1,MOCS2,ASS1,TST,SORD,CPE,PPIF,HMGCS2,FKBP4,SLC1A4,TOB1,AFF1,LLGL2,TOP2A,ABCA3,CDC20,CELSR2,NCOR2,KLF4,MAPT,DYNLT3,DNAJC1,ETFB,SERPINA5,CISH,UGDH,FKBP5,AMFR,CXCL12,BLVRB,FRK,GAL,PDCD4,PDLIM3,MAPK13,GLA,ID2,SLC27A2,DLG5,PLK4,COX6C,RABEP1,CACNA2D2,STIL,KIF20A,SULT2B1,CAV1,NBL1,TFPI2,NPY1R,PKP3,IGFBP4,UNC13B,JAK1,FOXC1,SLC2A8,ARL3,TNNC1,CDC6,TIAM1,PRKAR2B,WFS1,GINS2,DNAJC12,BCL2,HSPB8,CLIC3,SIAH2,ABHD2,DHCR7,FARP1,TPBG,SLC26A2,NXT1,ITPK1,OPN3,CKB,ADD3,ATP2B4,RPS6KA2,FDFT1,TSPAN13,MEST,BAG1,EMP2,ZFP36,FLNB,RNASEH2A,PTGER3,METTL3,FAM102A,FOS,ST14,SEMA3B,SNX10,RAB31,GALE,IL17RB,LSR,HOMER2,ALDH3B1,FABP5,PRSS23,SCARB1,RBBP8,PDZK1,MYOF,ST6GALNAC2,BTG3,JAK2,CD44,IL6ST,LAMC2,ISG20,PTPN6,CD9,HSPA4L,CXCL14,FGFR3,SLC7A5,IMPA2,TPD52L1,NAB2,ASCL1,PLXNB1,PLA2G16,CDH1,KCNK5,PRLR	0.0170692795361622
HALLMARK_P53_PATHWAY	UP	1.45595913068967	3575	68	12783	68	0.00477939827012541	RGS16,FAS,TM7SF3,HMOX1,TPD52L1,TRAFD1,CTSD,HSPA4L,TXNIP,CYFIP2,VWA5A,CCNG1,MAPKAPK3,FUCA1,TSPYL2,TRIB3,NUPR1,SESN1,CDKN2B,JUN,STOM,PPP1R15A,ATF3,CDKN2AIP,TM4SF1,IER5,LDHB,DEF6,RALGDS,S100A4,PTPRE,NDRG1,TAP1,RHBDF2,MDM2,AEN,CTSF,RNF19B,APP,APAF1,DDIT3,HDAC3,CDH13,ST14,RPL18,PLK3,ZBTB16,FOS,NOL8,S100A10,TCN2,IFI30,RAD9A,PDGFA,CDKN1A,IKBKAP,DDIT4,GPX2,ABCC5,BAX,DRAM1,SP1,TAX1BP3,EPHX1,SLC3A2,CCP110,CCND3,F2R,NINJ1,JAG2,RRP8,IL1A,PROCR,CEBPA,ZMAT3,PHLDA3,ERCC5,LRMP,SERTAD3,PPM1D,CASP1,PMM1,CCND2,TGFB1,CD81,RAB40C,SAT1,BAK1,SEC61A1,HBEGF,INHBB,TRAF4,PRKAB1,PCNA,DGKA,IP6K2,UPP1,HIST1H1C,GADD45A,NUDT15,AK1,SLC7A11,ANKRA2,IER3,EPHA2,RAD51C,MXD4,RPS27L,PTPN14,IRAK1,PRMT2,ABHD4,HRAS,EPS8L2,CCNK,RCHY1,WRAP73,ITGB4,POLH,FDXR,BAIAP2,MXD1,NOTCH1,TPRKB,KIF13B,FBXW7,BLCAP,MKNK2,VAMP8,DNTTIP2,HINT1,OSGIN1,ACVR1B,KLF4,FOXO3,H2AFJ,CD82,RXRA,POM121,ZFP36L1,TOB1,PLXNB2,VDR,BMP2,CSRNP2,ABAT,ADA,PLK2,SLC35D1,HEXIM1,TGFA,STEAP3,XPC,DDB2,SLC19A2,GLS2,PERP,RETSAT,ISCU,CGRRF1,WWP1,GM2A,DCXR,RB1,EI24,BTG1,TSC22D1	0.0170692795361622
HALLMARK_MYOGENESIS	UP	3.25598573611819	312	12	12783	12	0.00608469666601441	CD36,ABLIM1,TPD52L1,SPTAN1,KIFC3,GAA,NQO1,MYO1C,IFRD1,ITGB1,FDPS,MYH9,LPIN1,EIF4A2,CFD,GADD45B,ATP6AP1,AEBP1,FABP3,EPHB3,LSP1,FOXO4,COL1A1,APP,CRYAB,TPM3,CDH13,AGRN,ACTN3,NAV2,GPX3,RIT1,CDKN1A,PDLIM7,DMPK,TEAD4,PVALB,RYR1,AKT2,GJA5,IGFBP7,BAG1,CHRNB1,SCHIP1,COL4A2,TNNT3,CKM,PKIA,TNNT1,BIN1,CKB,DMD,CNN3,TNNI2,MYLPF,PRNP,PGAM2,MAPK12,MYL1,MYOM2,BHLHE40,WWTR1,TGFB1,ACTA1,PPFIA4,MYL2,HBEGF,HSPB8,CRAT,PTP4A3,ENO3,SVIL,DAPK2,MYBPC3,REEP1,PDE4DIP,SSPN,PSEN2,CASQ2,TNNC2,TNNC1,COL6A2,AK1,APLNR,SPEG,FLII,SORBS1,CKMT2,NOS1,AGL,MYH7,MYOZ1,TNNT2,PFKM,CASQ1,MB,LDB3,NCAM1,SLC6A8,SIRT2,MEF2D,MYL3,ACTN2,ITGB4,ADCY9,TAGLN,SYNGR2,TSC2,CTF1,PICK1,SORBS3,LAMA2,MEF2A,MYLK,CHRNA1,ERBB3,ITGA7,FHL1,NOTCH1,DES,EFS,OCEL1,SOD3,MYH11,MEF2C,SH2B1,ST5,TPM2,ACTC1,VIPR1,PPP1R3C,ADAM12,MRAS,HDAC5,CLU,MYH8,PLXNB2,ACHE,GSN,COL3A1,HRC,SPARC,MYOM1,MAPRE3,CAMK2B,ACSL1,FXYD1,GABARAPL2,IGFBP3,RB1,IGF1	0.020981712641429
HALLMARK_ANGIOGENESIS	UP	2.10764649971874	3326	17	12783	17	0.00657086862153833	LPL,OLR1,SPP1,PTK2,VCAN,TIMP1,S100A4,ITGAV,JAG1,APP,VAV2,POSTN,PDGFA,NRP1,THBD,LRPAP1,TNFRSF21,JAG2,FSTL1,CCND2,FGFR1,KCNJ8,COL5A2,VEGFA,STC1,SERPINA5,LUM,APOH,COL3A1,SLCO2A1,VTN	0.0215704285519563
HALLMARK_GLYCOLYSIS	DOWN	1.69382392864068	1910	41	12783	41	0.00677688569385138	CITED2,PFKFB1,NT5E,LDHA,EGFR,PYGL,GOT2,SLC25A13,PGK1,PGM2,ABCB6,IGFBP3,HOMER1,ANG,TSTA3,ALDH9A1,BPNT1,SDC2,LHPP,NDUFV3,CYB5A,TGFA,UGP2,P4HA2,TPST1,PPIA,ME1,MDH2,TALDO1,TPI1,FKBP4,SDHC,CTH,XYLT2,MIF,ALDOB,SOD1,SLC37A4,ANGPTL4,TGFBI,ERO1L,AK3,STMN1,MDH1,COL5A1,HDLBP,NASP,RPE,DLD,MED24,SAP30,STC1,SLC25A10,HMMR,GYS2,GALK1,IDUA,GOT1,GCLC,SOX9,ALDH7A1,ECD,ANKZF1,AK4,PGAM1,AKR1A1,B4GALT7,CDK1,FUT8,PSMC4,ENO2,PGLS,KIF20A,NSDHL,CHST2,HSPA5,AGL,PHKA2,POLR3K,SLC35A3,COG2,PAXIP1,IER3,RARS,MPI,IDH1,B3GAT3,VEGFA,CASP6,AURKA,GPC4,PDK3,PLOD1,KIF2A,B4GALT4,HAX1,GMPPB,KDELR3,B3GALT6,ENO1,ALG1,CAPN5,PPFIA4,PFKP,ELF3,PGAM2,CXCR4,PPP2CB,RBCK1,B4GALT1,GYS1,EXT2,TPBG,CENPA,HS2ST1,PMM2,HK2,CHPF2,NANP,RRAGD,DDIT4,ME2,SRD5A3,FBP2,GPC3,MXI1,MIOX,PAM,PYGB,GFPT1,COPB2,GMPPA,CLDN3,IRS2,GUSB,AGRN,GLCE,CLN6,GALE,VLDLR,P4HA1,SDC3,GNE,MET,GALK2,GNPDA1,VCAN,EGLN3,DSC2,DCN,CD44,CHPF,PKP2,EXT1,PRPS1,ALDOA,ISG20,PLOD2,GLRX,IL13RA1,MERTK,QSOX1	0.0215704285519563
