Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Cell adhesion molecules (CAMs)	DOWN	2.19795423389223	2180	32	13027	32	0.000115937586695591	ALCAM,L1CAM,NLGN2,NEO1,CDH4,MPZ,NCAM1,CLDN4,CNTNAP1,CD34,NRXN2,CNTN1,OCLN,NTNG1,CDH5,CDH2,CNTNAP2,NRCAM,CLDN19,NFASC,GLG1,ITGB1,CD226,NLGN1,PTPRM,ITGA6,NLGN3,CLDN14,NRXN3,CNTN2,CD276,CADM3,JAM3,CLDN20,LRRC4B,PTPRF,MAG,CADM1,CD40,VCAN,ITGA4,SIGLEC1,NCAM2,SDC3,CLDN7,ESAM,CD6,NEGR1,CD274,CLDN11,NRXN1,CD28,CDH15,LRRC4C,CLDN8,VTCN1,MPZL1,ITGAL,ITGA8,SDC4,H2-D1,NTNG2,CLDN24,ITGAV,CDH1,SELP,ICOSL,CLDN15,H2-AB1,LRRC4,CLDN1,PTPRC,PECAM1,ITGB2,VCAM1,F11R,H2-AA,CLDN5,H2-Q10,CLDN23,SELPLG,SDC2,CLDN10,CD22,ITGA9,ITGB8,JAM2	0.00277029812419991
Proteasome	DOWN	1.67227214377407	6460	34	13027	34	0.000170213687558762	PSMA6,PSMD1,PSMD2,PSMA5,PSMA2,PSMD13,PSMC4,PSMB2,PSMB1,PSMB4,PSMC3,PSME3,PSMA1,PSMC1,PSMD4,PSMA4,PSMA3,PSMA8,PSMB7,PSMD6,PSMC6,PSMB5,PSMD8,PSMD14,PSMD12,PSMB3,PSME4,PSMB6,PSMD11,PSMD7,PSMC5,PSMB11,POMP,SHFM1,PSMD3,PSME2B,PSMC2,PSMB9,PSMB8,PSME1,PSMF1	0.0038638507075839
Cholinergic synapse	DOWN	1.47624967440979	6033	67	13027	67	0.000178841095134774	GNB2,ACHE,GNA11,GNAO1,GNG3,GNB1,SLC5A7,ADCY3,KCNQ2,GNG13,GNG4,PRKCB,PIK3R3,GNAQ,CHAT,GNB3,PIK3CA,ATF4,PRKCA,ITPR1,KCNJ2,PIK3R2,CREB1,PRKACA,CHRM2,PRKACB,CACNA1D,CAMK2G,SLC18A3,ADCY8,CACNA1B,MAPK1,ADCY5,GNG5,CAMK2B,CACNA1A,CREB5,CREB3L3,CHRM4,CHRNA7,HRAS,CAMK4,ADCY1,FYN,KCNJ3,PIK3R6,GNGT2,GNG7,KCNQ5,GNB5,GNG10,ADCY9,AKT3,KCNQ3,CAMK2A,CAMK2D,PLCB3,PIK3R1,KCNJ12,ITPR2,CHRM3,CACNA1C,CACNA1S,KCNQ4,CREB3L2,PLCB1,CHRNA3,GNGT1,AKT1,FOS,CHRNB2,PIK3CG,CHRNB4,BCL2,PLCB2,CREB3L4,GNAI1,JAK2,PIK3CD,ADCY6,MAPK3,KCNQ1,AKT2,PIK3R5,PLCB4,ADCY2,GNG8,CHRNA4,GNAI2,MAP2K1,CHRM5,ITPR3,CACNA1F,PIK3CB,CREB3L1,KCNJ6,GNG2,KRAS	0.0038663741519613
Homologous recombination	DOWN	2.9981182140633	1894	17	13027	17	0.000188394619848431	RBBP8,RPA1,POLD1,TOPBP1,RAD51,PALB2,RPA2,MRE11A,XRCC2,BRIP1,RAD50,RAD54B,RPA3,SSBP1,POLD2,BRCA1,BARD1,ATM,TOP3A,RAD54L,BABAM1,POLD3,BLM,BRCA2,SHFM1,EME1,TOP3B,RAD51C,XRCC3,UIMC1,BRCC3,MUS81,POLD4,BRE,RAD51D,RAD52,FAM175A,SYCP3,NBN	0.00388777988232671
Adherens junction	DOWN	1.79680079327801	4258	37	13027	37	0.000340974781864789	TCF7L2,TGFBR2,VCL,ACTN4,CTNNB1,CREBBP,SSX2IP,TGFBR1,ACTG1,IQGAP1,WASF3,CTNNA2,LEF1,TJP1,PTPRM,SRC,TCF7L1,YES1,ACP1,CTNNA1,CDC42,MAPK1,BAIAP2,RAC1,RAC3,PTPRB,RHOA,PTPRF,ACTB,FER,PARD3,NLK,SNAI2,FYN,CSNK2A1,SMAD2,IGF1R,ACTN1,WASL,SMAD3,CSNK2B,WASF1,FGFR1,PTPRJ,MET,INSR,TCF7,LMO7,CDH1,RAC2,SMAD4,WASF2,ERBB2,CTNND1,WAS,FARP2,MAPK3,EGFR,PTPN1,CSNK2A2,PTPN6,SORBS1,MAP3K7	0.00673054569420062
Regulation of actin cytoskeleton	DOWN	1.57171358629131	3325	69	13027	69	0.000430724337534993	MYH10,IQGAP3,PAK3,VCL,TMSB4X,ARHGAP35,FN1,NCKAP1,MYH9,FGD1,PIP4K2C,ACTN4,FGF14,PAK1,DIAPH3,ACTG1,GNA13,IQGAP1,CYFIP2,MAP2K2,PAK4,FGFR2,RDX,MSN,FGF6,ARPC5,ITGB1,SSH1,PIK3R3,SLC9A1,MYLK4,PDGFRA,FGD3,ITGA6,PIK3CA,SRC,ITGB6,ARPC1A,APC,DOCK1,MYLPF,FGF11,PIK3R2,ITGA11,CRK,GIT1,CHRM2,ARPC2,CDC42,PDGFB,ARHGEF7,FGF8,PDGFD,ITGA5,ITGA3,MAPK1,SSH3,BAIAP2,PFN2,RAC1,MRAS,VAV2,RAC3,PTK2,RHOA,ACTB,LIMK1,ARHGEF6,APC2,CRKL,ENAH,CHRM4,CFL2,HRAS,TIAM1,PIP5K1A,FGF10,ABI2,PXN,ITGA4,FGF1,FGF12,PAK2,MYL12A,PPP1R12B,SPATA13,ACTN1,ARPC3,ITGA1,ROCK1,WASL,BCAR1,PIK3R1,PDGFA,CHRM3,GSN,ARPC4,PPP1CC,MYLK,SOS2,BDKRB2,ITGB3,WASF1,ITGA10,PIP5K1C,RRAS2,PAK6,PPP1CB,PIP4K2B,PDGFC,ITGAL,FGFR1,ARHGEF4,ITGA8,PIKFYVE,SCIN,GNA12,ARAF,BRK1,PFN1,FGF13,SSH2,FGFR3,PPP1R12C,ARHGEF1,ITGAV,ITGA2,RAC2,FGF18,FGF16,WASF2,PIK3CD,PPP1R12A,FGF3,VAV3,PPP1CA,PIP5K1B,ITGAX,PIP4K2A,WAS,F2,RRAS,MAPK3,EZR,EGFR,CYFIP1,VAV1,ITGB2,LIMK2,SOS1,FGF20,BRAF,INS1,PAK7,ARHGEF12,ITGB4,ARPC1B,RAF1,MAP2K1,ITGA9,CHRM5,ITGB8,FGF2,NCKAP1L,ROCK2,PDGFRB,ITGA7,F2R,PIK3CB,MYL9,KRAS,ITGB5	0.00814786871837028
Lysosome	UP	1.78463167071424	3030	44	13027	44	0.000460963729457697	PPT2,CTSD,LAMP1,PLA2G15,TPP1,IDS,CTSF,PSAP,AP4S1,IDUA,HGSNAT,CD63,GAA,GBA,MCOLN1,MFSD8,CTSA,GALNS,SORT1,CTSO,ATP6V0A2,CD164,ATP6V0A1,LAMP2,LAPTM4A,CTSB,ASAH1,CTSE,ATP6AP1,CTSZ,GGA2,LAPTM4B,GM2A,AP4B1,GNS,NAGPA,LITAF,SUMF1,CTSC,ARSA,SMPD1,AP1G1,MANBA,CTSS,GLB1,CTSL,SGSH,CTNS,SLC17A5,GNPTG,LIPA,M6PR,CTSH,DNASE2A,ACP5,NPC2,CLN5,CLTA,AP1G2,PPT1,NAGA,GGA1,AP1S3,AGA,NEU1,DNASE2B,CLN3,HEXB,AP1S2,NPC1,ACP2,AP3S2,SCARB2,ATP6V1H,AP3S1,CTSK,GLA,FUCA1,AP3M1,ENTPD4,LGMN,GALC,GUSB,ATP6V0D1,AP4M1,ATP6V0C,CLTB,ARSG,ARSB,IGF2R,GGA3,AP1M1,NAGLU,ABCB9,AP3B1,AP1M2,AP3D1,SLC11A2,AP4E1,GNPTAB,AP1B1,AP1S1,MAN2B1,CLTC,ATP6V0B,AP3M2	0.00837110132695178
Osteoclast differentiation	UP	1.53749789242961	5272	56	13027	56	0.000484190976575594	SQSTM1,MITF,BLNK,PPARG,PIK3CB,TNFRSF11B,CYLD,IKBKG,TYK2,PIK3R3,MAPK14,MAP3K7,SIRPA,TNFSF11,SYK,LCP2,MAPK13,MAPK10,MAP2K1,NCF2,NFKBIA,TGFB2,RELA,PPP3CA,FCGR1,CSF1R,TEC,FOS,SPI1,JUND,FHL2,CREB1,MAPK8,PIK3R1,BTK,SOCS3,JUNB,CYBA,AKT3,TNFRSF1A,FOSL2,PLCG2,TAB1,JAK1,NCF1,TGFBR2,LCK,AKT2,MAP3K14,TGFB1,IL1R1,SOCS1,ACP5,TRAF2,IFNAR1,MAPK3,STAT1,CYBB,MAP2K7,FYN,TYROBP,PIK3CD,TAB2,GRB2,NFKB2,JUN,CHUK,CTSK,NFATC2,ITGB3,AKT1,NFKB1,IKBKB,TRAF6,MAPK9,GAB2,RELB,PIK3CA,NFATC1,MAPK12,CAMK4,MAPK11,NCF4,PPP3R1,RAC1,MAPK1,PIK3R2,MAP2K6,CSF1,TGFBR1	0.0084547193602046
Nicotine addiction	DOWN	2.11446067581526	3765	22	13027	22	0.000813878092428388	GRIN2A,GABRB3,GABRR2,SLC17A6,GABRR1,GABRG1,GABRB2,SLC17A8,GRIN3A,SLC32A1,GABRG2,GRIA3,CACNA1B,GABRP,GRIA4,GRIN2B,SLC17A7,CACNA1A,GABRG3,GABRA3,CHRNA7,GABRA2,GABRA6,GRIN1,GABRA1,GRIN2D,GRIA1,CHRNB2,GABRA4,GRIN2C,GABRA5,GABRR3,GRIA2,CHRNA4,GABRB1,GABRD	0.0136852094060181
Citrate cycle (TCA cycle)	DOWN	2.51374265832097	3071	16	13027	16	0.000941902763237246	ACLY,ACO2,CS,DLAT,SUCLG1,SUCLA2,IDH2,MDH1,ACO1,MDH2,FH1,IDH3B,PDHB,SDHD,PCX,SUCLG2,OGDH,IDH3A,DLD,PCK1,IDH1,PDHA1,SDHC,IDH3G,SDHB,SDHA,DLST	0.0152722805182039
