Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Insulin secretion	DOWN	2.23107793768053	2755	30	14547	30	0.000103999010582445	STX1A,ATP1A4,KCNU1,CAMK2A,VAMP2,RAB3A,ADCYAP1,KCNMB4,ATP1A3,CHRM3,KCNN1,ADCY2,GNAQ,PRKCG,ATP1A2,CACNA1S,PRKACB,TRPM4,ATP1B1,ABCC8,KCNMA1,ADCY3,ATF4,ATP1B2,SNAP25,SLC2A1,PRKCB,KCNJ11,CAMK2G,ADCY5,PCLO,ATF6B,PRKACA,ATF2,PLCB1,KCNN3,ADCY1,SLC2A2,GNA11,RAPGEF4,RIMS2,PRKCA,RYR2,ADCYAP1R1,KCNMB1,PLCB4,ATP1A1,CREB5,CREB3L1,CAMK2D,CREB3L4,CREB1,ATP1B4,GLP1R,GCK,GNAS,CREB3,ADCY7,ITPR3,GPR119,KCNN2,CACNA1C,PLCB2,CACNA1D,KCNN4,PLCB3,ADCY9,CREB3L2,ATP1B3,CACNA1F,KCNMB2	0.00141816832612425
Gastric acid secretion	DOWN	2.36699417986107	2755	26	14547	26	0.000110188170623471	ATP1A4,CAMK2A,SLC26A7,ATP1A3,CHRM3,CFTR,ADCY2,KCNJ10,GNAQ,SST,KCNK2,CCKBR,PRKCG,ATP1A2,PRKACB,CALM1,CALM3,ATP1B1,ADCY3,ATP1B2,EZR,PRKCB,KCNE2,CAMK2G,GNAI1,ADCY5,PRKACA,PLCB1,ADCY1,ACTB,SLC9A4,KCNK10,KCNJ16,ITPR1,PRKCA,CALML4,MYLK2,ATP4A,PLCB4,ATP1A1,KCNJ2,MYLK3,CAMK2D,SLC9A1,KCNQ1,GNAI2,ATP1B4,SSTR2,HRH2,GNAS,ADCY7,CAR2,ITPR3,PLCB2,PLCB3,ADCY9,ATP1B3,ITPR2	0.00145837284648712
MAPK signaling pathway	DOWN	1.46808178793365	4584	99	14547	99	0.000116976269843305	HSPA1L,PPP3R2,DUSP8,HSPA2,NLK,FGF11,CACNG3,MEF2C,RRAS2,PTPN5,CACNB3,PPP3CB,CACNG7,PPP3R1,BDNF,DUSP1,DUSP6,FGF13,CACNB1,CACNG2,HRAS,CACNA2D3,DUSP5,MAPK8IP1,MAPK9,MAPK11,RASGRP1,CACNG4,PDGFRA,FGF14,MAPK10,BRAF,PPP5C,PRKCG,TAOK3,SRF,MAPK1,MAPK8,CACNA1S,PRKACB,MAP3K14,DUSP7,CACNG6,FOS,MAP2K1,ATF4,PPP3CA,CACNA1E,NR4A1,CACNA1G,NTRK2,GRB2,PDGFA,DUSP2,PAK2,PPP3CC,PRKCB,MAP3K12,CACNA2D2,RAC1,RPS6KA2,ARRB1,ARRB2,RAC3,PLA2G4E,LAMTOR3,HSPA8,RASGRF1,FGF9,TAOK2,MAPT,PAK1,CACNG5,RASGRP2,MAPK8IP3,TGFB2,PRKACA,ATF2,NTRK1,PTPN7,GADD45A,KRAS,MAX,DUSP9,CACNG8,PDGFB,CACNA1A,MAP3K1,ELK1,RASA2,CACNB4,FGF22,MAP2K4,NGF,RPS6KA6,DUSP4,FGF12,MAP3K13,RASA1,GADD45G,STMN1,FGFR3,EGFR,PTPRR,MAPK8IP2,MAP2K3,RAPGEF2,PPM1A,CACNA1B,MECOM,MAP2K6,PPM1B,PRKCA,MAP2K2,MAPK7,AKT3,JUND,SOS1,MAP2K7,CDC25B,CACNB2,MAPKAPK3,NFATC1,TAOK1,CACNA2D1,MAP4K1,MRAS,DDIT3,IL1R1,CDC42,NF1,CRK,MAPK3,TRAF2,MAPK12,RRAS,MAP4K4,FASL,NTF3,RPS6KA3,RAF1,DAXX,MAP4K2,TGFBR1,DUSP3,MAP3K7,JUN,FGFR1,IKBKB,FGF10,CRKL,MAP4K3,RPS6KA4,NRAS,TAB2,SOS2,RASGRP4,MAP2K5,TAB1,TRAF6,STK4,MAP3K11,HSPA1A,HSPA1B,GNA12,RELB,GNG12,CACNA2D4,RPS6KA5,AKT2,FGF2,DUSP10,RAP1A,CACNA1C,CHUK,CASP3,MAP3K2,PLA2G4F,CACNA1D,TRP53,ECSIT,FAS,GADD45B,RAP1B,MKNK2,MAP3K4,IKBKG,TGFB3,RELA,ELK4,TGFB1,FLNA,MAP3K5,MAPKAPK5,DUSP16,MAPK14,CD14,RASGRP3,IL1B,FLNB,FGF1,MAP3K3,PLA2G4B,NFATC3,CACNA1F,MAP3K6,RAC2,NFKB2,MAP3K8,NFKB1,RPS6KA1,STK3,FLNC,FGFR2	0.00150398061227106
Hematopoietic cell lineage	UP	3.88786438348319	919	14	14547	14	0.000162869305897262	H2-EB1,CD4,H2-AB1,H2-AA,CD22,CD44,CSF1,IL1B,ITGB3,CD37,CD33,ITGAM,CD14,CSF1R,CD9,IL9R,H2-DMB1,H2-DMB2,ITGA4,ITGA6,GM13305,IL11RA1,IL11RA2,CD59A,CD59B,CD5,CD34,CR2,IL6RA,ANPEP,CD8A,THPO,ITGA2B,H2-OB,IL1R1,DNTT,IL3RA,CSF2RA,H2-DMA,FCGR1,KIT,FLT3,GP1BA,IL5RA,IL7,CSF3R,H2-OA,GP5,ITGA3,EPOR,CD38,CD24A,IL7R,CD55,CD55B,TFRC,KITL	0.00203586632371577
Fatty acid degradation	UP	4.8582306382126	1109	10	14547	10	0.000223311324209496	ACADS,CYP4A14,ECI1,ACADVL,ACAT1,ECI2,GCDH,ALDH9A1,ECHS1,CPT2,EHHADH,ACAA1A,ACAA1B,ACOX1,ALDH7A1,ACOX3,ACSL5,ACAT2,ALDH3A2,CYP4A12A,CYP4A12B,ACSL3,ACSBG1,CPT1C,ALDH1B1,1700061G19RIK,ACSBG2	0.00271594853768306
Taste transduction	DOWN	1.75415045900109	6427	31	14547	31	0.000287228398707762	GABRA5,HTR1A,GABRA4,HTR1B,CHRM3,PDE1A,GABBR2,HCN4,ASIC2,GABRA2,PRKACB,SCN3A,GABRA3,SCN2A,PDE1C,PDE1B,PRKACA,HTR1D,GNG13,ENTPD2,CACNA1A,GRM1,GABRA1,SCNN1B,HTR1F,P2RX2,P2RX3,PKD1L3,TAS1R3,HTR3A,SCN9A,GABRA6,SCNN1G,P2RY1,TAS2R137,ITPR3,CACNA1C,P2RY4,KCNK5,GNB3	0.00332563998166741
Cholinergic synapse	DOWN	1.66949681856203	4399	52	14547	52	0.000288222131744509	KCNJ4,GNG7,CAMK2A,GNB4,CHRNB2,KCNQ2,GNB1,GNG3,CHRM3,GNAO1,ADCY2,CHRM2,HRAS,GNAQ,PIK3R2,GNG2,FYN,KCNJ3,PRKCG,KCNQ5,KCNQ4,MAPK1,CACNA1S,PRKACB,ADCY3,FOS,MAP2K1,SLC18A3,ACHE,ATF4,KCNQ3,KCNJ12,PRKCB,CAMK2G,GNAI1,ADCY5,CHRM4,GNG4,CHRM1,PIK3R3,GNG10,PRKACA,GNG13,PLCB1,GNB2,ADCY1,KRAS,CHRNA7,CACNA1A,GNB5,GNA11,CAMK4,ITPR1,CACNA1B,PRKCA,SLC5A7,KCNJ6,AKT3,CHAT,PIK3CB,PLCB4,CHRNA4,KCNJ2,CREB5,CREB3L1,KCNJ14,GNG11,PIK3CA,CAMK2D,BCL2,CREB3L4,PIK3R1,KCNQ1,CHRNB4,CREB1,MAPK3,GNAI2,JAK2,CREB3,NRAS,ADCY7,CHRNA3,ITPR3,GNG12,AKT2,PIK3CD,CHRNA6,CACNA1C,GNG5,PLCB2,PIK3R6,CHRM5,GNG8,CACNA1D,PIK3R5,PLCB3,ADCY9,GNB3,CREB3L2,ITPR2,PIK3CG,CACNA1F,GNGT2	0.00332563998166741
Leukocyte transendothelial migration	UP	3.07706590204005	967	18	14547	18	0.00032609147309115	MYL7,ICAM1,ITGB2,MSN,PTPN11,VCL,NCF1,RAC2,CTNNA1,MYL2,MYL12A,ITK,NCF4,ITGAL,ITGAM,MAPK14,VAV2,MYLPF,CYBB,SIPA1,CYBA,VASP,PLCG2,RAP1B,RAPGEF3,ITGA4,RAP1A,PIK3CD,PLCG1,CLDN6,CLDN19,NOX1,RHOA,RHOH,MYL9,VAV1,CTNNB1,GNAI2,MAPK12,CTNNA3,CDC42,BCAR1,ROCK1,JAM3,PIK3CA,ACTG1,PIK3R1,CLDN20,PXN,ARHGAP35,CLDN15,CLDN9,ESAM,CLDN23,PIK3CB,JAM2,ACTN4,VAV3,VCAM1,PRKCA,OCLN,ARHGAP5,RAPGEF4,MMP9,ACTB,PTK2,PIK3R3,ROCK2,CLDN11,RAC1,PTK2B,GNAI1,PRKCB,MYL12B,EZR,RASSF5,NOX3,ACTN1,PRKCG,CLDN10,MAPK11,CTNNA2,CXCL12,PIK3R2,CLDN5,CLDN2,THY1,4930544G11RIK	0.00366852907227544
Salivary secretion	DOWN	2.2759559421741	2755	25	14547	25	0.000366337343205458	ATP1A4,ADRB1,VAMP2,ATP2B4,ATP1A3,CHRM3,GUCY1B3,ADCY2,ATP2B2,GNAQ,ATP2B1,PRKCG,ATP1A2,ADRA1D,PRKACB,CALM1,CALM3,ATP1B1,KCNMA1,ADCY3,ATP1B2,ADRA1A,ATP2B3,PRKCB,ADCY5,PRKACA,PLCB1,ADCY1,GUCY1B2,GUCY1A3,CD38,ADRA1B,ITPR1,PRKCA,CALML4,GUCY1A2,PLCB4,ATP1A1,RYR3,SLC9A1,ADRB2,ATP1B4,TRPV6,PRKG2,GNAS,CST3,ADCY7,ITPR3,PLCB2,LYZ1,LYZ2,SLC12A2,KCNN4,PLCB3,ADCY9,ATP1B3,ITPR2,NOS1	0.00400226893227643
Lysine degradation	UP	1.86333548195161	5042	31	14547	31	0.000374213621342934	NSD1,AADAT,ACAT1,KMT2A,GCDH,ALDH9A1,PHYKPL,ECHS1,SETMAR,SETDB1,SETD2,KMT2B,SETD1B,SUV39H1,EHHADH,SETDB2,KMT5A,DOT1L,EZH1,COLGALT1,DLST,COLGALT2,EHMT1,ALDH7A1,PLOD3,KMT2E,TMLHE,ASH1L,EHMT2,KMT2C,KMT5C,EZH2,PLOD1,KMT5B,PLOD2,ACAT2,SETD1A,ALDH3A2,SUV39H2,HYKK,BBOX1,AASS,PRDM2,SETD3,PRDM6,ALDH1B1,OGDHL,SETD7	0.00400226893227643
