Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Protein processing in endoplasmic reticulum	DOWN	1.36412172357864	8467	107	17379	107	0.000106427418045563	TUSC3,HSPA5,ERP29,SEC61G,PDIA6,DNAJB2,PDIA4,PDIA3,SSR2,XBP1,VCP,HSP90B1,MAN1C1,UBQLN1,RNF5,DNAJB11,RPN1,DNAJC5,SEC13,HYOU1,ATF4,DDIT3,OS9,TRAF2,MAN1A,UBQLN2,BCAP31,P4HB,MAPK8,UBE2J2,CKAP4,MAPK9,DERL3,SEC24D,HSP90AB1,SIL1,CANX,UGGT2,SYVN1,RAD23B,UBE2D2A,SEC23A,BAG1,HERPUD1,PRKCSH,UFD1L,STUB1,HSPBP1,LMAN2,BAK1,RPN2,AMFR,DNAJC5G,DNAJC3,DNAJA2,CALR,SKP1A,HSPA8,ATF6B,BAG2,DNAJA1,FBXO6,NGLY1,UBXN6,SEC31A,UBE2G1,CAPN1,HSPA4L,PREB,SEC31B,UBE2D3,RAD23A,ATF6,EIF2AK2,SEL1L,SEC61A1,MAP3K5,FBXO2,BAX,SEC62,NSFL1C,CUL1,DNAJC5B,ERO1L,MBTPS2,EDEM1,UBQLN4,DNAJC1,CRYAA,SEC24C,HSP90AA1,NFE2L2,DDOST,ERN1,MOGS,ERLEC1,SEC61B,SSR4,SEC63,EIF2AK3,GANAB,ERO1LB,MAN1B1,EIF2S1,TRAM1,RBX1,HSPA2,SEC24B,RNF185,STT3A,SEL1L2,DERL1,PARK2,UBE2D1,PPP1R15A,CRYAB,HSPH1,MAP2K7,NPLOC4,TXNDC5,YOD1,DNAJC10,EIF2AK4,DAD1,SEC24A,MBTPS1,DNAJB12,MAN1A2,UBQLNL,SSR3,SSR1,LMAN1,EIF2AK1,WFS1,DERL2,UBE4B,SEC23B,RRBP1,STT3B,MARCH6,HSPA1A,HSPA1B,MAPK10,PLAA,SVIP,EDEM2,SAR1B,DNAJB1,ATXN3,HSPA1L,UGGT1,EDEM3,UBQLN3,UBE2G2,UBE2J1,SAR1A,SEC61A2,CAPN2,BCL2,LMAN1L,CASP12	0.00155864670298986
Thyroid hormone synthesis	DOWN	3.62402252111354	1112	16	17379	16	0.00011278446324603	TG,DUOX2,PAX8,IYD,ADCY1,PLCB1,ATP1A1,SLC5A5,HSPA5,PRKACA,GPX8,TPO,PDIA4,ADCY4,HSP90B1,ADCY9,ATF4,PRKCB,TTR,GNAS,ATF2,ADCY3,DUOXA2,PLCB4,CANX,SLC26A4,CREB3,ATP1B3,ATP1B2,ATP1A3,PRKACB,TSHR,ATF6B,ASGR1,GPX3,CREB1,GSR,GNAQ,CREB3L2,ATP1B1,TTF1,ADCY6,ADCY5,TTF2,PLCB3,FXYD2,GPX1,ADCY7,LRP2,ADCY8,ITPR1,CREB3L4,PRKCG,CREB3L1,CREB5,GPX2,ALB,CREB3L3,ADCY2,GPX7,ITPR3,ATP1A2,ASGR2,TSHB,PRKCA,PLCB2,ITPR2,CGA,ATP1A4	0.00160012957230305
Dopaminergic synapse	DOWN	1.94792733756129	3119	43	17379	43	0.000120002493853577	FOS,CALM3,GSK3A,CAMK2B,PLCB1,PPP3CB,GNG3,KCNJ3,PRKACA,ARRB2,GRIN2A,GNB1,PPP3CA,PPP2R5D,PPP2CA,GNAI1,GNB5,GNG2,GNG4,AKT1,ATF4,PPP2R5B,PPP1CA,PPP2R1A,PPP2R2C,CLOCK,PRKCB,GNAS,PPP2R5E,MAPK8,ATF2,CAMK2D,MAPK9,PPP2CB,KCNJ9,PLCB4,CALY,CALM1,CALML3,GNB2,CREB3,GNAI3,GNAO1,GSK3B,CALM2,MAPK13,CACNA1C,MAPK12,PRKACB,ATF6B,CACNA1B,KIF5A,KIF5C,CREB1,AKT2,GNG10,PPP2R2D,SLC18A1,GNGT2,SLC6A3,AKT3,ARNTL,GNAQ,CREB3L2,GNB3,MAPK11,PPP1CB,COMT,PPP3CC,ADCY5,CAMK2G,MAPK14,PPP1CC,GRIN2B,PPP2R5C,CACNA1D,PPP2R3A,PLCB3,GRIA4,SLC18A2,PPP2R5A,GNAI2,GNAL,KIF5B,GNG8,ITPR1,PPP2R3C,PPP2R2A,PPP2R1B,DRD5,MAPK10,CACNA1A,CAMK2A,GRIA3,CREB3L4,PRKCG,TH,GNB4,PPP2R2B,CALML4,GRIA1,CREB3L1,CREB5,GNG7,GNG13,GNG12,GNG5,DDC,MAOB,KCNJ6,CREB3L3,DRD4,ITPR3,KCNJ5,DRD2,GNG11,PRKCA,PLCB2,ITPR2,GRIA2,PPP1R1B,SCN1A,MAOA	0.0016509434002886
Renin-angiotensin system	DOWN	2.84745125630078	3347	17	17379	17	0.000167621856328237	CPA3,KLK1B3,AGTR1A,AGTR1B,THOP1,CTSA,KLK1,KLK1B1,KLK1B11,KLK1B21,KLK1B22,KLK1B24,KLK1B26,KLK1B5,KLK1B8,KLK1B9,CTSG,ATP6AP2,ENPEP,LNPEP,AGTR2,MRGPRD,AGT,PRCP,PREP,ANPEP,ACE,MME,ACE2,NLN,REN1	0.00223824478744175
Pancreatic secretion	UP	2.29009787616893	2559	29	17379	29	0.000174696060585289	CPA2,ATP1A4,TRPC1,ITPR2,PLA2G10,CELA2A,CTRB1,PLA2G1B,PLCB2,CPB1,CEL,PRKCA,ATP1A2,PNLIPRP1,CELA3B,PLA2G12B,ITPR3,PLA2G2D,GM10334,PRSS2,TRY10,TRY4,TRY5,ADCY2,SCTR,PLA2G5,CPA1,SLC4A2,AMY2A4,PNLIP,CFTR,TPCN2,SLC4A4,PRKCG,CPB2,KCNMA1,PLA2G3,CTRL,ATP2A3,SLC26A3,CD38,ITPR1,CAR2,ADCY8,ADCY7,FXYD2,PLCB3,RAB3D,KCNQ1,SLC9A1,ADCY5,ADCY6,ATP1B1,RAP1A,RAB27B,ATP2B4,RYR2,SLC12A2,GNAQ,RAP1B,PLA2G2C,4930544G11RIK,ATP1A3,ATP1B2,ATP1B3,ATP2B3,RAB8A,PLA2G12A,PLCB4,ATP2A2,ADCY3,BST1,ATP2B2,GNAS,PRKCB,RAB11A,ATP2A1,ATP2B1,CHRM3,ADCY9,ADCY4,RAC1,ATP1A1,CPA3,PLCB1,ADCY1	0.00226605747159203
Apelin signaling pathway	DOWN	2.38028016019949	1592	29	17379	29	0.000201124931400454	SLC8A2,EGR1,CALM3,MEF2D,CDH1,ADCY1,PLCB1,MYL2,GNG3,PRKACA,NRF1,SPHK1,GNB1,ADCY4,GNAI1,GNB5,CAMK4,GNG2,SPP1,GNG4,ADCY9,AKT1,HRAS,PIK3CG,MYL4,AGTR1A,AGTR1B,MAP2K1,HDAC5,GABARAPL2,ADCY3,PLCB4,MAP2K2,CALM1,CALML3,GNB2,RPS6,GNAI3,KRAS,MAPK1,CALM2,RAF1,RRAS2,PRKCE,MEF2A,PRKACB,SMAD4,GABARAP,AKT2,GNG10,PRKAG2,PDE3B,RPS6KB2,GNGT2,JAG2,AKT3,BECN1,GNAQ,MYLK2,GNB3,RYR2,SERPINE1,SLC8A1,LIPE,SLC8A3,MAPK3,ADCY6,PPARGC1A,ADCY5,PRKAB1,UCP1,GABARAPL1,SLC9A1,PRKAG3,TFAM,PRKAB2,MYLK3,PIK3R6,NOS2,PLCB3,MYLK4,MEF2B,SMAD2,PIK3C3,ADCY7,NOS1,GNAI2,SPHK2,ADCY8,RPS6KB1,GNG8,ITPR1,ADCY10,PRKAA2,HDAC4,CCND1,PRKAG1,GNA13,NRAS,MYL3,GNB4,CALML4,CTGF,RYR1,TGFBR1,GNG7,GNG13,GNG12,GNG5,PRKAA1,PIK3R5,APLN,ACTA2,PIK3R4,JAG1,MTOR,ADCY2,NOTCH3,ITPR3,MRAS,NOS3,GNG11,SMAD3,MYLK,KLF2,PLCB2,APLNR,MEF2C,ITPR2,RRAS,PLAT,PLIN1,RYR3	0.00243318214467988
Oocyte meiosis	DOWN	1.94696511393426	3306	40	17379	40	0.000201705190775003	BUB1,CALM3,PPP3R1,CAMK2B,ADCY1,SGOL1,PPP3CB,CDK1,PRKACA,YWHAG,RPS6KA1,PPP3CA,PPP2R5D,PPP2CA,ADCY4,ADCY9,YWHAZ,CCNB2,YWHAQ,MAP2K1,PPP2R5B,PPP1CA,PPP2R1A,YWHAB,PPP2R5E,PKMYT1,FBXW11,CAMK2D,PPP2CB,YWHAE,ADCY3,CCNE1,CCNB1,CALM1,CALML3,ESPL1,CPEB3,CDC20,ANAPC11,MAPK1,CALM2,IGF1,RPS6KA6,MAD2L1,SKP1A,MAD2L2,MAPK12,PRKACB,YWHAH,FBXO43,PTTG1,ANAPC2,SPDYA,SMC1A,FBXO5,CUL1,SMC1B,CDK2,MAPK3,IGF1R,PPP1CB,PPP3CC,STAG3,ADCY6,ADCY5,CAMK2G,RBX1,CDC25C,PPP1CC,PPP2R5C,REC8,PLK1,ANAPC5,CDC27,PLCZ1,PPP2R5A,ADCY7,BTRC,ADCY8,CCNE2,RPS6KA2,ANAPC10,CDC26,ITPR1,RPS6KA3,CPEB2,ANAPC13,PPP3R2,PPP2R1B,SMC3,AURKA,CAMK2A,ANAPC7,CALML4,CDC16,CDC23,ADCY2,CPEB1,ITPR3,SLK,ANAPC1,CPEB4,PGR,ANAPC4,AR,ITPR2,INS1,INS2	0.00243318214467988
Osteoclast differentiation	DOWN	2.82082912181554	1139	22	17379	22	0.000203658417396113	FOSB,FOS,JUNB,PPARG,PPP3R1,GRB2,TNFRSF11A,PPP3CB,FCGR2B,FCGR3,GM9733,SIRPA,SIRPB1A,SIRPB1B,RAC1,SQSTM1,IL1B,PPP3CA,CAMK4,JUN,PIK3R2,AKT1,MAP2K1,FOSL1,TRAF2,JUND,TNF,MAPK8,MAPK9,SOCS3,IL1R1,RELB,FCGR4,TNFRSF11B,MAPK1,NCF2,PIK3CB,FCGR1,MAPK13,MAPK12,PIK3R3,NOX3,OSCAR,CREB1,AKT2,PIRB,GM14548,FYN,TAB2,TEC,GM15448,CTSK,AKT3,TRAF6,NFKB1,MAPK11,IFNG,MAPK3,CYBB,TYK2,PPP3CC,MAPK14,FHL2,IFNGR2,STAT2,NFKB2,LCP2,BTK,ITGB3,RELA,MAP2K7,LILRA5,CYLD,FOSL2,CYBA,GAB2,STAT1,CSF1R,CSF1,IL1A,IFNAR1,ACP5,PIK3CA,TNFRSF1A,CHUK,NCF4,PPP3R2,IRF9,TGFBR2,PIK3R1,IKBKG,TAB1,MAPK10,MITF,SPI1,TYROBP,MAP3K7,JAK1,NCF1,TGFBR1,BLNK,PLCG2,IFNAR2,NFATC2,TGFB1,LCK,TGFB2,NOX1,NFKBIA,SOCS1,IKBKB,PIRA2,LILRA6,NFATC1,MAP2K6,SYK,PIK3CD,IFNGR1,TREM2	0.00243318214467988
Estrogen signaling pathway	DOWN	2.01263599456987	3307	36	17379	36	0.000223346479788056	FOS,CALM3,GRB2,ADCY1,PLCB1,KCNJ3,GABBR2,PRKACA,MMP2,ADCY4,GNAI1,HSP90B1,JUN,PIK3R2,ADCY9,AKT1,HRAS,ATF4,MAP2K1,GABBR1,GNAS,ATF2,ADCY3,KCNJ9,PLCB4,HSP90AB1,MAP2K2,CALM1,GRM1,CALML3,CREB3,GNAI3,GNAO1,KRAS,MAPK1,FKBP4,CALM2,RAF1,PIK3CB,HSPA8,PRKACB,ATF6B,PIK3R3,CREB1,AKT2,SP1,SRC,AKT3,GNAQ,MMP9,CREB3L2,HBEGF,MAPK3,HSP90AA1,ADCY6,ADCY5,HSPA2,OPRM1,PRKCD,PLCB3,SOS1,SHC2,ADCY7,GNAI2,ADCY8,PIK3CA,ESR1,ESR2,ITPR1,SHC1,PIK3R1,HSPA1A,HSPA1B,NRAS,CREB3L4,CALML4,CREB3L1,SOS2,CREB5,SHC3,HSPA1L,KCNJ6,FKBP5,CREB3L3,ADCY2,ITPR3,NOS3,KCNJ5,GPER1,PLCB2,PIK3CD,EGFR,ITPR2,SHC4	0.00257181410922204
Drug metabolism - cytochrome P450	UP	2.71569207994078	2895	19	17379	19	0.000227864705753644	MAOA,GSTO2,GSTA2,FMO2,UGT2B38,GSTK1,ALDH3B1,FMO5,MGST1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM6,GSTM7,MAOB,ADH1,UGT2B36,FMO3,GSTA3,CYP2E1,ADH4,ALDH3A1,UGT2B35,UGT2A3,GSTT1,GSTM5,UGT2B1,GSTT2,FMO4,HPGDS,GSTP1,GSTP2,ADH5,MGST3,MGST2,ALDH1A3,GSTO1,AOX1,ALDH3B2,FMO1,ADH7	0.00257181410922204
