Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
TNF signaling pathway	UP	2.01124476255354	3183	39	16579	39	0.000102997902307722	NFKBIA,CX3CL1,TNFRSF1B,MAP3K8,CEBPB,ICAM1,AKT3,MLKL,CREB5,BIRC3,SOCS3,MMP9,PIK3R3,IL18R1,RIPK3,VCAM1,CREB3L1,NOD2,TNFAIP3,EDN1,PIK3R1,FAS,BCL3,CCL5,IL6,CSF1,RIPK1,DNM1L,MAPK11,MAPK3,PTGS2,CASP3,CCL20,MAPK13,TNFRSF1A,IKBKB,RELA,JUNB,MMP14,CXCL1,ITCH,DAB2IP,MAPK1,TRAF5,ATF2,JUN,PIK3CA,CASP8,CREB1,MAP2K3,MAPK8,CHUK,CCL2,NFKB1,CCL12,RPS6KA5,MAP3K7,BAG4,CREB3L2,LTA,TAB3,IKBKG,MAP2K1,IL15,TRAF2,MAP2K6,FOS,CASP7,FADD,ATF6B,TNF,IL1B,MAPK12,MAPK14,BIRC2,LIF,RPS6KA4,PIK3CB,MAPK9,TRADD,PIK3CD,CXCL3,CREB3L4,MAPK10,CXCL10,MAP2K4,SELE,TRAF1,CFLAR,CREB3,PGAM5,AKT1,MAP2K7,TAB1,AKT2,ATF4,TRAF3,TAB2,MMP3,MAP3K5,PIK3R2	0.00105806936007024
NOD-like receptor signaling pathway	UP	1.40037546865463	7646	93	16579	93	0.000148969392835485	NFKBIA,BIRC3,CARD6,CYBA,TRPV2,RIPK3,NOD2,IL18,TNFAIP3,TRPM2,GBP2,GBP2B,GBP3,GBP7,OAS3,CASP4,TLR4,CCL5,IL6,ITPR2,BCL2L1,RIPK1,DNM1L,MAPK11,TICAM1,IKBKE,PSTPIP1,IFNAR2,AIM2,NAIP1,NAIP2,NAIP5,NAIP6,MAPK3,IRF9,PLCB1,IRAK4,TRIP6,MAPK13,NLRP1A,NLRP1B,IKBKB,RELA,CASP12,NLRP12,NLRP3,CXCL1,MYD88,ANTXR1,CTSB,IFNAR1,OAS2,MAPK1,XIAP,NLRP6,NOD1,TRAF5,GSDMD,DHX33,PLCB2,4930544G11RIK,JUN,IRF7,PLCB3,TRAF6,CASP8,ITPR3,GBP5,JAK1,PYCARD,ITPR1,TANK,OAS1A,OAS1G,TBK1,MAPK8,CYBB,CHUK,CCL2,ATG16L1,STAT1,TXNIP,NFKB1,CCL12,CAMP,STAT2,CARD9,IFI204,MAP3K7,TAB3,NFKBIB,IKBKG,TRAF2,IRF3,PANX1,ATG12,FADD,PLCB4,TMEM173,TNF,IL1B,MAPK12,TXN1,MAPK14,CASP1,BIRC2,MFN2,MAPK9,TYK2,CXCL3,RNF31,RIPK2,MAPK10,PRKCD,RNASEL,MFN1,BCL2,MAVS,ATG5,GABARAP,SHARPIN,NOX1,NAMPT,HSP90AA1,P2RX7,NEK7,TAB1,GABARAPL2,TRAF3,BRCC3,TRPM7,NLRC4,VDAC3,TXN2,MCU,TAB2,RBCK1,NLRX1,TRP53BP1,VDAC2,HSP90AB1,ANTXR2,VDAC1,SUGT1	0.00149631479025865
Adherens junction	UP	1.53935111495142	7996	49	16579	49	0.000280767971050699	LEF1,PTPRB,ACTN4,YES1,IQGAP1,PTPRM,CDH1,ACTG1,EGFR,FGFR1,WAS,PTPRF,CTNND1,BAIAP2,ACTB,TJP1,MAPK3,SNAI1,CTNNB1,WASF3,PTPN6,IGF1R,MAPK1,CREBBP,SNAI2,EP300,FER,4930544G11RIK,VCL,WASF2,TGFBR1,PTPRJ,TCF7L2,RAC3,TCF7L1,SMAD4,PTPN1,ACTN1,WASL,SMAD2,RAC1,CDC42,CTNNA1,SMAD3,MAP3K7,RAC2,FYN,FARP2,WASF1,SRC,SSX2IP,CSNK2B,INSR,MET,SORBS1,TGFBR2,TCF7,NLK,CSNK2A1,ERBB2,CSNK2A2,CTNNA2,PARD3,LMO7,CTNNA3,ACP1	0.00275518932062097
Purine metabolism	DOWN	1.33717089418205	8215	108	16579	108	0.000286490924931826	AK3,POLR3GL,POLR3G,PGM2,POLR2F,POLR2L,PDE3A,POLR1D,PDE8B,POLE3,ADCY8,NT5C1A,ADSL,PDE6D,ADCY6,POLR3H,NME6,ENTPD6,NTPCR,POLR3E,NT5C1B,ADCY9,PRIM1,ENTPD3,POLR3F,AK9,POLR3K,PDE11A,IMPDH2,PDE1C,ENPP3,POLR3B,PDE4A,ADSSL1,ATIC,AK2,GDA,FHIT,POLD3,GUCY1A3,POLR2J,HDDC3,POLR2C,PDE4D,POLR2H,NPR2,PRIM2,NME3,NT5C3B,NME7,POLR2G,1700080E11RIK,NUDT16,ADCY10,AMPD3,GART,NT5M,NT5C3,PNPT1,PDE4B,POLD1,PDE6A,RRM1,POLR2D,POLR2B,POLR2I,PPAT,ITPA,POLR3D,POLR1E,PAICS,ADK,ENTPD1,ADPRM,IMPDH1,NME4,NME1,XDH,PRPS1L3,AK1,PFAS,GMPS,PDE3B,NPR1,GMPR,ZNRD1,POLA2,POLR1B,CANT1,POLD2,POLD4,HPRT,POLR2E,NT5C2,ADCY1,ADCY5,NUDT9,NT5E,PDE6B,PDE6G,AK5,GUCY1B3,AMPD2,APRT,POLR1A,NUDT2,PDE1B,POLR1C,TWISTNB,ENPP1,POLR3A,ENTPD4,RRM2,AK7,GUCY2C,ENTPD5,POLE4,DCK,NME2,POLR3C,PGM1,PDE10A,AK4,PKM,POLE2,PKLR,RRM2B,POLA1,DGUOK,GUCY2E,NT5C,GMPR2,PDE6C,PDE7A,GUCY1A2,NUDT5,PDE5A,PAPSS1,ENTPD2,PDE9A,ADCY4,PDE7B,ENPP4,PDE4C,AK8,GUK1,AMPD1,ALLC,ADA,ADCY7,ADSS,PDE8A,PNP,PNP2,PDE1A,POLR2A,ADCY3,PRPS2,POLE,ADCY2,PDE2A,PAPSS2,ENTPD8	0.00275518932062097
Jak-STAT signaling pathway	UP	1.70971759479613	4202	52	16579	52	0.00030065091176712	IL3RA,LIFR,CDKN1A,AKT3,IL4RA,IL27RA,GH,SOCS1,SOCS3,PIK3R3,SOCS2,IL10,OSMR,LEPR,AOX1,IL6ST,PIM1,IL7,IL15RA,IL11,PIK3R1,IL13RA1,OSM,LEP,IL13RA2,CSF2RB,CSF2RB2,IL6,BCL2L1,CSF2RA,CSF3R,CNTFR,JAK2,IFNGR1,IFNAR2,IRF9,SOCS5,PTPN6,IL21R,IL12RB1,MCL1,FHL1,CSF3,IL2RG,JAK3,IFNAR1,SOCS4,SOS2,IL2RB,CREBBP,IL12RB2,EP300,IL7R,PIAS1,PIK3CA,CTF1,PRLR,JAK1,PTPN11,PTPN2,IL23A,IL10RB,PIAS2,IL12A,STAT5B,EPOR,STAT1,SOS1,IL10RA,STAT5A,PIAS3,STAT2,CCND1,IL22RA1,CCND3,SOCS7,IL15,PRL,IL20RB,IFNG,STAT6,HRAS,PIAS4,MPL,STAM2,LIF,PIK3CB,TYK2,STAT3,PIK3CD,GRB2,CNTF,IL5RA,IL20RA,BCL2,SOCS6,IL6RA,MTOR,AKT1,GM13305,IL11RA1,IL11RA2,IL11RA2,IL24,THPO,STAT4,IL17D,AKT2,IFNGR2,IL2RA,CISH,GHR,IFNLR1,GFAP,STAM,EPO,RAF1,CCND2,TSLP,PIK3R2	0.00280784227434635
TGF-beta signaling pathway	UP	1.55392514215492	7026	54	16579	54	0.00030438998106852	TGFB1,SMAD6,INHBB,TGFB3,SMAD7,BMP2,ID3,ID4,NBL1,GDF6,NODAL,CDKN2B,ID1,BMP8A,BMP8B,BMP6,LEFTY1,LEFTY2,ID2,ZFYVE16,PITX2,PPP2R1B,THBS1,MAPK3,TGFB2,TGIF1,SMAD9,ROCK1,GDF5,SMURF1,BMPR2,MAPK1,CREBBP,EP300,RPS6KB1,4930544G11RIK,BAMBI,SMURF2,ACVR1,TGFBR1,SMAD5,FST,BMP4,SMAD4,DCN,PPP2R1A,SP1,INHBC,SMAD1,AMH,SMAD2,ACVR1B,E2F4,INHBA,SMAD3,PPP2CB,IFNG,ACVR2A,RPS6KB2,TNF,NOG,RBX1,LTBP1,BMP5,TGFBR2,BMPR1A,INHBE,RBL1,CHRD,PPP2CA,TGIF2,TFDP1,GDF7,CUL1,SKP1A,ACVR1C,ACVR2B,E2F5,BMP7,ZFYVE9,BMPR1B,AMHR2	0.00280784227434635
Signaling pathways regulating pluripotency of stem cells	UP	1.50540864910106	6178	69	16579	69	0.000368416531141724	LIFR,DLX5,FGF2,INHBB,AKT3,WNT9B,DUSP9,ID3,FZD6,PIK3R3,ID4,NODAL,JARID2,IL6ST,KAT6A,PCGF2,SKIL,WNT10A,ID1,POU5F1,PIK3R1,LEFTY2,FGFR1,NRAS,WNT5B,ID2,WNT6,WNT8B,FZD4,MAPK11,JAK2,WNT4,WNT2,HESX1,FZD10,MAPK3,NANOG,WNT2B,CTNNB1,MAPK13,TBX3,IGF1R,FZD2,SMAD9,FZD9,JAK3,PCGF5,BMPR2,MAPK1,DVL3,KLF4,PIK3CA,PCGF3,KRAS,ACVR1,REST,WNT9A,IGF1,SMAD5,RIF1,JAK1,BMP4,FGFR3,SMAD4,TCF3,AXIN2,ZFHX3,INHBC,SMAD1,SMAD2,ACVR1B,INHBA,DVL2,SMAD3,MAP2K1,ACVR2A,FGFR2,HRAS,GSK3B,FZD8,WNT7B,MAPK12,APC2,AXIN1,WNT3,MAPK14,LIF,SOX2,PIK3CB,SMARCAD1,STAT3,PIK3CD,SETDB1,APC,MAP2K2,FZD1,GRB2,BMPR1A,INHBE,PCGF6,AKT1,HNF1A,FZD3,ESRRB,PAX6,AKT2,FGFR4,WNT10B,FZD7,BMI1,FZD5,WNT5A,ACVR1C,WNT16,ACVR2B,MEIS1,DVL1,BMPR1B,RAF1,WNT11,HAND1,PCGF1,PIK3R2	0.00333048544152118
Ras signaling pathway	UP	1.4768636742484	4741	87	16579	87	0.000462696790707096	KDR,PDGFB,FGF2,ETS1,PGF,ETS2,AKT3,EFNA2,SHC2,PIK3R3,GNG11,RASSF1,EPHA2,PLA1A,RASAL3,RAPGEF5,FGF22,FLT4,TEK,FLT1,GRIN2A,VEGFC,RASGRF2,RRAS,REL,ANGPT4,FGF23,RAB5C,FGF16,PIK3R1,PLA2G1B,PRKCB,GNG4,SHC3,EGFR,KSR2,FGFR1,NRAS,PLA2G4A,RASGRP3,RASGRP4,RIN1,CSF1,BCL2L1,NF1,RAP1B,KLK1B4,ANGPT2,STK4,RRAS2,GNB5,MAPK3,GNB3,HGF,ZAP70,ABL1,IKBKB,PDGFRB,RELA,ELK1,VEGFA,GNB1,IGF1R,PLA2G5,PLCG2,GNG8,ABL2,RGL1,PDGFD,SOS2,RASA4,MAPK1,PLCG1,RASA2,SHOC2,GRIN1,FASL,CSF1R,HTR7,4930544G11RIK,RASA3,VEGFB,RASAL2,EFNA1,PIK3CA,KRAS,ARF6,PRKCG,PLA2G6,IGF1,GNG12,SHC4,RAC3,SHC1,PTPN11,NGF,KITL,FGFR3,RASAL1,RASGRP2,TBK1,PAK1,PAK3,RAB5A,RALGDS,MAPK8,CHUK,RASGRP1,SOS1,GNG10,GNB2,INS1,INS2,RAC1,NFKB1,CDC42,RASA1,PLA2G2F,RAC2,RALB,IKBKG,MAP2K1,CALML4,PLA2G4E,PRKCA,EFNA4,FGFR2,PRKACA,FGF13,HRAS,RGL2,GNB4,PLD2,PAK2,GNGT2,EFNA3,SYNGAP1,RAP1A,ANGPT1,PIK3CB,MAPK9,LAT,PDGFRA,PIK3CD,PLA2G4C,KSR1,INSR,PLA2G12B,KIT,GRIN2B,MET,RASSF5,MAP2K2,GNG2,MAPK10,TIAM1,GRB2,FGF17,BAD,EXOC2,FGF14,FGF12,FGF8,PLA2G4B,PLA2G4B,AKT1,BRAP,FGF10,RAB5B,RASGRF1,PLD1,EFNA5,CALML3,PDGFC,AKT2,FGFR4,CALM1,GNG7,GAB1,PLCE1,FGF7,FGF1,NGFR,RALBP1,FGF18,FOXO4,PRKACB,PDGFA,CALM3,PAK4,GNG5,PLA2G4F,FGF11,MRAS,FGF9,RALA,GNG3,CALM2,RAF1,PLA2G10,PAK6,EGF,PLA2G16,FGF5,PIK3R2,PLA2G12A	0.00410076371371779
p53 signaling pathway	UP	1.5710224580688	7612	44	16579	44	0.00052650414577049	IGFBP3,CDK1,SERPINE1,CDKN1A,GADD45G,CCNG2,CCNB2,FAS,SFN,PMAIP1,DDB2,GTSE1,GADD45B,MDM2,PPM1D,THBS1,SHISA5,CASP3,TRP53,CDK2,ZMAT3,SERPINB5,RPRM,APAF1,SESN2,MDM4,CD82,BAX,CASP8,CCNB3,GADD45A,IGF1,PTEN,SIAH1A,SIAH1B,RRM2B,TRP73,CHEK2,SESN3,CCND1,CCND3,CCNB1,CASP9,RRM2,ATM,ATR,RCHY1,CHEK1,TSC2,SESN1,EI24,CDK4,PERP,RFWD2,CCNE2,BID,CCNE1,CCNG1,GORAB,STEAP3,CCND2	0.00457653603631272
RNA transport	DOWN	1.46829093270779	5719	78	16579	78	0.000596967128638881	FXR1,EIF4A2,EIF2B2,RPP25L,EIF1B,EIF4B,AAAS,RPP30,PABPC4,POP4,EIF5,PRMT5,POP7,THOC7,EIF1A,EIF2B3,EEF1A2,NUP210,SUMO1,EIF3E,SNUPN,GEMIN6,EIF3J1,EIF3J2,STRAP,THOC3,EIF4E2,EIF3G,SMN1,NUP37,UBE2I,MAGOHB,NUPL2,PAIP1,EIF2B4,GEMIN5,POP5,EIF4EBP2,RANGAP1,EIF3H,NUP62,EIF1,CLNS1A,RPP40,NCBP2,RPP14,THOC5,EIF2B1,GEMIN8,EIF2S2,NUP35,SAP18,FXR2,SUMO2,NUP88,XPO5,EIF2S3X,EIF4G2,EIF2S1,SUMO3,NCBP1,UPF2,SENP2,GEMIN7,XPO1,PHAX,RPP38,EIF3D,GEMIN2,EIF3I,EIF2B5,TRNT1,RPP25,RAE1,RNPS1,EIF4EBP1,NUP43,EIF3F,NUP133,RPP21,NUP107,EIF3C,EIF4EBP3,NDC1,KPNB1,EIF4G1,CYFIP2,XPOT,NUP93,EIF3B,UPF3B,NUP210L,NUP85,SEC13,1700009N14RIK,EIF1AX,THOC1,EIF5B,UPF1,ACIN1,DDX20,RBM8A,NMD3,EIF4E,DDX39B,EIF3A,PNN,PABPC5,CASC3,NXT2,RANBP2,ELAC2,NUP98,UPF3A,POM121,NXF1,EIF4G3,PABPC4L,PABPC2,NUP54,TACC3,TGS1,NUP160,NXF2,NXF7,NUP188,NXT1,GEMIN4,POP1,THOC2,SRRM1,NXF3,PABPC1L,ALYREF,ALYREF2,GM4340,EIF4A3,GM8994,MAGOH,NUP214,TPR,NUP205,PABPC1,PABPC6,SEH1L,THOC6,NUP153,EEF1A1,NUP155,FMR1,NUP50,NUPL1,EIF4A1,CYFIP1	0.00509111588952404
