Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Lysosome	UP	1.59397084738783	4463	63	12534	63	0.000100418254203927	CTSB,CTSS,CTSH,CTSA,HEXA,PPT1,GBA,LAPTM5,GM2A,GNS,HYAL1,CTSE,FUCA1,SORT1,GLB1,IDS,AGA,LITAF,GAA,ATP6AP1,SCARB2,CD68,MAN2B1,GUSB,SUMF1,NPC2,SLC17A5,NEU1,AP1M1,ACP5,IGF2R,TPP1,NAPSA,ATP6V0C,CTSF,CTSZ,LAMP2,PLA2G15,CTSK,DNASE2A,ARSA,TCIRG1,GNPTG,GNPTAB,ABCA2,ARSB,ATP6V0D1,CD164,LGMN,GGA2,ACP2,LAPTM4B,AP1G2,CLTA,IDUA,CTNS,CTSL,NAGLU,GALC,NPC1,PSAP,AP3D1,AP3S1,GLA,CTSW,CLN3,CLN5,LAMP1,CTSD,NAGPA,ATP6V0A2,AP4M1,M6PR,SLC11A1,AP4E1,GALNS,AP3M2,HEXB,MCOLN1,AP3B1,GGA1,ASAH1,CD63,SMPD1,LIPA,AP1S1,AP3S2,CLTC,NAGA,ATP6V1H,ENTPD4,GM21685,GGA3,ATP6V0A1,AP4B1,HGSNAT,MANBA,PPT2,AP4S1,ATP6V0B,ABCB9,MFSD8,SLC11A2,LAPTM4A,CTSC,AP1S2,ARSG,CLTB,AP3M1,AP1S3,AP1B1	0.00153051270200468
Rap1 signaling pathway	UP	1.7754684180027	2325	55	12534	55	0.000149742690321975	CSF1R,THBS1,ADCY7,GNAO1,ACTB,CSF1,ANGPT2,F2R,HGF,SIPA1L1,FGFR1,GNAI3,LCP2,ITGB2,LPAR1,APBB1IP,ADCY3,FLT4,TIAM1,ID1,CDH1,MAGI2,MET,SRC,GNAS,RAC2,GNAI2,FGFR2,CTNND1,PRKCZ,RHOA,TLN1,MRAS,MAP2K3,ITGB3,PRKCB,BRAF,PRKCI,PDGFRA,FGFR3,RRAS,RAP1B,KRAS,VASP,GNAQ,CALM1,CALM3,NGF,AKT3,ITGAL,FGF10,RASSF5,FGF2,RAC1,PIK3CD,RAPGEF3,RALGDS,ADCY2,PFN2,PRKD3,PIK3R3,ITGB1,PRKCA,IGF1,RAPGEF4,FYB,MAPK1,PDGFD,PLCB1,GNAI1,LAT,NGFR,PDGFRB,PFN1,RALA,ADCY4,PARD6B,IGF1R,ITGA2B,EPHA2,LPAR3,RAPGEF5,CNR1,VEGFC,SIPA1L3,RAP1GAP,PDGFB,MAPK3,PRKD2,PARD6G,NRAS,PRKCG,KRIT1,PLCB2,FGF7,PARD3,CRKL,RASGRP2,F2RL3,PLCB3,ACTG1,LPAR4,FGF12,PDGFC,SKAP1,PLCG1,PIK3R1,ITGAM,PIK3R2,AKT2,RALB,ADORA2B,BCAR1,PIK3CA,MAPK14,CRK,MAPK13,DOCK4,RAPGEF6,MAGI1,CDC42,MAPK11,MAPK12,PRKD1,PLCB4,RAPGEF1,MAP2K2,TEK,VEGFB,PIK3CB,RGS14,SIPA1,EGFR,ADCY9,PLCE1,FARP2,PDGFA,KDR,ADCY6,INSR,MAGI3,ADCY1,FGF1,ARAP3,ANGPT1,EFNA1,MAP2K6,SIPA1L2,RAP1A,ADORA2A,FGF16,KIT,MAP2K1,ADCY5,HRAS,AKT1,CTNNB1,P2RY1,TLN2,FGF13,FGF9,RAF1,KITL,RASGRP3,FLT1,VEGFA,RAPGEF2	0.00220620897074376
Arachidonic acid metabolism	UP	3.36718246292714	1551	15	12534	15	0.00016249176997829	GPX3,HPGDS,PLA2G4A,PTGIS,PLA2G2D,CBR3,GPX8,CYP2C37,CYP2C50,CYP2C54,CBR1,PLA2G2A,TBXAS1,CYP2E1,PTGS1,LTA4H,GPX7,PTGDS,ALOX15,CYP2U1,CYP2J6,PTGES3,GPX1,CYP4F14,ALOX12,ALOX5,PLB1,PLA2G16,PLA2G6,PLA2G12A,CYP4F13,FAM213B,PLA2G4B,PTGES2,EPHX2,PLA2G5	0.00231681813969046
Tight junction	UP	1.88535327982059	2359	44	12534	44	0.00019664970873956	CGNL1,PPP2R2B,DLG2,PRKAG2,ACTB,MYH3,JUN,YBX3,CACNA1D,ACTN4,TUBA1B,PPP2R1B,MYL12B,MYH9,TIAM1,ACTR2,AMOT,LLGL2,SRC,MSN,TUBA1A,EPB41L4B,EZR,SYNPO,PRKCZ,RHOA,GATA4,CLDN15,RUNX1,PRKCI,MYL6,HCLS1,CCND1,DLG3,RDX,WAS,OCLN,TUBA1C,VASP,CTTN,CGN,RAC1,RAB8A,RAB8B,MYH10,MAP2K7,ITGB1,CLDN1,NF2,SLC9A3R1,RAB13,HSPA4,MAPK10,NEDD4,CRB3,PPP2R2A,PARD6B,ARHGEF18,MARVELD2,LLGL1,WHAMM,PARD6G,TJP2,PPP2CA,AMOTL1,PARD3,F11R,ROCK2,ACTG1,JAM2,ARHGEF2,ARHGAP17,MYH11,ERBB2,PPP2CB,CLDN22,SCRIB,AMOTL2,RAPGEF6,MAGI1,CDC42,SYMPK,DLG1,CDK4,PRKAA1,MPP5,MICALL2,TJAP1,MAPK9,PRKAB2,STK11,PPP2R2D,RAP2C,MYH14,PPP2R1A,ROCK1,ACTR3,CLDN5,MPDZ,PCNA,PRKACB,NEDD4L,TJP1,WASL,MYL12A,RAP1A,MAP3K1,PATJ,PRKAG3,PRKAB1,MAPK8,PRKCE,PRKAA2,MAP3K5,JAM3,PRKACA,TUBA4A,CD1D1,CD1D2,MYL2,ACTR3B,MYH7B,RAPGEF2,TUBA8	0.00263070610684112
TGF-beta signaling pathway	UP	3.10948784387232	1067	18	12534	18	0.000197949892464022	TGFB2,ID4,SMAD7,THBS1,SMAD6,DCN,INHBA,TGFB3,PPP2R1B,BMP6,TGFB1,ID1,BMP4,NBL1,SMAD9,ID2,FST,MYC,ID3,LTBP1,RHOA,ACVR1B,TGFBR2,RBL1,TGIF1,INHBB,BMP2,BMPR1A,SMAD4,TGIF2,ACVR1C,SMAD1,CHRD,MAPK1,E2F4,BMPR2,TGFBR1,BMP5,INHBC,RPS6KB2,BAMBI,MAPK3,SMURF2,PPP2CA,EP300,TNF,SP1,PPP2CB,RPS6KB1,SMURF1,ZFYVE9,SMAD2,E2F5,ACVR1,TFDP1,SMAD5,SKP1A,CREBBP,LEFTY2,PPP2R1A,ROCK1,AMHR2,CUL1,ACVR2B,RBX1,ACVR2A,ZFYVE16,SMAD3	0.00263070610684112
Mineral absorption	UP	2.33358157348795	3418	21	12534	21	0.000202362008218548	FTL1,SLC40A1,MT2,HMOX1,MT1,CYBRD1,TRF,STEAP2,ATP1B4,ATP1A3,ATP1B2,SLC8A1,FTH1,SLC46A1,SLC30A1,ATP1B3,VDR,TRPM7,SLC26A3,1300017J02RIK,ATP7A,ATP1A1,HEPH,SLC9A3,ATP2B1,SLC31A1,ATOX1,CLCN2,HMOX2,SLC11A2,ATP1B1,SLC26A6,ATP1A2	0.00263070610684112
Retinol metabolism	UP	5.1745871559633	1090	9	12534	9	0.000233171627471163	AOX3,ALDH1A2,AOX1,RETSAT,CYP2C37,CYP2C50,CYP2C54,DHRS9,ALDH1A1,UGT2B37,UGT2B38,UGT2B5,RDH11,RPE65,RDH10,LRAT,DHRS3,DHRS4,DGAT1,CYP26B1	0.00294462455263583
MAPK signaling pathway	UP	1.69457788632424	2237	62	12534	62	0.000245023176679626	FOS,TGFB2,NR4A1,CACNA1A,CACNA1G,RASGRP1,CACNA2D2,CACNA2D3,CDC25B,HSPA1A,HSPA1B,JUN,DUSP3,CACNA1D,TNFRSF1A,IL1R1,FGFR1,PLA2G4A,TGFB3,RELA,HSPA2,TGFB1,DUSP4,CD14,PAK2,ARRB2,IKBKB,DUSP6,JUND,MYC,NFATC1,ATF2,MAPK7,RAC2,MAX,FLNB,FGFR2,DUSP16,MAP3K6,STK4,MRAS,RPS6KA2,RPS6KA1,MAP2K3,CASP3,PRKCB,BRAF,HSPA1L,PDGFRA,DUSP1,FGFR3,TRP53,RRAS,RAP1B,KRAS,TGFBR2,NGF,FAS,AKT3,GADD45G,FGF10,FGF2,RAC1,CACNA1H,DDIT3,TAOK2,HSPB1,MAP2K7,MAP2K5,PRKCA,CACNB4,RPS6KA6,IL1B,MAPK1,ARRB1,MAPK10,TAOK3,TRAF6,GNG12,PDGFRB,DAXX,DUSP8,PAK1,FASL,NTRK2,FLNA,RASA1,HSPA8,TGFBR1,PTPN7,NFKB2,STK3,MAP4K1,MAPKAPK3,MAP3K14,CACNB2,MAP3K3,PDGFB,MAPK3,MAP3K2,MAP3K13,NRAS,PRKCG,ATF4,FGF7,TAOK1,MAP4K2,CRKL,MAP3K8,RASGRP2,RPS6KA3,TAB2,FGF12,CACNB3,RELB,IKBKG,DUSP2,TNF,MAP3K7,GNA12,SRF,GADD45B,MKNK1,MKNK2,AKT2,CACNG4,MAPK14,FLNC,CRK,MEF2C,MAPK13,MAP3K12,DUSP7,PTPN5,NFKB1,NF1,CDC42,MAPK11,MAPK12,NTF3,PPP3R1,MAP4K3,MECOM,MAPK8IP3,MAP2K2,PPM1B,STMN1,PPP3CB,MAP4K4,MAPK9,PPP3CA,EGFR,RPS6KA5,TRAF2,RASA2,PDGFA,CACNG6,ELK4,RPS6KA4,MAPKAPK5,PRKACB,LAMTOR3,RRAS2,PPM1A,PTPRR,GADD45A,SOS1,SOS2,FGF1,MAP3K11,CHUK,MAP2K6,RAP1A,PPP5C,FGF16,MAP2K1,DUSP5,MAP2K4,GRB2,MAP3K1,CACNA2D1,MAP3K4,HRAS,NLK,AKT1,TAB1,PPP3CC,NFATC3,MAPK8,BDNF,MAP3K5,DUSP10,ELK1,PLA2G4B,PRKACA,MAPT,FGF13,FGF9,ECSIT,RAF1,MAPK8IP1,RASGRP3,CACNA1C,MAPKAPK2,RAPGEF2	0.00300834011367763
Aldosterone synthesis and secretion	UP	2.08109185096633	2868	30	12534	30	0.000254136140767192	NR4A1,CACNA1G,ADCY7,CACNA1D,CREB3L2,CAMK2B,ITPR1,ADCY3,KCNK3,AGTR1A,CREB5,DAGLA,GNAS,ATF2,ATF6B,PRKCB,CAMK1D,LIPE,CREB3,ITPR3,GNAQ,DAGLB,CALM1,CALM3,GNA11,NR4A2,ADCY2,CACNA1H,PRKD3,PRKCA,PLCB1,CYP21A1,NPR1,ADCY4,CREB1,PRKD2,PRKCG,ATF4,PLCB2,STAR,PLCB3,CAMK4,ORAI1,SCARB1,ATF1,PRKD1,PLCB4,ITPR2,CAMK1,ADCY9,ADCY6,PRKACB,CYP11A1,ADCY1,CAMK2A,ADCY5,PRKCE,CAMK2G,PRKACA,LDLR,PDE2A,CAMK2D,CACNA1C	0.00303589660051619
Aminoacyl-tRNA biosynthesis	DOWN	2.09695768557603	3532	26	12534	26	0.000288599101393783	QRSL1,LARS2,CARS2,GATB,VARS,PSTK,HARS2,FARS2,GATC,AARS2,DARS2,TARS2,NARS2,VARS2,YARS2,LARS,TARSL2,KARS,QARS,SARS2,PARS2,IARS2,IARS,RARS,FARSA,DARS,SEPSECS,MTFMT,SARS,FARSB,RARS2,MARS,WARS2,MARS2,GARS,EARS2,CARS,HARS,TARS,AARS,EPRS,NARS,YARS,WARS	0.00335686323200137
