Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Folate biosynthesis	DOWN	52.6841046277666	71	3	17456	3	0.000227898344442035	AKP3,ALPI,ALPPL2,MOCS1,ALPL,FPGS,GPHN,PTS,SPR,GCH1,MOCS2,GGH,DHFR,QDPR	0.00413863393506736
NOD-like receptor signaling pathway	DOWN	3.14620981435632	663	19	17456	19	0.000256202056415522	BCL2L1,CCL12,IL1B,IFNA1,IFNA11,IFNA12,IFNA13,IFNA14,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA9,IFNAB,CCL2,GSDMD,PLCB1,RELA,TICAM1,NFKBIB,NLRP6,TANK,NFKBIA,IL6,CXCL3,ITPR1,TNF,RNF31,TBK1,FADD,CXCL1,MEFV,NFKB1,TYK2,NAMPT,NLRP3,ANTXR2,PANX1,IFNAR1,MAPK1,RIPK1,MAPK9,TRPV2,CHUK,CTSB,NLRP12,TXN2,MFN2,RBCK1,XIAP,JAK1,IRAK4,NLRC4,GABARAP,IRF3,IKBKG,TMEM173,CYBB,ATG5,MAPK14,STAT1,4930544G11RIK,CASP4,ATG16L1,RIPK2,TAB1,TRPM7,TLR4,SHARPIN,SUGT1,GBP3,GBP7,CARD9,MAPK11,PLCB3,CARD6,TRAF2,TRAF3,TXN1,MAPK13,CASP8,DHX33,HSP90AB1,NLRX1,MFN1,IRF9,IKBKB,CYBA,ATG12,BIRC3,MAPK3,VDAC2,MAVS,CASR,VDAC3,TXNIP,NOX1,TAB2,IRF7,IFNAR2,NAIP1,NAIP2,NAIP5,NAIP6,GABARAPL2,GABARAPL1,OAS3,TNFAIP3,VDAC1,MAPK8,MYD88,TRAF6,HSP90AA1,P2RX7,MAPK12,IFI204,PRKCD,BIRC2,STAT2,NOD1,OAS2,MCU,GBP5,AIM2,NOD2,DNM1L,BRCC3,ITPR3,NEK7,TAB3,OAS1A,OAS1G,PLCB4,MAP3K7,ITPR2,JUN,BCL2,RIPK3,PYCARD,PSTPIP1,MAPK10,TRIP6,IL18,GBP2,GBP2B,PLCB2,RNASEL,NLRP1A,NLRP1B,TRP53BP1,IKBKE,CASP12,CAMP,TRAF5,CASP1,ANTXR1,TRPM2,CCL5	0.00447368206202488
Insulin signaling pathway	DOWN	1.54145742148506	5788	69	17456	69	0.000282932338119601	SOCS1,SLC2A4,SREBF1,PHKG2,ELK1,PPP1R3B,RAPGEF1,SHC4,TRIP10,FLOT2,PTPRF,ACACA,G6PC2,RPTOR,CRKL,SOCS3,IRS2,PPP1R3C,SHC3,GCK,CRK,RAF1,PTPN1,ARAF,FLOT1,INSR,FASN,MAP2K2,RHEB,RPS6KB2,AKT1,EIF4EBP1,ACACB,PHKA2,PRKAR2A,SOCS2,EIF4E2,SHC2,PYGB,MAPK1,PYGM,PRKAB1,INPP5K,CBLC,MAPK9,HK1,GYS1,SHC1,RPS6KB1,SOCS4,PIK3R2,SH2B2,EIF4E,PRKAG3,PPP1R3A,HK2,CALM3,NRAS,MKNK2,GSK3B,PPP1R3D,MTOR,MKNK1,AKT2,KRAS,G6PC3,PPP1R3F,G6PC,PRKAA1,PHKG1,GRB2,PDPK1,PPP1CA,INPPL1,HRAS,PYGL,PIK3CB,IRS1,PRKCZ,RHOQ,PRKACA,PPP1CB,FOXO1,CALM2,EXOC7,BRAF,PIK3R3,IKBKB,PRKAG1,MAPK3,BAD,PRKAG2,HK3,SORBS1,PRKAR2B,CALM1,PIK3CA,SOS2,FBP2,PHKB,PHKA1,MAPK8,PRKAR1B,PRKAR1A,PDE3B,PRKCI,MAP2K1,RPS6,PPARGC1A,GYS2,CALML4,SOS1,TSC2,LIPE,PPP1CC,INS1,INS2,AKT3,CBL,CBLB,PCK2,PPP1R3E,MAPK10,TSC1,IRS4,CALML3,PIK3R1,PRKACB,PKLR,PIK3CD,FBP1,PCK1,HKDC1,PRKAB2,PRKAA2	0.00475745487060366
Thiamine metabolism	DOWN	49.1718309859155	71	3	17456	3	0.00029539673861978	AKP3,ALPI,ALPPL2,AK1,ALPL,AK2,AK5,AK4,NTPCR,AK7,NFS1,THTPA,ACP1,TPK1,AK8	0.00478964711904929
Cell adhesion molecules (CAMs)	UP	1.64935985260075	4858	56	17456	56	0.000342092713858322	CDH15,CLDN20,CD8B1,VTCN1,ITGAL,CDH1,CLDN11,CDH3,SELE,NFASC,H2-DMA,CLDN18,CNTN1,SELP,CLDN14,CD22,NEGR1,CLDN1,ICOS,CD2,H2-OB,CD8A,H2-EB1,CNTNAP2,H2-AB1,H2-OA,NTNG1,CNTN2,CADM1,SPN,SDC3,CD28,SIGLEC1,H2-DMB1,H2-DMB2,PTPRC,CD226,CLDN16,CLDN10,ITGB8,NLGN1,PDCD1,ITGA4,CNTNAP1,TIGIT,CLDN7,CD6,H2-AA,CTLA4,CLDN22,CLDN24,PTPRM,ALCAM,SDC2,MPZL1,SDC1,CLDN3,NEO1,NRXN2,JAM2,OCLN,CLDN19,CLDN13,LRRC4B,ITGAV,ITGB7,NRCAM,CD40,PDCD1LG2,VCAM1,ICAM2,NCAM2,LRRC4,ITGB2,ITGB2L,ITGA9,ITGAM,ITGB1,CD80,CD40LG,CDH4,MADCAM1,SELL,CD34,ITGA6,NLGN3,CLDN4,NTNG2,CDH5,CD274,JAM3,ITGA8,VCAN,CD276,CLDN9,CLDN5,CLDN23,SELPLG,F11R,CLDN15,LRRC4C,CLDN2,NRXN3,ICOSL,ICAM1,CDH2,CLDN8,GLG1,MPZ,PVR,ESAM,NCAM1,CADM3,CD86,MAG,NRXN1,PTPRF,NLGN2,SDC4,CD4,CLDN6,L1CAM	0.00535552041695442
Intestinal immune network for IgA production	UP	2.26007532956686	4248	22	17456	22	0.000470450991167937	H2-DMA,IL2,CXCR4,ICOS,CCL28,CXCL12,H2-OB,H2-EB1,H2-AB1,TNFRSF13B,IL15,H2-OA,AICDA,PIGR,CD28,H2-DMB1,H2-DMB2,IL5,CCL25,ITGA4,H2-AA,CCR9,TNFRSF17,ITGB7,TNFSF13,CD40,TNFSF13B,IL10,CD80,CD40LG,MADCAM1,TNFRSF13C,ICOSL,TGFB1,CD86,LTBR,CCR10,IL6,IL4,IL15RA	0.00711949166634145
Antigen processing and presentation	UP	1.97506125442827	4929	29	17456	29	0.000490512659019671	CD8B1,KLRC3,CIITA,KIR3DL1,KIR3DL2,H2-DMA,KLRC1,H2-OB,CD8A,H2-EB1,KLRD1,HSPA1A,HSPA1B,CD74,H2-AB1,H2-OA,CTSL,IFNG,H2-DMB1,H2-DMB2,B2M,CREB1,H2-AA,RFX5,PSME2,PSME2B,RFXANK,CTSS,NFYB,TAP2,HSP90AA1,RFXAP,CALR,PSME1,HSPA8,NFYC,NFYA,TAPBP,HSP90AB1,TAP1,HSPA1L,PDIA3,HSPA2,CANX,CTSB,LGMN,HSPA4,IFI30,PSME3,TNF,HSPA5,CD4	0.00718363700628808
PPAR signaling pathway	UP	2.80690589031821	1477	19	17456	19	0.000577240043188154	PLIN1,ACADM,ANGPTL4,CYP4A12A,CYP4A14,CYP4A31,CYP4A32,CYP7A1,ACSL4,ACAA1A,ACAA1B,PCK1,ACOX1,CYP4A12B,CPT1A,APOA5,ACADL,ME1,ACSL5,SLC27A6,CPT1B,ACOX2,CPT2,PCK2,CYP4A10,EHHADH,PPARG,FABP4,CYP8B1,ACSL6,ADIPOQ,FABP1,HMGCS2,APOA1,SCP2,PPARA,FABP2,SLC27A2,SLC27A1,UBC,SLC27A5,RXRB,SLC27A4,SORBS1,ILK,APOC3,APOA2,CD36,CYP27A1,ACOX3,PLTP,FABP5,PLIN5,FABP3,CPT1C,PDPK1,DBI,PPARD,RXRG,MMP1A,MMP1B,ACSL1,NR1H3,OLR1,LPL,ACSBG1,GK2,PLIN2,FADS2,ACSBG2,FABP6,AQP7,ACSL3,PLIN4,FABP7,RXRA,SCD1,SCD2,SCD3,SCD4	0.00818959311273194
Tyrosine metabolism	UP	2.84488097436956	2969	15	17456	15	0.000735822192687863	GSTZ1,ALDH3A1,TYRP1,ALDH3B1,ADH4,DCT,ADH1,AOC3,PNMT,FAH,TAT,ADH5,FAHD1,DDC,HPD,HGD,ALDH1A3,ADH7,GOT2,TH,MAOB,ALDH3B2,TPO,AOC2,MIF,AOX1,MAOA,COMT,GOT1,DBH,IL4I1	0.0101231295600088
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	DOWN	3.55664221678892	2454	11	17456	11	0.000766100564469907	HS6ST1,EXT1,EXTL3,HS3ST3A1,HS3ST3B1,NDST1,EXT2,B3GAT3,B4GALT7,HS6ST2,GLCE,B3GALT6,NDST2,HS2ST1,XYLT1,XYLT2,HS3ST1,EXTL1,EXTL2,HS3ST5,HS3ST2,NDST3	0.0101690062140995
