Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Propanoate metabolism	DOWN	2.01911468812877	4899	23	12042	23	0.000124507332668888	SUCLG2,PCCA,ECHS1,ACSS3,SUCLG1,DLD,HADHA,ACADM,ABAT,BCKDHA,BCKDHB,ECHDC1,ACSS2,HIBCH,ACACA,PCCB,DBT,MLYCD,EHHADH,ALDH6A1,ACACB,MUT,MCEE,SUCLA2,LDHB,ACAT1,LDHA,ACSS1	0.00127902987196221
Toll-like receptor signaling pathway	UP	1.90772559385863	3452	35	12042	35	0.000208392607704444	TLR2,FOS,IRAK4,PIK3R3,IRF5,TRAF3,AKT3,NFKBIA,TIRAP,CCL4,TLR5,IKBKG,IRF7,IFNAR1,MYD88,CD40,RELA,TLR1,LBP,IKBKE,MAPK12,IL1B,TLR3,CXCL10,AKT1,TLR7,MAP3K8,MAP3K7,CTSK,RIPK1,TLR8,MAPK11,NFKB1,STAT1,TRAF6,PIK3CA,PIK3CD,PIK3R1,TAB2,FADD,IRAK1,PIK3CB,MAPK10,MAPK13,CASP8,TBK1,MAP2K7,CHUK,MAPK3,MAP2K4,RAC1,TICAM1,MAPK14,TOLLIP,MAP2K6,MAPK8,MAPK9,IKBKB,JUN,MAP2K2,AKT2,MAPK1,MAP2K1,TAB1	0.00209318797072019
Ascorbate and aldarate metabolism	DOWN	12.6544766708701	366	5	12042	5	0.000246650232763601	UGT2A1,ALDH3A2,ALDH9A1,ALDH7A1,UGT1A2,RGN,UGT1A5,ALDH2,UGT2A2,UGT2B1,MIOX,UGT1A1,UGDH	0.00242360663498147
VEGF signaling pathway	UP	1.65365395912326	5699	36	12042	36	0.00029593897532576	SPHK2,HSPB1,PIK3R3,PLA2G4C,SRC,AKT3,PTGS2,PLCG1,PTK2,CDC42,RAC2,PXN,MAPK12,MAPKAPK3,CASP9,PLA2G4A,AKT1,HRAS,VEGFA,MAPK11,KDR,PIK3CA,RAF1,BAD,PLCG2,PPP3R1,SPHK1,PIK3CD,PIK3R1,PRKCA,RAC3,PRKCB,PPP3CA,NFATC2,PIK3CB,MAPK13,MAPKAPK2,MAPK3,RAC1,MAPK14,SHC2,MAP2K2,AKT2,MAPK1,KRAS,MAP2K1	0.00279053458816283
Complement and coagulation cascades	UP	3.95428022935664	671	13	12042	13	0.000299223660336967	F3,C5AR1,C1QB,MBL2,C1QC,SERPINE1,THBD,F2RL2,C6,TFPI,F10,F2R,C1RA,C7,CD46,BDKRB2,CLU,CFH,ITGB2,PLAUR,PLAU,ITGAX,C9,CFB,PLAT,F7,F13A1,F8,SERPINC1,FGB,SERPINF2,KLKB1,ZP3R,C8G,FGA,F2,CD59A,CFI,SERPING1,VWF,PLG,C8B,PROC,HC,C3,FGG,MASP1,PROS1,C8A,KNG1,SERPINA1B,F5,CPB2,VTN,A2M,SERPIND1,C4B,F9,MASP2	0.00279053458816283
Proteasome	DOWN	1.7706975552836	5142	31	12042	31	0.000303029625041473	PSMA6,PSMA8,PSMA5,PSME2B,PSMB4,PSMC1,PSMD1,PSMA2,PSMA3,PSMB2,PSMA4,PSMB5,PSMB11,PSMC5,PSMD12,PSMB1,PSMA1,PSMD7,PSMC4,PSMC6,PSMD2,PSMD6,PSMB3,PSMC2,PSMD8,SHFM1,PSME1,PSMB7,PSMD13,PSMD3,PSMD14,PSMB6,PSMC3,PSMD4,PSME3,PSMB9,PSMD11,PSMB8,PSME4,POMP,PSMF1	0.00279053458816283
T cell receptor signaling pathway	UP	1.49810058248804	5771	56	12042	56	0.000308687454442791	LCK,FOS,PIK3R3,MAP3K14,LCP2,AKT3,GRAP2,RASGRP1,NFKBIA,MALT1,IKBKG,FYN,PLCG1,BCL10,VAV1,CARD11,CDC42,RELA,TEC,MAPK12,PAK3,PTPN6,PAK6,NCK2,CBL,RHOA,PAK2,CD247,AKT1,SOS1,CD28,MAP3K8,MAP3K7,HRAS,NCK1,MAPK11,NFKB1,PIK3CA,NFATC1,RAF1,ZAP70,PTPRC,PPP3R1,PAK1,PIK3CD,PIK3R1,ITK,CD3G,GRB2,PAK7,PPP3CA,VAV2,NFATC2,PIK3CB,MAPK13,GSK3B,CD3E,NFKBIE,MAP2K7,PRKCQ,NFATC3,CHUK,DLG1,MAPK3,SOS2,MAPK14,MAPK9,PAK4,IKBKB,JUN,VAV3,MAP2K2,AKT2,MAPK1,CDK4,KRAS,MAP2K1,PDPK1	0.00279053458816283
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	UP	3.62333825701625	2031	11	12042	11	0.000334137136100088	CHST11,CHPF2,CHST7,CHST14,CHST15,CSGALNACT2,CHPF,XYLT2,UST,CHST12,CSGALNACT1,CHST3,CHSY1,B4GALT7,XYLT1,B3GALT6,DSE,B3GAT3	0.00287708191566771
PI3K-Akt signaling pathway	UP	1.39471426594714	4015	113	12042	113	0.000336169142500897	LPAR4,PGF,FGFR1,RBL2,TLR2,FGF1,SGK1,KITL,FGF2,MYC,PIK3R3,ITGA7,CRTC2,EPHA2,THBS1,PDGFA,F2R,AKT3,FGF6,PPP2R5D,GNB2,CSF1,CSF3R,IKBKG,HSP90AA1,COL6A4,FGF18,EGFR,LAMA4,FGF21,FGF7,IFNAR1,DDIT4,ATF4,PHLPP1,CSF1R,KIT,FGFR3,PTK2,IL2RG,EIF4E,TSC1,EFNA5,RELA,GNG2,PIK3R5,ITGA6,FGFR2,HGF,PRLR,EFNA1,MCL1,BCL2,SYK,CREB3L1,RPS6,SGK3,G6PC2,GNG5,LPAR6,IL6RA,CASP9,COL9A1,IL4RA,PKN2,PPP2R3A,PDGFRA,IGF1,THEM4,AKT1,CDKN1B,ITGB4,SOS1,LAMB3,CREB1,CREB3L3,PDGFRB,HRAS,EIF4EBP1,VEGFA,NR4A1,SGK2,PPP2R2B,ITGB3,MYB,NFKB1,STK11,LAMC2,COL9A3,BCL2L1,G6PC3,VEGFC,COL2A1,PRL,KDR,LPAR2,FASL,JAK2,YWHAB,PDGFB,PIK3CA,COL6A6,CREB3L2,PPP2R2C,RAF1,BAD,PCK1,CCND1,PPP2R2A,CCND2,ITGA3,GHR,ATF6B,ITGA2,G6PC,PIK3CD,PIK3R1,ITGA4,OSMR,PRKCA,RHEB,RELN,GRB2,LAMB1,ITGA1,IGF1R,TNC,ITGB8,PIK3CB,THBS3,CDK6,IL2RB,ITGA11,GSK3B,GNB5,EFNA4,ITGB1,GNG13,GH,THBS2,CREB3L4,COL4A6,GNB3,PIK3AP1,LAMB2,MDM2,RPS6KB2,ANGPT1,RPS6KB1,COL1A2,PDGFC,ITGA9,ITGB6,YWHAG,INSR,ANGPT2,COL6A3,PIK3R6,GYS1,PPP2R5A,EFNA2,IL7R,PIK3CG,GNG3,ATF2,FOXO3,FLT1,FN1,ITGB5,LPAR3,CREB5,GNG10,ITGA8,PPP2R2D,CHUK,VWF,FGF14,MLST8,PPP2CB,PPP2CA,EPOR,MAPK3,YWHAE,FGF13,YWHAZ,COL6A2,HSP90B1,LAMA3,RAC1,GNB1,PTEN,LAMA5,SOS2,PPP2R5C,GNG4,JAK1,INS1,EIF4E2,TSC2,CDKN1A,CDC37,FLT4,LAMC1,HSP90AB1,COL4A2,COL6A1,PPP2R3C,ITGAV,COL4A1,PPP2R1A,LAMA2,VTN,EIF4B,RXRA,IKBKB,LPAR1,NGFR,COL1A1,PRKAA1,IRS1,VEGFB,PRKAA2,GYS2,MAP2K2,PHLPP2,AKT2,MAPK1,CDK4,KRAS,PPP2R5E,BRCA1,CCNE2,MAP2K1,PDPK1,RPTOR,PPP2R5B,MTOR,MET,TNR,ITGA5,GNG7,CDK2,CCNE1	0.00287708191566771
Hematopoietic cell lineage	UP	2.12866001541431	3289	25	12042	25	0.00033735695028847	KITL,THPO,FCGR1,CSF1,CSF3R,IL1R2,H2-AB1,H2-AA,ANPEP,CD22,CD9,CSF1R,KIT,CD34,ITGA6,IL1B,IL6RA,CD38,IL4RA,CD44,GP1BA,ITGB3,IL1R1,CD33,DNTT,IL11RA1,ITGA3,ITGA2,ITGA4,CD3G,ITGA1,CD3E,GP5,IL7R,CD59A,GP9,MME,EPOR,TFRC,FLT3,GP1BB,CD36,ITGA5	0.00287708191566771
