Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Inflammatory mediator regulation of TRP channels	UP	7.02534196384954	184	9	12783	9	0.000115920926879176	CYP2C40,CYP2C68,CYP4A12A,CYP4A12B,CYP2C65,CYP2C66,CYP2C29,CYP2C38,CYP2C39,PRKCA,IL1B,PIK3CD,TRPV2,PLCB2,IL1R1,CAMK2D,ADCY7,PRKCB,PLA2G4A,ADCY3,PLCG2,PRKCQ,SRC,CYP2C37,CYP2C50,CYP2C54,CYP2C55,PRKACB,CYP2C44,PPP1CA,PLCB4,PRKCH,TRPV1,ADCY4,ITPR1,MAPK14,ASIC1,ITPR3,PIK3R2,MAPK12,CAMK2G,PIK3CA,ADCY1,ASIC5,PPP1CB,PLCG1,P2RY2,PIK3R1,ALOX12,MAPK10,PRKCD,PLA2G6,MAP2K3,CALM1,CALM3,HTR2B,MAPK11,ADCY6,GNAQ,ADCY9,MAPK13,MAPK8,CYP4A10,CYP4A31,CYP4A32,IL1RAP,PLA2G4B,PIK3R3,NGF,F2RL1,CALM4,CALM5,ADCY5,PLCB1,PRKCE,CYP2J6,MAPK9,CAMK2B,PPP1CC,PLCB3,MAP2K6,CALML4,GNAS,ITPR2,PIK3CB,CYP2C70,PRKACA,IGF1,CYP4A14	0.00103401466776225
Inflammatory mediator regulation of TRP channels	DOWN	71.814606741573	6	3	12783	3	0.000145446454291265	CYP4A14,CYP2C40,CYP2C68,IGF1,PRKACA,CYP2C70,PIK3CB,ITPR2,GNAS,CALML4,MAP2K6,PLCB3,PPP1CC,CAMK2B,MAPK9,CYP2J6,PRKCE,PLCB1,ADCY5,CALM4,CALM5,F2RL1,NGF,PIK3R3,PLA2G4B,IL1RAP,CYP4A10,CYP4A31,CYP4A32,PIK3CA,MAPK8,MAPK13,ADCY9,GNAQ,ADCY6,MAPK11,HTR2B,CALM1,CALM3,MAP2K3,PLA2G6,PRKCD,MAPK10,ALOX12,PIK3R1,P2RY2,PLCG1,PPP1CB,ASIC5,ADCY1,CAMK2G,MAPK12,PIK3R2,ITPR3,ASIC1,MAPK14,ITPR1,ADCY4,TRPV1,PRKCH,PLCB4,PPP1CA,CYP2C44,PRKACB,CYP2C55,CYP2C37,CYP2C50,CYP2C54,SRC,PRKCQ,PLCG2,ADCY3,PLA2G4A,PRKCB,ADCY7,CAMK2D,IL1R1,PLCB2,TRPV2,PIK3CD,IL1B,PRKCA,CYP2C29,CYP2C38,CYP2C39,CYP2C65,CYP2C66,CYP4A12A,CYP4A12B	0.00127194350223342
Serotonergic synapse	DOWN	2.8635752688172	1116	21	12783	21	0.000161369085313057	CYP2C40,CYP2C68,CYP2D22,PRKACA,CYP2C70,DDC,CYP2D40,KCNJ3,ITPR2,CYP2D26,GNAS,CYP2D10,CYP2D11,CYP2D12,CYP2D34,CYP2D9,CASP3,MAOB,CACNA1D,PLCB3,ARAF,GNG5,CYP2J6,RAF1,PLCB1,CACNA1A,MAPK1,ADCY5,GNG11,GNG4,GABRB3,MAPK3,PLA2G4B,GNG3,DUSP1,GNG10,GNAI3,CACNA1C,GNAQ,TPH1,HRAS,HTR2B,GNG12,KCNN2,SLC18A2,KCNJ5,KRAS,ALOX12,GNB2,MAP2K1,ALOX5,MAOA,GNB4,BRAF,ITPR3,ITPR1,GNAI1,GNG2,GNB1,ALOX15,PLCB4,RAPGEF3,CYP2C44,PRKACB,CYP2C55,CYP2C37,CYP2C50,CYP2C54,GNB5,APP,PLA2G4A,PRKCB,NRAS,PTGS2,GNGT2,PLCB2,PTGS1,GNAI2,PRKCA,CYP2C29,CYP2C38,CYP2C39,CYP2C65,CYP2C66	0.00138405023172353
ABC transporters	UP	8.85862785862786	273	7	12783	7	0.000181232306577517	ABCC3,ABCB4,ABCA2,ABCD2,ABCG1,ABCA8A,ABCA1,TAP2,ABCC1,TAP1,ABCG3,CFTR,ABCC5,ABCB8,ABCA8B,ABCA7,ABCC2,ABCC4,ABCD4,ABCG8,ABCC10,ABCB10,ABCA3,ABCA5,ABCC8,ABCD1,ABCG2,ABCG5,ABCC6,ABCD3,ABCB11,ABCA6,ABCB6,ABCB7,ABCB9,ABCA9,ABCC9	0.00152508695723722
Toll-like receptor signaling pathway	UP	3.16550187101035	944	18	12783	18	0.000190183195553528	AKT1,TLR2,IRF7,TOLLIP,TLR1,IKBKE,IKBKB,IL1B,TLR3,LBP,PIK3CD,NFKB1,JUN,MAP3K8,CASP8,SPP1,TLR7,IFNAR2,TLR4,CCL5,TAB1,CXCL9,IRAK4,TLR6,STAT1,TLR8,CXCL11,FOS,IRF5,CD80,TICAM2,RIPK1,FADD,AKT2,TLR5,CXCL10,IFNAR1,TRAF3,CCL3,MAPK14,NFKBIA,RELA,PIK3R2,MYD88,MAPK12,TIRAP,PIK3CA,MAP2K1,AKT3,PIK3R1,MAP2K4,CTSK,MAPK10,TRAF6,MAP2K3,IRAK1,IRF3,CD40,CD86,MAPK11,MAP2K7,MAPK13,MAPK8,IKBKG,MAPK3,PIK3R3,MAP2K2,TBK1,TAB2,MAPK1,MAP3K7,RAC1,MAPK9,MAP2K6,CHUK,PIK3CB,CD14	0.00157077231883099
Th1 and Th2 cell differentiation	UP	2.48849810194348	1813	24	12783	24	0.000203018626700469	CD4,IKBKB,STAT6,LCK,PPP3CA,NFKB1,JAK2,JUN,H2-DMB1,H2-DMB2,H2-DMA,TBX21,IL2RB,H2-AB1,LAT,IFNGR2,ZAP70,IFNGR1,IL2RG,CD247,H2-EB1,JAG1,TYK2,STAT1,PRKCQ,H2-AA,FOS,PPP3CB,H2-OB,NFKBIE,JAG2,NFATC2,IL12RB2,MAPK14,NFKBIA,RELA,DLL4,NFATC1,MAPK12,MAF,H2-OA,PLCG1,MAPK10,JAK1,NFKBIB,MAPK11,NOTCH3,MAPK13,MAPK8,MAML2,DLL3,RBPJ,IKBKG,NOTCH1,MAPK3,PPP3CC,PPP3R1,RBPJL,MAPK1,NFATC3,MAML1,MAPK9,NOTCH2,IL4RA,DLL1,CHUK,STAT5A,STAT5B	0.00164629650015289
Bile secretion	UP	16.0752012072435	71	5	12783	5	0.000254567029512431	ABCC3,SULT2A1,SULT2A3,SLC4A4,ABCB4,AQP1,ATP1B3,HMGCR,SCTR,SLCO1A5,SCARB1,LDLR,ADCY7,ADCY3,PRKACB,CFTR,NR0B2,ADCY4,EPHX1,CYP7A1,ADCY1,ATP1B1,ATP1B4,SLC9A1,KCNN2,SLC4A2,ADCY6,ADCY9,ABCC2,ABCC4,SLC27A5,ATP1A1,ABCG8,AQP9,AQP4,SLC2A1,NR1H4,ADCY5,RXRA,SLC22A7,ATP1A2,SLCO1A4,AQP8,SLCO1B2,SLC10A1,ABCG2,ABCG5,NCEH1,SLCO1A6,SLC22A1,SLCO1A1,GNAS,ABCB11,PRKACA,BAAT,SLC22A8	0.00200031577997975
Fatty acid degradation	DOWN	3.53959651898734	1264	14	12783	14	0.000255645738696963	CYP4A14,ACADM,HADH,ACOX3,ACOX1,ECHS1,ACAT1,ALDH9A1,ALDH3A2,ACADS,ALDH2,ACADL,ACSL1,ACAA2,ACADVL,HADHA,CPT2,ACAA1A,ACAA1B,ACSBG1,GCDH,CYP4A10,CYP4A31,CYP4A32,ALDH7A1,CPT1C,CPT1A,HADHB,ECI1,ADH7,CPT1B,EHHADH,ACAT2,ACSL3,ALDH1B1,ECI2,ACSL5,ACSL4,CYP4A12A,CYP4A12B	0.00200031577997975
Propanoate metabolism	DOWN	5.42700127364498	731	9	12783	9	0.000309628192550093	LDHA,ACADM,DBT,ECHS1,MUT,ACAT1,BCKDHB,MCEE,PCCA,ALDH6A1,ABAT,SUCLG1,HIBCH,HADHA,SUCLA2,DLD,SUCLG2,BCKDHA,MLYCD,ACSS3,PCCB,ACSS1,EHHADH,ACAT2,ACACA,LDHB,ACSS2,ACACB,ECHDC1	0.00238093403236796
Primary bile acid biosynthesis	DOWN	5.06207306207306	1554	8	12783	8	0.000319607729571625	AMACR,BAAT,AKR1D1,ACOX2,HSD3B7,HSD17B4,CYP7B1,CYP39A1,ACOT8,SLC27A5,CYP7A1,CYP27A1,CYP8B1	0.002416017752355
