Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
HALLMARK_APICAL_JUNCTION	UP	2.01201730595376	1740	38	16399	38	0.000489396835227418	PTPRC,FYB,ICAM1,VWF,CD274,RAC2,VCAM1,PECAM1,CD86,GNAI2,ACTB,TGFBI,MSN,SKAP2,SDC3,ITGA9,PVRL4,ITGA2,RRAS,ACTG1,MYH9,GRB7,ARHGEF6,ZYX,SORBS3,ACTN3,B4GALT1,CX3CL1,CNN2,FBN1,CD34,MYL12B,THBS3,NRAP,ADAM15,ACTA1,VCL,LIMA1,PARVA,ACTN4,MAP4K2,VCAN,ATP1A3,MDK,ACTN1,CLDN15,JUP,ACTG2,ITGB4,PKD1,INSIG1,NF1,BMP1,CAP1,RSU1,ICAM2,VASP,PLCG1,CERCAM,PFN1,MYL9,SYMPK,TNFRSF11B,MAPK13,FSCN1,THY1,TSC1,MAPK11,SGCE,MMP9,EVL,TJP1,DMP1,PDZD3,AMIGO2,MMP2,CADM2,LDLRAP1,PPP2R2C,DLG1,COL9A1,TMEM8B,LAMC2,ARPC2,PARD6G,AMIGO1,CD276,LAYN,RHOF,AMH,COL16A1,LAMA3,KCNH2,TSPAN4,LAMB3,CADM3,CRB3,TAOK2,PVRL1,FLNC,ADAM23,AKT3,COL17A1,CTNNA1,NEXN,EXOC4,JAM3,CLDN5,NLGN2,SLC30A3,PBX2,CDH8,NRTN,MVD,CLDN14,MAPK14,GTF2F1,CDH15,CDH3,MPP5,NRXN2,BAIAP2,ACTN2,NFASC,SRC,MPZL2,MYH10,AKT2,RASA1,GAMT,WASL,SPEG,PCDH1,CLDN11,PTK2,PTEN,ICAM5,CLDN19,NLGN3,CRAT,PIK3R3,TRAF1,GNAI1,TIAL1,PVRL2,CNTN1,INPPL1,CTNND1,IKBKG,ADAM9,ACTC1,CDK8,ADAMTS5,SHC1,NEGR1,DHX16,SLIT2,CDH1,CDH6,PIK3CB,ITGA3,EGFR,IRS1,CDH11,ITGB1,YWHAH,CDH4,HADH,TUBG1,VAV2,NF2,MPZL1,SHROOM2,ADRA1B,CALB2,PVRL3,ITGA10,WNK4	0.00271887130681899
HALLMARK_HYPOXIA	UP	1.4795724099337	4733	79	16399	79	0.000903965139640417	CP,TGM2,S100A4,HMOX1,PLAC8,HEXA,TGFBI,SERPINE1,SDC3,MAP3K1,ETS1,BGN,MYH9,TNFAIP3,SLC2A1,SLC6A6,ANXA2,LOX,DCN,ATF3,NDRG1,IER3,PRKCA,GCNT2,FBP1,TPBG,CAV1,GAA,CTGF,AMPD3,ISG20,CCRN4L,FOSL2,PFKL,ZFP36,HK1,GAPDH,PDGFB,TPD52,EFNA1,P4HA1,BHLHE40,PTRF,PFKP,GRHPR,BCL2,TPST2,KLF6,IRS2,RBPJ,ILVBL,SAP30,DDIT3,PAM,PGM1,TGFB3,KLF7,PNRC1,CASP6,ATP7A,PLIN2,PLAUR,KIF5A,GBE1,WISP2,COL5A1,PRKCDBP,TMEM45A,AKAP12,IGFBP3,NDST2,LDHA,HK2,WSB1,P4HA2,GPC1,GLRX,NAGK,MXI1,EFNA3,KDM3A,LALBA,ALDOB,SLC25A1,SDC2,MAFF,ANKZF1,TPI1,ENO1,SLC2A3,IDS,ENO3,CDKN1A,SCARB1,NDST1,ALDOA,MIF,DDIT4,ADORA2B,FOXO3,CSRP2,PIM1,JMJD6,JUN,PCK1,ALDOC,PGAM2,SULT2B1,NEDD4L,INHA,FOS,IGFBP1,ERRFI1,CXCR4,SELENBP1,NFIL3,SLC2A5,PDK1,PDK3,KDELR3,GCK,ADM,CITED2,PPARGC1A,PYGM,PKLR,BTG1,DTNA,ENO2,F3,PPP1R3C,TIPARP,LARGE,SRPX,PGM2,RRAGD,PGF,STBD1,NR3C1,GYS1,CHST2,CYR61,BNIP3L,UGP2,VEGFA,CXCR7,XPNPEP1,LXN,PFKFB3,CCNG2,GALK1,HS3ST1,DUSP1,ERO1L,BCAN,PPP1R15A,PGK1,B3GALT6,PRDX5,STC2,CHST3,PPFIA4,SDC4,CDKN1B,RORA,VHL,SLC37A4,SIAH2,AK4,ANGPTL4,EGFR,VLDLR,DPYSL4,HDLBP,STC1,HSPA5,TES,PHKG1,CDKN1C,EXT1,FAM162A,KLHL24,GPC4,GPC3,NCAN	0.00475771126126535
HALLMARK_ANGIOGENESIS	UP	2.7296181630547	2907	15	16399	15	0.00116678755083532	S100A4,SPP1,POSTN,LPL,PF4,TIMP1,PGLYRP1,APP,JAG2,FGFR1,APOH,FSTL1,VCAN,LUM,VTN,ITGAV,PDGFA,SLCO2A1,KCNJ8,JAG1,NRP1,MSX1,PTK2,THBD,LRPAP1,VEGFA,CCND2,COL3A1,TNFRSF21,STC1,VAV2	0.0058339377541766
HALLMARK_PEROXISOME	DOWN	17.3534391534392	42	4	16399	4	0.00151341203100885	CRABP2,ABCD3,DIO1,IDH1,SOD2,ACSL1,HSD17B4,SLC25A4,RETSAT,SCP2,ISOC1,CNBP,HMGCL,YWHAH,ABCC8,MLYCD,ECH1,ATXN1,LONP2,CTPS,BCL10,FIS1,SLC25A17,SMARCC1,PEX13,PRDX5,CLN8,GNPAT,EPHX2,ECI2,ERCC3,PEX11A,PEX6,NR1I2,PRDX1,IDI1,CRAT,ACSL4,PEX5,CAT,CTBP1,ABCB4,CDK7,SOD1,SLC23A2,CRABP1,RDH11,SLC35B2,SLC27A2,SLC25A19,PEX14,NUDT19,SULT2B1,ITGB1BP1,ACOT8,HSD3B7,ABCC5,EHHADH,ABCB9,MSH2,ACOX1,ACSL5,DLG4,GSTK1,TTR,DHRS3,CLN6,ERCC1,ALDH1A1,ELOVL5,RXRG,PEX11B,CADM1,HSD17B11,FADS1,CACNA1B,TOP2A,VPS4B,SEMA3C,FDPS,IDE,DHCR24,PABPC1,ABCD1,ABCD2,TSPO,SERPINA6,ALDH9A1,IDH2,MVP	0.007206723957185
HALLMARK_PANCREAS_BETA_CELLS	DOWN	3.50331125827815	1510	10	16399	10	0.00363565478623229	DCX,INSM1,SEC11A,ABCC8,CHGA,SST,DPP4,PAK3,SRP9,SCGN,PAX6,VDR,SRP14,NEUROD1,PKLR,SYT13,GCK,SLC2A2,SPCS1,AKT3,FOXO1,PCSK1,FOXA2,HNF1A,NKX2-2,ELP4,PCSK2,STXBP1,MAFB,SRPRB,LMO2	0.0165257035737831
HALLMARK_P53_PATHWAY	UP	1.98169591765651	2233	51	16399	51	2.50399829703207e-05	TAP1,VWA5A,S100A4,CTSD,IFI30,HMOX1,ST14,GLS2,CASP1,SAT1,RHBDF2,TGFB1,LRMP,ABAT,STOM,SOCS1,APAF1,ABHD4,TGFA,TM7SF3,DDB2,XPC,SP1,TRAFD1,ATF3,PROCR,NDRG1,MKNK2,NUPR1,IER3,CCND3,APP,TCN2,HIST1H1C,TRIB3,TPRKB,FDXR,PLK3,POLH,RRAD,DRAM1,TM4SF1,CD82,DCXR,POM121,KIF13B,PVT1,CYFIP2,JAG2,FUCA1,BTG2,PCNA,EPS8L2,GM2A,TXNIP,ZFP36L1,INHBB,ITGB4,EPHX1,FAS,LIF,DDIT3,F2R,RRP8,RAB40C,CDKN2B,IER5,CDKN2AIP,KLF4,IL1A,BAK1,CD81,OSGIN1,RALGDS,NOTCH1,TPD52L1,RPL18,PPM1D,UPP1,CCNG1,RPS12,PDGFA,GNB2L1,CDKN2A,TRIAP1,SFN,SERPINB5,SLC7A11,SDC1,RB1,SLC3A2,CDKN1A,SLC19A2,TNNI1,HBEGF,RCHY1,S100A10,RAD51C,DDIT4,FOXO3,ABCC5,CEBPA,IKBKAP,AEN,RPL36,TAX1BP3,CCNK,JUN,PTPN14,RAP2B,LDHB,FOS,ACVR1B,MXD1,TNFSF9,MAPKAPK3,PLK2,PTPRE,ADCK3,KLK8,ZMAT3,BLCAP,TSPYL2,NHLH2,RXRA,NUDT15,PMM1,TOB1,NINJ1,RGS16,PLXNB2,BTG1,PRMT2,BAIAP2,ADA,BMP2,NOL8,PHLDA3,SEC61A1,MXD4,VDR,EPHA2,H2AFJ,IP6K2,HIST3H2A,DEF6,PRKAB1,AK1,ERCC5,IRAK1,RPS27L,TCHH,HDAC3,DNTTIP2,GADD45A,CTSF,ANKRA2,STEAP3,DGKA,CCND2,VAMP8,SPHK1,BAX,HSPA4L,SERTAD3,SLC35D1,PPP1R15A,PITPNC1,RNF19B,ISCU,CLCA2,WWP1,ZBTB16,SESN1,CSRNP2,CGRRF1,CDK5R1,PERP,HINT1,MDM2,FBXW7,EI24,HEXIM1,CDH13,FAM162A,FGF13,RETSAT,TSC22D1,TRAF4	0.000147294017472475
HALLMARK_FATTY_ACID_METABOLISM	DOWN	2.95159949815514	1321	34	16399	34	2.54780918251818e-07	SUCLA2,UROD,IDH1,CYP1A1,HSPH1,SDHD,PDHA1,HSDL2,PDHB,ACSL1,DLST,HSD17B4,SMS,RETSAT,IDH3B,ACADVL,SDHC,SERINC1,HMGCS2,SDHA,HMGCL,MGLL,ETFDH,HADH,ACADM,YWHAH,AADAT,DLD,MLYCD,GPD2,ECH1,FABP2,ACSS1,PPARA,ACAA2,AUH,PTS,BCKDHB,HCCS,DECR1,IDH3G,GCDH,SUCLG1,HIBCH,MDH1,PTPRG,CPOX,HSD17B10,ACOT2,HMGCS1,ERP29,GSTZ1,ACAT2,CCDC58,ACO2,ADH7,ECI2,ME1,GLUL,HSP90AA1,INMT,NBN,MCEE,G0S2,NTHL1,IDI1,GABARAPL1,METAP1,CPT1A,CRAT,ACSL4,MDH2,GPD1,ACADL,AOC3,ACADS,BPHL,VNN1,D2HGDH,ENO2,CPT2,CBR3,RAP1GDS1,ADSL,PCBD1,HADHB,ALAD,FABP1,OSTC,NSDHL,CBR1,ADIPOR2,SLC22A5,RDH11,HPGD,SETD8,ECI1,UROS,ODC1,TDO2,H2AFZ,ECHS1,MAOA,ACOT8,ALDH3A2,EHHADH,S100A10,APEX1,GAD2,MIF,LTC4S,FASN,ACOX1,ALDOA,RDH16,SUCLG2,ACSL5,ENO3,LGALS1,ACSM3,NCAPH2,BLVRA,ALDH1A1,LDHA,UGDH,CIDEA,ELOVL5,PRDX6,CRYZ,FMO1,AQP7,HSD17B11,REEP6,BMPR1B,EPHX1,GRHPR,ALDH3A1,HSD17B7,DHCR24,ALDH9A1,CD36,PSME1,UBE2L6	1.69853945501212e-06
HALLMARK_IL6_JAK_STAT3_SIGNALING	UP	3.1961168441462	3767	58	16399	58	3.33697214305317e-09	IRF9,STAT1,TLR2,STAT2,OSMR,CXCL10,STAT3,CSF3R,CSF2RB,PIK3R5,TNFRSF1A,IL1B,IRF1,HMOX1,CD44,TNFRSF1B,IL13RA1,TNF,IL2RG,CSF1,IFNGR1,SOCS3,CCL7,IL6ST,CXCL13,TGFB1,CSF2RA,CD14,PTPN1,MYD88,ITGA4,SOCS1,EBI3,IL17RA,CD36,A2M,IL18R1,PF4,CRLF2,ACVRL1,IL10RB,IL1R1,CCR1,TYK2,IL7,CXCL9,ITGB3,CXCL1,IL3RA,LTB,DNTT,CD9,MAP3K8,FAS,CD38,CNTFR,BAK1,LEPR,CBL,STAM2,TNFRSF12A,CXCL11,IFNGR2,PIM1,JUN,ACVR1B,GRB2,PDGFC,IL2RA,LTBR,IL12RB1,PTPN11,IL17RB,INHBE,IFNAR1,PTPN2,TNFRSF21,IL15RA,HAX1	4.18268379527702e-08
HALLMARK_INTERFERON_ALPHA_RESPONSE	UP	2.21295031387027	6821	81	16399	81	3.52521734026112e-09	IRF7,USP18,IFI44,IFIT3,LGALS3BP,RTP4,DDX60,DHX58,IRF9,PARP14,IFIH1,B2M,RSAD2,TAP1,SP110,PSMB8,PARP12,PARP9,SAMD9L,GBP2,EIF2AK2,STAT2,ISG15,UBE2L6,MX1,BST2,HERC6,CMPK2,LY6E,EPSTI1,CXCL10,UBA7,IFIT2,GBP4,PSMB9,TRIM25,IRF1,IFI30,CD74,PSME1,TRIM21,IFI35,CSF1,C1S,CASP1,BATF2,ADAR,LAP3,TRIM14,CD47,ELF1,NMI,TDRD7,PLSCR1,NUB1,MOV10,TRAFD1,PROCR,PSME2,CASP8,IL7,TMEM140,LPAR6,ISG20,SELL,FTSJD2,RNF31,OGFR,RIPK2,TXNIP,IFITM1,FAM46A,TRIM26,IRF2,IFITM3,CNP,GMPR,CCRL2,IFITM2,NCOA7,CXCL11,WARS,FAM125A,PNPT1,IL15,SLC25A28,LAMP3,PSMA3	4.18268379527702e-08
HALLMARK_ADIPOGENESIS	DOWN	2.12107795536311	2564	65	16399	65	3.67123066391528e-08	IDH1,AIFM1,NDUFA5,REEP5,COX7B,UQCRQ,CHUK,CMPK1,IMMT,DLAT,RETSAT,ESRRA,DBT,ATL2,SDHC,SCP2,PPP1R15B,NDUFAB1,COQ9,JAGN1,IDH3A,PIM3,RNF11,LIFR,MGLL,HADH,CMBL,ACADM,FAM73B,DLD,AGPAT3,MRPL15,ITGA7,GPD2,FAM82A2,ECH1,GHITM,ANGPTL4,CYC1,UCK1,ACAA2,SLC27A1,GPHN,MTCH2,DECR1,YWHAG,ELMOD3,CS,IDH3G,ATP5O,ARAF,PPM1B,SUCLG1,UQCRC1,AK2,PTCD3,MCCC1,BCKDHA,HIBCH,PREB,NDUFB7,CHCHD10,TANK,MGST3,PRDX3,EPHX2,DRAM2,BCL6,SDHB,ACO2,SLC19A1,UQCR10,PHYH,ME1,ARL4A,UBQLN1,GRPEL1,CCNG2,PFKFB3,COQ3,AGPAT6,GADD45A,TALDO1,ADCY6,PDCD4,CRAT,MDH2,DGAT1,NKIRAS1,SAMM50,QDPR,BCL2L13,ACADL,SDPR,ACADS,NDUFS3,RREB1,DNAJB9,FZD4,CAT,ANGPT1,CPT2,COX8A,ENPP2,ITIH5,COX6A1,ETFB,ANKRD57,RIOK3,OBFC2A,TOB1,COQ5,ATP1B3,LPCAT3,SOD1,UQCR11,ADIPOR2,OMD,POR,DDT,ELOVL6,PEX14,ECHS1,TST,SLC25A10,SSPN,VEGFB,COL15A1,HSPB8,SLC5A6,ABCB8,CD302,SQRDL,RTN3,DHCR7,GPAM,LTC4S,DNAJC15,ACOX1,ALDOA,MAP4K3,SCARB1,MRAP,MYLK,BAZ2A,FABP4,ITSN1,G3BP2,SLC25A1,STAT5A,RAB34,DHRS7B,ALDH2,LAMA4,CDKN2C,CIDEA,PTGER3,GPX4,GBE1,ABCA1,PLIN2,MOSC2,SLC1A5,PHLDB1,SPARCL1,PGM1,REEP6,LIPE,NMT1,CYP4B1,TKT,PEMT,PTRF,COL4A1,SULT1A1,SORBS1,PFKL,CD151,APLP2,ACLY,UBC,UCP2,PPARG,CD36,DHRS7,ORM1,LPL,APOE,STOM,FAH,PQLC3,IFNGR1,C3,ESYT1,SNCG,GPX3	2.82402358762714e-07
