Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
Focal adhesion	UP	1.66328381361494	3624	68	16399	68	0.000106099203046717	VAV1,VWF,ITGB5,RAC2,FLT1,PIK3CD,TLN1,COMP,PARVG,ACTB,TNXB,BIRC3,SPP1,THBS4,FLNA,ITGA9,THBS1,FLNB,COL6A3,ITGA2,ITGA4,RASGRF1,ACTG1,PDGFD,ZYX,COL6A6,ITGA2B,ITGB7,PDGFRB,PIP5K1C,PRKCB,PRKCA,MYL12B,THBS3,MAPK3,CCND3,PARVB,HGF,VCL,PAK2,COL4A6,CAV1,PARVA,FLT4,ITGB3,ACTN4,CCND1,PDGFB,FN1,COL4A1,COL4A5,LAMA1,ACTN1,BCL2,LAMA2,COL6A4,ITGB4,VTN,RELN,MET,AKT1,COL1A1,ITGAV,RHOA,TNN,ITGA6,IGF1R,VASP,MYL9,RAC1,PPP1CA,ITGA5,RAP1B,ERBB2,MYL7,IGF1,EGF,PDGFA,LAMA4,SOS2,CAPN2,DOCK1,PAK1,PPP1CC,LAMA5,LAMC3,PAK7,COL9A1,BRAF,CRKL,LAMC2,COL6A5,MYLK,COL4A2,ILK,COL2A1,LAMA3,LAMB3,ITGA11,PPP1R12A,THBS2,RAPGEF1,FLNC,ITGA8,COL6A1,JUN,AKT3,PPP1R12C,VEGFB,CDC42,RAC3,COL4A4,GRB2,PDGFC,PIK3R2,KDR,MAP2K1,COL1A2,PDGFRA,LAMC1,COL6A2,RAP1A,COL9A2,ITGA1,MYL2,SRC,CRK,AKT2,SHC2,PTK2,COL4A3,MAPK10,PTEN,PGF,BCAR1,PIK3R3,PIK3CA,VEGFA,ROCK1,XIAP,SHC4,ELK1,CAV3,ITGB8,ROCK2,CCND2,MAPK9,PAK4,VAV3,MYLPF,RAF1,TLN2,FYN,BAD,SOS1,PXN,PPP1R12B,GSK3B,SHC1,MAPK8,VEGFC,TNR,BIRC2,PAK3,PIK3CB,LAMB1,ITGA3,EGFR,MYLK4,ITGA7,MAPK1,ITGB1,PDPK1,SHC3,MYLK3,VAV2,ARHGAP5,PPP1CB,LAMB2,CAV2,CTNNB1,ITGB6,COL9A3,ITGA10,PIK3R1	0.00114912876207622
Cardiac muscle contraction	DOWN	1.57894051237516	7567	51	16399	51	0.000106307066095157	COX6C,CACNG4,ATP2A2,COX7B,UQCRQ,COX7A1,ATP1A2,UQCRFS1,CACNA2D1,UQCRB,COX4I1,COX5A,CYC1,COX8B,COX7C,CACNG5,UQCRC1,ATP1B1,TNNT2,UQCRC2,CACNG3,MYH7,SLC9A6,ACTC1,RYR2,CACNG7,UQCR10,COX5B,CACNG2,COX6B1,TNNI3,FXYD2,MYL4,TPM1,MYH6,COX7A2,COX7B2,CACNA2D3,COX4I2,MYL2,CACNG6,MYL3,COX6A2,COX8A,COX6A1,UQCRH,CACNB2,CACNA1S,ATP1B3,UQCR11,ATP1A1,ATP1B2,COX6B2,CACNA2D4,CACNG8,CACNB4,CACNB1,TNNC1,CACNA1C,SLC8A1,CACNA2D2,ATP1A4,CACNB3,TPM2,COX7A2L,ATP1A3,SLC9A1,TPM3,TPM4,CACNA1D	0.00114912876207622
Ribosome	UP	1.5426574836217	5953	70	16399	70	0.000133594324688624	RPL3,RPS4X,RPS20,RPSA,RPL37A,RPS19,RPS7,RPS26,RPL23,RPL21,RPL13A,RPL19,RPS11,RPS21,RPL6,RPL4,RPLP1,RPL29,RPLP2,RPL17,RPS28,RPL31,RPS5,MRPS18A,MRPL23,RPL24,RPS9,RPS24,RPS3,MRPL24,RPS6,UBA52,FAU,RPLP0,RPL11,RPL12,RPL5,RPS8,RPL7,RPS29,MRPL30,RPS17,RPL27A,RPL18,RPL32,MRPL10,RPL23A,RPL15,RPS12,RPS15A,RPS13,RPL10A,RPL14,RPL10,RPS10,RPL41,RPL34,MRPL36,RPS2,MRPS2,RPL9,RPS15,RPS27A,MRPL9,RPL36AL,RPL30,RPS18,MRPL16,RPL8,GM4925,RPL18A,RPL39,RPL22L1,MRPL34,RPL13,RPL36,MRPL22,MRPL35,MRPL20,RPS27,MRPS15,MRPL1,MRPL33,MRPL3,MRPS17,RPL35A,RPL28,RPL37,RPL7A,MRPL14,MRPL11,RPS16,RPL22,RPS25,RPL27,MRPL4,MRPL17,RPL35,RPS14,MRPS5,MRPS6,RPL36A,MRPL2,MRPS12,MRPL18,RPS27L,MRPL12,MRPS9,MRPS7,RPL38,MRPL13,MRPL32,MRPS14,MRPS16,MRPS21,MRPS11,MRPS10,MRPL19,RSL24D1,MRPL21,MRPL27,MRPL15,RPL3L,MRPS18C,MRPL28	0.00141050752113105
Rap1 signaling pathway	UP	2.11306373277827	1593	39	16399	39	0.000141923012403122	ITGB2,FYB,ITGAM,ITGAL,LCP2,RAC2,CSF1R,ADCY7,FLT1,PIK3CD,TLN1,APBB1IP,GNAI2,ACTB,CSF1,FGFR4,THBS1,PLCB2,ADCY4,FGF2,LAT,RASSF5,RRAS,ACTG1,NGFR,PDGFD,ITGA2B,PDGFRB,MAPK12,FPR1,ADCY3,PRKD2,PRKCZ,RAPGEF2,PRKCB,RASGRP3,PRKCA,MAPK3,ID1,HGF,ARAP3,FLT4,ITGB3,ANGPT2,FGFR1,PDGFB,RAPGEF6,EFNA1,SKAP1,FGF14,ADCY1,TIAM1,MET,F2R,SIPA1L1,AKT1,RHOA,LPAR1,FGF16,IGF1R,VASP,PLCE1,PLCG1,PFN1,MAPK13,RALGDS,RGS14,DOCK4,RAC1,SIPA1L3,FGF22,RAP1B,MAPK11,SIPA1,IGF1,CNR1,RAPGEF3,NGF,EGF,PDGFA,NRAS,EFNA3,FGF5,FGFR3,KLK1B4,INSR,CALM3,BRAF,CRKL,GRIN2B,PARD6G,ADORA2B,RAPGEF5,GRIN1,PARD6A,RAPGEF1,RALB,AKT3,ADORA2A,PARD3,VEGFB,CDC42,EFNA4,TEK,RAC3,KRIT1,KIT,EFNA5,PDGFC,GNAQ,PIK3R2,KDR,MAP2K1,MAPK14,FGF23,PDGFRA,FGF7,LPAR2,GNAS,PLCB3,RASGRP2,LPAR3,RAP1A,PARD6B,ANGPT1,SRC,PFN4,CRK,GRIN2A,FGF10,AKT2,PLCB1,PLCB4,EPHA2,ADCY2,MRAS,ADCY5,FARP2,MAP2K2,SIPA1L2,CALM1,RAP1GAP,GNAI3,CALML4,PGF,CALM2,FGF9,ADCY6,BCAR1,PRKCI,PIK3R3,PIK3CA,FGFR2,FGF12,GNAI1,VEGFA,FGF18,ADCY9,GNAO1,MAP2K3,MAGI1,CTNND1,RAF1,MAGI2,TLN2,LPAR4,KRAS,DRD2,MAGI3,PRKD1,PFN2,ADCY8,VEGFC,FGF11,CDH1,PRKD3,PIK3CB,EGFR,MAP2K6,MAPK1,ITGB1,FGF13,EFNA2,RALA,P2RY1,CTNNB1,FGF1,KITL,RAPGEF4,PIK3R1	0.00146438744615949
Ubiquitin mediated proteolysis	DOWN	1.44663020465773	6976	80	16399	80	0.000225684041535112	UBE2K,UBE2G1,STUB1,UBE2Q1,UBE2D1,UBE2H,UBE3A,CUL3,FBXW7,CDC23,UBE2E3,MDM2,CUL4A,CUL2,BIRC2,UBE2A,VHL,UBE3C,UBA3,CUL1,HUWE1,SKP1A,UBE2J2,UBR5,CDC26,WWP1,UBE2E1,ANAPC10,TRIM37,DET1,UBE2B,ITCH,ANAPC7,KLHL13,UBE2Q2,ANAPC13,KLHL9,SIAH1A,CUL5,SMURF1,HERC2,UBE2N,TRIP12,RHOBTB1,UBE2F,RHOBTB2,UBE2M,ANAPC1,XIAP,UBE4B,SIAH1B,FBXW11,SMURF2,SAE1,BRCA1,UBE2S,UBE2J1,FBXO4,BTRC,UBE2U,UBE2D3,CDC20,ERCC8,RFWD2,CUL7,CBLC,UBE2G2,HERC3,UBE2O,UBA2,MGRN1,SYVN1,UBE2R2,CDC34,UBA1,UBE2QL1,ANAPC4,CUL4B,NEDD4,BIRC6,UBE2I,HERC1,NHLRC1,UBE4A,CDC16,PIAS4,WWP2,FBXO2,DDB1,FBXW8,NEDD4L,PRPF19,ANAPC11,RBX1,ANAPC5,CDC27,TRIM32,UBE2W,KEAP1,PIAS2,UBE2Z,RCHY1,FZR1,UBOX5,UBE3B,RNF7,UBE2E2,ANAPC2,UBE2C,HERC4,TRAF6,CBL,UBA6,PPIL2,UBE2L3,FANCL,PIAS3,SKP2,PARK2,CBLB,DDB2,SOCS1,PIAS1,MAP3K1,SOCS3,BIRC3,MID1,PML,UBA7,UBE2L6	0.00227690121904313
T cell receptor signaling pathway	UP	2.42894171665556	1929	26	16399	26	0.000240910292261365	PTPRC,CD3G,PTPN6,VAV1,LCP2,CD8A,CD8B1,PIK3CD,TNF,CD3E,GRAP2,CARD11,NFATC1,ITK,LAT,LCK,MAPK12,MALT1,CD247,NFKBIE,PPP3CC,MAPK3,PAK2,CBLB,PRKCQ,RELA,ZAP70,MAP2K7,RASGRP1,MAP3K14,MAP3K8,CD4,AKT1,RHOA,PLCG1,MAPK13,CBL,NFKBIB,MAPK11,CTLA4,NRAS,SOS2,PAK1,DLG1,PAK7,CD28,JUN,AKT3,FOS,ICOS,CDC42,GRB2,NFATC3,NFATC2,PIK3R2,MAP2K1,MAPK14,NCK2,CDK4,AKT2,NFKB1,NFKBIA,CBLC,MAP2K2,TEC,PPP3R2,PIK3R3,PIK3CA,IKBKB,MAPK9,PAK4,VAV3,RAF1,IKBKG,FYN,SOS1,PPP3CA,GSK3B,KRAS,MAP3K7,PPP3R1,NCK1,BCL10,PAK3,PIK3CB,MAPK1,PDPK1,VAV2,PPP3CB,CHUK,PIK3R1	0.00236274122298199
mRNA surveillance pathway	DOWN	1.48811710024024	7929	59	16399	59	0.000244600963612673	RNGTT,PPP1CB,PPP2R3A,MSI1,PABPC5,CPSF2,PNN,ETF1,GSPT1,NCBP2,PELO,UPF3A,PABPN1,PPP2R5E,CPSF4,MSI2,HBS1L,DAZAP1,PABPC4L,SSU72,CLP1,PPP2CB,MAGOH,CPSF6,UPF3B,CPSF1,PPP2R2D,PPP2R5B,PAPOLB,PPP2CA,SMG5,UPF2,GM8994,PCF11,PAPOLA,CSTF3,NXT1,GSPT2,PPP2R5D,NCBP1,PPP2R3D,FIP1L1,PPP2R5C,CSTF2,UPF1,PPP2R2B,WDR82,NXF7,NXT2,SMG7,NXF1,NUDT21,PPP2R3C,CSTF2T,WDR33,PABPC4,PPP2R1B,RBM8A,PABPC1L,PPP2R2A,DDX39B,RNMT,PAPOLG,MAGOHB,EIF4A3,SAP18,RNPS1,SMG6,PPP1CC,CPSF3,PPP2R2C,ACIN1,PPP2R1A,PPP2R5A,CASC3,PPP1CA,SYMPK,SMG1,CPSF7,CSTF1,SRRM1,PABPC1	0.00236274122298199
Hedgehog signaling pathway	DOWN	1.9943651694503	5286	27	16399	27	0.000329062581121531	HHIP,SPOP,CUL3,CDON,CSNK1A1,GPR161,CUL1,PTCH2,GAS1,PRKACB,CSNK1G3,GSK3B,DHH,SMURF1,PTCH1,CCND2,CSNK1D,CSNK1E,IHH,FBXW11,SMURF2,GLI1,GLI2,KIF3A,SPOPL,BTRC,SHH,CSNK1G2,SUFU,EVC,ARRB1,KIF7,LRP2,PRKACA,SMO,EVC2,BCL2,GLI3,BOC,CCND1,CSNK1G1,ARRB2	0.00311238357977448
Metabolism of xenobiotics by cytochrome P450	DOWN	24.4852556924225	47	4	16399	4	0.000381282575575237	UGT2B38,UGT2B37,CYP1A1,UGT2B35,HSD11B1,UGT2B36,GSTP1,UGT2A3,GSTT2,CYP2S1,AKR7A5,UGT2B1,MGST3,UGT1A9,ADH7,UGT1A6A,UGT2B5,UGT1A6B,CYP2F2,UGT1A2,UGT1A1,GSTM5,CBR3,CBR1,GSTO1,ALDH1A3,GSTP2,ADH5,UGT1A5,GSTK1,GSTA3,UGT2B34,DHDH,ADH4,ALDH3B1,GSTT1,GSTM4,CYP1A2,ADH1,GSTO2,EPHX1,ALDH3A1,GSTM1,UGT1A7C,GSTA4,MGST1,GSTM2,GSTM3,GSTM7,GSTM6,GSTA2,CYP1B1,GSTT3,GSTA1,CYP2E1,CBR2,HPGDS	0.00353269978186036
Drug metabolism - other enzymes	DOWN	23	62	4	16399	4	0.000452762740068446	UGT2B38,UGT2B37,UGT2B35,CES2C,UGT2B36,CES1D,UGT2A3,UCK1,HPRT,ITPA,CES2B,UGT2B1,CES2A,UGT1A9,UGT1A6A,UCK2,UGT2B5,TPMT,UGT1A6B,GMPS,TYMP,UGT1A2,UGT1A1,UCKL1,CES1E,CES1C,UMPS,CES2G,UPB1,CES2E,IMPDH2,DPYS,UGT1A5,UGT2B34,NAT1,IMPDH1,NAT2,UPP1,UPP2,TK1,TK2,UGT1A7C,GUSB,CDA,DPYD,XDH	0.00411108567982149
