Gene_Set	Direction	Enrichment	n	b	N	B	p.value	Driver_Genes	adj.p.val
cAMP signaling pathway	DOWN	2.06295931813254	1795	41	15083	41	0.000109579300367479	GABBR1,GRIA1,ATP2B2,GRIA4,CALM2,ATP1B1,RAPGEF4,HHIP,ADCY1,PTCH1,CAMK2A,ADCY2,GABBR2,CAMK4,ATP2A2,ATP2B4,ATP1A2,HTR4,ATP2B3,ADCY5,PDE3A,CALM1,HCN4,CFTR,ATP1A3,AKT3,GRIN3A,GLI1,CHRM2,MAP2K1,CAMK2B,ADCY6,GRIA3,NPY,EDNRA,PAK1,DRD2,HTR1A,PIK3CB,GRIN2A,PIK3R1,HTR1B,BAD,CHRM1,MAPK1,PRKACB,PIK3R2,MAPK10,CALM3,CNGB1,JUN,PPP1R12A,CACNA1S,CREB3L1,PPP1CB,ADCY8,NPY1R,VAV3,ADORA1,MAPK9,ATP2B1,PDE4A,ATP1B2,MAPK8,GRIN2B,CREBBP,TIAM1,PIK3R3,PLN,CREB1,CALML4,ATP1A1,GRIN1,GRIN2C,CREB3,MYL9,RAP1A,PPARA,RRAS2,AKT2,ATP1B3,GRIA2,TNNI3,TSHR,GNAI3,SSTR2,PLD1,CREB3L2,PPP1R1B,ACOX1,ROCK2,NPR1,NFKBIA,PDE4B,PIK3CA,EP300,ADRB2,CACNA1C,VAV2,GLP1R,RAP1B,PPP1CA,CAMK2D,GNAS,HCN2,FOS,PDE4D,BRAF,RYR2,BDNF,ORAI1,CNGA4,MAP2K2,ADORA2A,HTR1F,AMH,ADCYAP1R1,RAC3,CREB3L3,GNAI1,RAF1,GRIN2D,CREB5,ACOX3,PRKACA,DRD5,RAC1,GLI3,OXTR,PTGER3,ADCY3,PPP1CC,PLCE1,ADRB1,LIPE,ROCK1,ABCC4,SLC9A1,CREB3L4,ADCY10,ARAP3,PDE4C,ADCY9,MAPK3,AKT1,GIPR,GRIN3B,NFKB1,HTR1D,RAPGEF3,PLD2,RRAS,RELA,FXYD1,RHOA,NFATC1,CACNA1D,SOX9,ADCY4,VIPR2,GNAI2,PDE3B,ADCY7,F2R,RAC2,PIK3CD,VAV1	0.00104450056520491
Long-term potentiation	DOWN	1.76618576511387	5645	39	15083	39	0.00014041756182126	GRIA1,CALM2,ADCY1,ITPR1,CAMK2A,CAMK4,PLCB3,GRM1,PPP1R1A,PPP3CB,CALM1,PPP3CA,MAP2K1,CAMK2B,GNAQ,GRIN2A,GRM5,ARAF,PPP3R1,MAPK1,PRKACB,CALM3,RPS6KA6,RPS6KA2,PPP1CB,ADCY8,GRIN2B,CREBBP,CALML4,ATF4,GRIN1,GRIN2C,PPP3R2,PRKCB,RAP1A,PLCB4,RPS6KA3,RPS6KA1,GRIA2,KRAS,EP300,CACNA1C,NRAS,RAP1B,PPP1CA,CAMK2D,BRAF,PRKCA,MAP2K2,RAF1,GRIN2D,PRKACA,PPP3CC,PPP1CC,ITPR2,MAPK3,RAPGEF3,PLCB2,ITPR3	0.00131056391033176
Neuroactive ligand-receptor interaction	DOWN	1.8665334872221	2371	49	15083	49	0.000162025274572652	GABRA2,GABBR1,GRIA1,SSTR3,CHRNB2,GRIA4,GLRA2,GRM7,GRID2,CHRM3,P2RY1,GABBR2,GRM4,GRM1,HTR4,OPRM1,APLNR,GABRA3,GABRA5,GRID1,GRIN3A,GABRB3,CALCRL,CHRM2,TACR1,HTR7,GLRB,GRIA3,GRIK1,GABRA6,GABRB2,EDNRA,DRD2,HTR1A,RXFP3,GRIN2A,GRIK5,GRM5,GABRG3,GABRG2,SSTR4,GHR,GABRA4,HTR1B,VIPR1,OPRK1,ADRA1B,HCRTR2,NPY2R,CHRM1,TACR3,S1PR1,CRHR2,GRM3,GRIK4,GABRR2,HTR2C,NPY1R,ADORA1,NMBR,CCKBR,GRIN2B,EDNRB,HRH1,LPAR2,PRLR,GRIN1,GRIN2C,CHRNA4,CHRNB1,CHRM4,GPR83,AGTR2,GABRA1,GLRA1,LPAR4,OPRL1,GRIA2,TBXA2R,S1PR2,NR3C1,TSHR,OPRD1,SSTR2,HTR5A,PLG,ADRA2C,PTGDR,LEPR,P2RX3,THRB,NTSR2,NMUR1,ADRB2,CHRNA7,GLP1R,LPAR1,TSHB,ADRA1D,ADRA2B,GRIK3,ADORA2B,CHRNB4,ADRA1A,CYSLTR2,GABRG1,CHRNA6,TRHR,ADORA2A,HTR1F,ADCYAP1R1,CYSLTR1,P2RY2,CHRNA2,GRIN2D,HRH3,PTGER1,GALR1,PTGFR,GRM8,GCGR,DRD5,GPR156,OXTR,PTGER3,CHRNB3,GRM2,MC5R,ADRB1,THRA,P2RX5,CRHR1,GABRD,PTH1R,HRH2,BDKRB2,HTR2A,PRLHR,LHCGR,P2RX7,GABRB1,KISS1R,GRIK2,PTH2R,GIPR,GRIN3B,CNR1,LPAR6,P2RX4,HTR1D,P2RY14,F2RL1,TSPO,DRD4,ADRA2A,P2RX6,S1PR5,PARD3,C5AR1,PTGER4,VIPR2,PTAFR,F2R,P2RY6,S1PR3,P2RY13,C3AR1	0.00148137393894996
Circadian entrainment	DOWN	2.74517687547569	1439	22	15083	22	0.000182645359510847	GRIA1,GRIA4,CALM2,KCNJ6,CACNA1G,ADCY1,ITPR1,CAMK2A,ADCY2,PLCB3,PRKG1,RYR1,ADCY5,GNG3,KCNJ9,CALM1,CAMK2B,ADCY6,GNG2,GNG13,GNAQ,GRIA3,GRIN2A,GNG11,GNAO1,CACNA1H,GNG12,MAPK1,PRKACB,CALM3,ADCY8,GUCY1B3,GRIN2B,CREB1,CALML4,GRIN1,GRIN2C,PRKCB,GUCY1A2,PLCB4,RASD1,GRIA2,GNAI3,CACNA1C,NOS1AP,CAMK2D,GNAS,GNB1,RPS6KA5,FOS,RYR2,PRKCA,GNB4,ADCYAP1R1,GNAI1,GUCY1A3,GRIN2D,KCNJ5,GNG10,GNB2,PRKACA,KCNJ3,ADCY3,RYR3,GNG4,GNB5,ADCY10,ADCY9,MAPK3,PER1,GNGT2,GNG8,GNG5,CACNA1D,PER3,NOS1,ADCY4,GNG7,GNAI2,CACNA1I,ADCY7,PER2,PLCB2,ITPR3	0.00163650242121719
Cholinergic synapse	DOWN	2.57049124451451	1437	24	15083	24	0.0002562389110079	CHRNB2,KCNJ6,ADCY1,ITPR1,CAMK2A,CHRM3,ADCY2,CAMK4,PLCB3,FYN,KCNQ5,ADCY5,GNG3,KCNQ2,AKT3,KCNQ3,CHRM2,CACNA1A,MAP2K1,CAMK2B,ADCY6,GNG2,GNG13,GNAQ,PIK3CB,KCNJ12,PIK3R1,GNG11,GNAO1,CHRM1,GNG12,MAPK1,PRKACB,PIK3R2,CACNA1S,CREB3L1,ADCY8,PIK3R3,CREB1,ATF4,CHRNA4,CREB3,PRKCB,PLCB4,CHRM4,KCNQ1,AKT2,GNAI3,CREB3L2,PIK3R6,ACHE,KRAS,PIK3CA,CACNA1C,KCNJ14,CHRNA7,NRAS,GNA11,CAMK2D,GNB1,FOS,CHRNB4,BCL2,PRKCA,GNB4,CHRNA6,CACNA1B,CREB3L3,GNAI1,CREB5,GNG10,GNB2,PRKACA,KCNJ3,ADCY3,ITPR2,GNG4,GNB5,CREB3L4,KCNJ2,SLC5A7,ADCY9,MAPK3,AKT1,GNGT2,GNG8,JAK2,GNG5,CACNA1D,ADCY4,GNG7,GNAI2,PIK3CG,ADCY7,PIK3R5,PLCB2,PIK3CD,ITPR3	0.00225088298297136
Oxytocin signaling pathway	DOWN	2.36967792615868	1340	28	15083	28	0.000308578438054097	CAMKK2,CALM2,EGFR,KCNJ6,ADCY1,PRKAB2,ITPR1,CAMK2A,ADCY2,CAMK4,PLCB3,CACNG3,CAMK1D,CACNA2D2,RYR1,ADCY5,CCND1,CACNG7,PPP3CB,MYL6,KCNJ9,CACNB2,CALM1,PPP3CA,MAP2K1,CAMK2B,NFATC2,ADCY6,GNAQ,PPP1R12B,CACNG2,KCNJ12,GNAO1,MYL6B,PPP3R1,CACNB1,MAPK1,PRKACB,CALM3,JUN,MYLK,PPP1R12A,CACNA1S,MAP2K5,PPP1CB,ADCY8,CACNG5,GUCY1B3,CALML4,SRC,PPP3R2,CDKN1A,MYL9,PRKAG1,PRKCB,GUCY1A2,PLCB4,CACNG4,CACNB4,ACTG1,CACNA2D4,GNAI3,ROCK2,NPR1,PIK3R6,KRAS,CACNA1C,KCNJ14,NRAS,CACNB3,PPP1CA,CAMK2D,GNAS,FOS,EEF2K,PRKAB1,RYR2,PRKCA,TRPM2,PPP1R12C,MEF2C,MAP2K2,NFATC4,ELK1,GNAI1,RAF1,GUCY1A3,KCNJ5,PRKACA,PRKAA2,CACNA2D3,PPP3CC,KCNJ3,OXTR,MYLK4,PRKAA1,ADCY3,RCAN1,PPP1CC,CACNG8,NPR2,ITPR2,RGS2,ROCK1,RYR3,EEF2,PRKAG2,PLA2G4B,CAMK1,KCNJ2,ADCY9,MAPK3,MAPK7,PLA2G4A,NOS3,PRKAG3,NFATC3,PLA2G4E,ACTB,RHOA,NFATC1,CAMK1G,CACNA1D,PLA2G4C,CD38,ADCY4,GNAI2,PIK3CG,ADCY7,PIK3R5,PLCB2,PTGS2,ITPR3	0.00265852192785068
B cell receptor signaling pathway	UP	2.95925619114057	1504	18	15083	18	0.000328755438804729	CD22,VAV1,PIK3AP1,BLNK,PIK3CD,RAC2,CD72,PLCG2,MALT1,BTK,RASGRP3,CD81,CARD11,NFATC1,RELA,NFATC3,DAPP1,NFKB1,AKT1,CR2,MAPK3,IFITM1,PPP3CC,RAC1,NFKBIE,LYN,SOS2,RAF1,RAC3,MAP2K2,IKBKG,BCL10,FOS,SOS1,NRAS,VAV2,NFKBIB,PIK3CA,KRAS,NFKBIA,AKT2,PRKCB,PPP3R2,CHUK,GRB2,PIK3R3,VAV3,JUN,PIK3R2,MAPK1,INPPL1,PPP3R1,GSK3B,PIK3R1,PIK3CB,NFATC2,MAP2K1,IKBKB,PPP3CA,AKT3,PPP3CB	0.00277891389782111
Aldosterone synthesis and secretion	DOWN	5.24370741204283	423	10	15083	10	0.000347850649669912	CALM2,DAGLA,CACNA1G,ADCY1,ITPR1,CAMK2A,ADCY2,CAMK4,PLCB3,CAMK1D,ADCY5,KCNK3,PDE2A,CALM1,CAMK2B,ADCY6,LDLR,GNAQ,CACNA1H,ATF6B,PRKACB,CALM3,CACNA1S,CREB3L1,ADCY8,NR4A1,CREB1,CALML4,ATF4,ATF1,CREB3,PRKCB,PRKCE,PLCB4,CREB3L2,NPR1,CACNA1C,PRKD1,GNA11,CAMK2D,GNAS,PRKCA,PRKD3,ORAI1,CREB3L3,ATF2,CREB5,PRKACA,NR4A2,DAGLB,ADCY3,STAR,LIPE,ITPR2,CREB3L4,SCARB1,CAMK1,ADCY9,PRKD2,KCNK9,CYP11A1,CAMK1G,CACNA1D,ADCY4,CACNA1I,ADCY7,PLCB2,ITPR3	0.00288587205652075
Linoleic acid metabolism	UP	3.62502403383965	2972	10	15083	10	0.000389136461035999	CYP2E1,PLA2G4C,PLA2G4E,CYP3A13,CYP2J12,PLA2G16,PLA2G5,PLA2G4A,PLA2G3,PLA2G4B,PLA2G6,CYP2J6,CYP2J9,PLA2G12A	0.00316969335534777
Synaptic vesicle cycle	DOWN	2.52342233821856	2344	20	15083	20	0.000623626127963184	UNC13B,UNC13C,STX1B,CPLX2,SNAP25,ATP6V1G2,SLC17A7,CLTB,UNC13A,STX1A,DNM1,CACNA1A,ATP6V0A2,SLC32A1,ATP6V1B2,CPLX1,ATP6V1F,AP2S1,ATP6V1A,ATP6V1D,ATP6V0E2,ATP6V1H,AP2M1,CLTA,RAB3A,NSF,ATP6V1C1,ATP6V1E1,AP2A1,AP2B1,STXBP1,SLC18A1,SLC18A2,CLTC,ATP6V0A1,ATP6V0D1,CACNA1B,AP2A2,CPLX3,NAPA,VAMP2,STX3,STX2,DNM3,ATP6V0B,SYT1,ATP6V0E,ATP6V1G1,TCIRG1,DNM2,ATP6V0D2	0.00498900902370547
