Aging_across_tissues	Heart	Liver	Cerebellum	OB	NPCs
RIG-I-like receptor signaling pathway	38.2483965014577	0	6.94162067963985	2.25624532535527	9.3483282674772	0
Complement and coagulation cascades	6.58955251141553	14.7907969639469	7.13269054178145	10.1750396825397	9.97240335771157	0
Antigen processing and presentation	13.6348450491308	8.06148779961131	6.47020149282593	9.27412471064815	6.37644802653744	3.22762573964497
Cytosolic DNA-sensing pathway	5.87548042472803	0	4.87556099551204	2.86413267082318	22.6147058823529	0
Primary immunodeficiency	10.58	0	8.76849700379112	6.91246562786434	9.5634328358209	0
Cell adhesion molecules (CAMs)	5.29	6.69687449392713	6.10327398249414	5.07288147985669	4.64873035066505	0
Phagosome	4.04827902383975	5.83230149371069	4.25166034155598	6.34763307584746	4.827338882283	0
Hematopoietic cell lineage	6.33891821283856	3.23942470389171	6.30659407810677	7.04154995331466	1.90150410267466	0
Natural killer cell mediated cytotoxicity	5.5176902968657	2.79735776688685	5.89167488378645	5.32689945335053	4.17385511251481	0
Osteoclast differentiation	4.57293438554418	1.79563964895154	4.13031559877956	3.73614153108052	4.14120517044734	0
NOD-like receptor signaling pathway	5.26301476301476	2.04110358737934	2.03909925235215	2.81160195331838	6.0720893501805	0
Fc gamma R-mediated phagocytosis	6.46805218446602	2.25151904523379	4.70229458203192	3.69003058103976	0	0
Intestinal immune network for IgA production	5.67190850607577	2.81958762886598	5.01632462686567	3.15053721327955	0	0
Chemokine signaling pathway	3.78817278817279	2.78908661065142	2.87412960714265	4.7530462184874	2.06636085626911	0
Jak-STAT signaling pathway	5.50071278825996	2.49069511839518	3.23057274964576	3.46167213114754	1.46100587851078	0
Leukocyte transendothelial migration	3.29128959276018	2.49670601461495	4.81706848894349	4.86077989042862	0	0
Cytokine-cytokine receptor interaction	1.88541891085663	1.94774048279835	3.37682298128084	4.25791814701589	2.14154411764706	0
Th17 cell differentiation	3.46116504854369	2.05694332527532	2.87873191257006	3.37500437035431	1.51082900436318	0
Platelet activation	3.27886678406915	1.87413510527057	2.01522561372233	4.51774690074049	0	0
Th1 and Th2 cell differentiation	3.247363477946	1.7726363360798	2.5686089809646	3.39202323216521	0	0
Lysosome	3.26679814338931	1.46574757281553	2.31627970328151	2.86500054271139	0	0
Rap1 signaling pathway	2.11306373277827	2.28007145692735	1.89948630482611	2.28725759588497	0	-1.38881996681271
Ribosome	1.5426574836217	1.79270957193817	-1.747563350187	1.88935573595573	0	2.31660829493088
Focal adhesion	1.66328381361494	3.4230932103703	2.13223172552899	-1.73947641563833	0	0
Oxidative phosphorylation	-1.74718073722317	-2.09983836517924	-1.84797510951904	-1.33908827861821	-1.58498945888967	0
Adrenergic signaling in cardiomyocytes	0	-9.13923267326733	1.87859324469996	-2.86714164056084	0	-10.0004774409167
Citrate cycle (TCA cycle)	-10.4044411908248	-5.67551209469892	-2.7557719959847	-2.08411889335831	0	0
Drug metabolism - cytochrome P450	-19.0317214700193	0	-16.9359410430839	5.51698038884668	3.94813863928113	0
Metabolism of xenobiotics by cytochrome P450	-24.4852556924225	0	-22.0167233560091	2.57446382189239	3.06424187677675	0
