Mouse_heart	Mouse_liver	Mouse_cerebellum	Rat_heart	Rat_liver	Rat_whole_brain	Human_heart	Human_liver	Human_cerebellum	Killifish_liver	Killifish_whole_brain
RIG-I-like receptor signaling pathway	0	6.94162067963985	2.25624532535527	0	0	0	0	-5.52055660974067	24.1494789081886	0	0
Complement and coagulation cascades	14.7907969639469	7.13269054178145	10.1750396825397	8.81526439176869	5.98119034250421	10.490625	2.06198325897264	0	0	3.95428022935664	1.50476897689769
Antigen processing and presentation	8.06148779961131	6.47020149282593	9.27412471064815	1.7740444002196	3.72399930082154	2.63446946830741	0	1.97506125442827	0	0	0
Cytosolic DNA-sensing pathway	0	4.87556099551204	2.86413267082318	0	0	3.09247448979592	0	-6.69376485926835	24.7049753963915	0	0
Primary immunodeficiency	0	8.76849700379112	6.91246562786434	0	2.4489057675404	2.9142570951586	0	1.64455476039496	0	0	0
Cell adhesion molecules (CAMs)	6.69687449392713	6.10327398249414	5.07288147985669	2.2031616788197	2.86111836460626	6.33580139372822	2.23028431630189	1.64935985260075	0	1.69158911325724	-2.19795423389223
Phagosome	5.83230149371069	4.25166034155598	6.34763307584746	1.844630392734	2.88753176556008	3.86101035123419	1.79810809445562	0	-1.62597360537608	1.38277452727106	0
Hematopoietic cell lineage	3.23942470389171	6.30659407810677	7.04154995331466	0	1.91111070595099	3.88786438348319	1.74085523359108	2.42354683450574	0	2.12866001541431	0
Natural killer cell mediated cytotoxicity	2.79735776688685	5.89167488378645	5.32689945335053	1.63970049057578	3.12456534594914	0	1.67401840579292	-4.42933265668612	16.4573863636364	1.69133436540238	0
Osteoclast differentiation	1.79563964895154	4.13031559877956	3.73614153108052	3.21186961869619	1.71599788996428	24.7187765505523	1.54839863999832	0	-2.82082912181554	1.85139201838886	1.53749789242961
NOD-like receptor signaling pathway	2.04110358737934	2.03909925235215	2.81160195331838	0	2.19576003067926	1.57547285536676	1.40037546865463	-3.14620981435632	5.14098854034032	1.99029711441238	1.86484386183767
Fc gamma R-mediated phagocytosis	2.25151904523379	4.70229458203192	3.69003058103976	1.44177002661145	3.1601977750309	0	1.81775321799004	0	0	1.64172608107289	0
Intestinal immune network for IgA production	2.81958762886598	5.01632462686567	3.15053721327955	0	0	17.8563829787234	3.95365659777425	2.26007532956686	0	5.40403889304413	0
Chemokine signaling pathway	2.78908661065142	2.87412960714265	4.7530462184874	1.65138339920949	2.10818834006762	0	1.49698682172353	3.25949637217243	-2.72381795300853	1.43414053195713	0
Jak-STAT signaling pathway	2.49069511839518	3.23057274964576	3.46167213114754	0	20.3984042553191	1.83427202420982	1.70971759479613	-4.39791894990111	11.9690082644628	1.77631578947368	0
Leukocyte transendothelial migration	2.49670601461495	4.81706848894349	4.86077989042862	1.80024129610479	3.29265893923428	3.07706590204005	2.0436380890627	0	0	1.7075381941268	0
Cytokine-cytokine receptor interaction	1.94774048279835	3.37682298128084	4.25791814701589	1.50256386459083	2.50553815506834	0	1.5810067615584	0	7.61941972920696	1.96854055035873	1.33148472723281
Th17 cell differentiation	2.05694332527532	2.87873191257006	3.37500437035431	0	2.83167721518987	3.59608253718972	1.59287156390744	0	0	1.62161226280068	1.4855587808418
Platelet activation	1.87413510527057	2.01522561372233	4.51774690074049	1.66661680378958	1.53555564260253	0	1.58651610760545	0	0	1.75457756006855	0
Th1 and Th2 cell differentiation	1.7726363360798	2.5686089809646	3.39202323216521	0	2.48849810194348	2.38718453645644	1.6965846625214	0	0	1.6413929560744	0
Lysosome	1.46574757281553	2.31627970328151	2.86500054271139	1.59397084738783	2.05165285825765	3.70240992603197	0	0	0	0	1.78463167071424
Rap1 signaling pathway	2.28007145692735	1.89948630482611	2.28725759588497	1.7754684180027	0	0	1.85480434285133	0	0	1.66963878140452	0
Ribosome	1.79270957193817	-1.747563350187	1.88935573595573	-1.58366643694004	1.49523021470532	4.75273624569036	0	0	-1.86590294862278	1.83707499988945	2.0849058076806
Focal adhesion	3.4230932103703	2.13223172552899	-1.73947641563833	1.50787883236683	0	0	1.60394760554296	0	0	1.36862293824319	-1.63682257403793
Oxidative phosphorylation	-2.09983836517924	-1.84797510951904	-1.33908827861821	-1.97725361862807	-2.05459022886566	0	-2.5286298615765	0	-1.97362377603553	-1.84304157588635	-1.62573592529694
Adrenergic signaling in cardiomyocytes	-9.13923267326733	1.87859324469996	-2.86714164056084	-3.07885040530582	0	-1.83504331006644	0	0	-1.80766455387616	0	-1.53858873134637
Citrate cycle (TCA cycle)	-5.67551209469892	-2.7557719959847	-2.08411889335831	-11.0076112412178	-2.69381439868679	0	-3.10081047381546	0	0	-2.33619047619048	-2.51374265832097
Drug metabolism - cytochrome P450	0	-16.9359410430839	5.51698038884668	10.5505050505051	-6.52526799387443	0	0	6.71627738547891	2.71569207994078	-2.83392469225199	0
Metabolism of xenobiotics by cytochrome P450	0	-22.0167233560091	2.57446382189239	10.7128205128205	0	2.97850122850123	0	36.9830508474576	2.57286115007013	-2.56043281043281	0
