Mouse_heart	Mouse_liver	Mouse_cerebellum	Rat_heart	Rat_liver	Rat_whole_brain	Human_heart	Human_liver	Human_cerebellum	Killifish_liver	Killifish_whole_brain
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.251091825	12.7108791371889	5.23214823347689	0	3.0294033008887	5.72902861252376	1.68557336137619	0	0	0	0
HALLMARK_ALLOGRAFT_REJECTION	4.34107453	6.68295339151422	8.57318153702125	1.67804001071032	3.30402375130981	2.31014768937589	1.77739630611603	0	0	1.73694621883371	1.33495844797574
HALLMARK_INFLAMMATORY_RESPONSE	2.059094168	6.44413287316652	3.28240158622691	2.77611453788677	2.70278543849972	2.17221469457733	1.93951603057163	-1.57775718741436	0	2.14110050533408	1.35277145348753
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.667198746	4.51100528485975	7.15512333965844	2.99400169863402	3.11155498281787	2.57539799013236	1.97429487179487	-2.03370930530633	0	2.23296350094261	1.54461519259872
HALLMARK_KRAS_SIGNALING_UP	3.435060963	3.09944713671422	3.20451262003909	2.57457445818994	1.81568869295053	4.46866680319476	2.69058402295307	0	0	1.47007916374325	1.32870876736111
HALLMARK_COMPLEMENT	1.964623076	2.5656731497853	3.16038068770815	9.24531085353003	3.46711518615543	2.9417168609438	2.06963717585369	0	0	1.42904187619599	0
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.836296296	2.59399149083963	2.4098166882286	1.27623936700537	3.23068174638276	2.50310599278302	1.82523120345904	-6.85507246376812	0	1.62983014143602	1.32200121777958
HALLMARK_COAGULATION	2.376125591	2.35095841721807	2.97587305166436	2.87097262386342	2.72250974378634	1.85925686281558	2.1566616723569	0	0	2.26259210049523	0
HALLMARK_IL2_STAT5_SIGNALING	2.034814956	2.37535391537059	2.56199486470472	1.82687402527365	2.02788882543309	1.78937699141731	1.75187363302902	-7.74255952380952	0	1.83483637039792	1.46084784640218
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.573252688	4.16452677916361	2.25230337330327	2.7344267419484	1.68434132920037	2.6346803319732	2.10743264428996	-2.36268107228091	-5.6979843225084	2.14802922940655	1.44227740700502
HALLMARK_APOPTOSIS	2.91208234	2.84195891187824	2.27428942591529	2.36154040666974	2.50779315663433	1.88066730692108	1.96133683977282	0	-2.03244162321469	0	0
HALLMARK_APICAL_JUNCTION	7.17594532	2.82907196969697	-1.72316805787153	1.71836684785629	1.57000009269387	0	1.34210962079815	0	-1.3999500687828	2.25367496937526	-1.41476058760428
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3.287888756	1.76195751714884	1.74375390576178	4.02678992918961	2.31301816028425	0	2.27652036822267	1.49676896429206	-2.14343485403766	1.5861553159051	-2.00138270087571
HALLMARK_P53_PATHWAY	1.333466173	0	1.35023487303036	1.97740994678674	1.45595913068967	0	1.7975160789532	0	0	0	1.60681923305654
HALLMARK_ANGIOGENESIS	5.879257398	0	0	0	2.10764649971874	0	2.75221569493022	0	0	5.00320512820513	0
HALLMARK_XENOBIOTIC_METABOLISM	2.110661204	-2.09318619723244	1.64437962626475	4.08436221441761	0	1.42900334430638	2.24601797633678	0	0	-1.53348477026329	1.64192880654247
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.734483135	1.58489464982007	-1.28665263876251	1.42127393624385	5.06909884009121	0	1.53394842678022	0	0	0	0
HALLMARK_MYC_TARGETS_V1	0	-1.58817177506437	0	-1.406285430839	0	1.41640936465229	-1.55502305293807	-1.38444219295283	-1.6264986379288	-1.39210729526519	0
HALLMARK_ADIPOGENESIS	-2.95409541	-2.10188066567447	0	-4.11760840998686	-2.69512966476913	1.48580606899278	-1.89558898961631	0	0	-2.02241667119049	0
HALLMARK_FATTY_ACID_METABOLISM	-3.794438256	-2.6285169623901	0	-2.75645333410245	-2.60716094185163	1.9629640600316	-2.5898137937948	1.3753553889894	0	-1.81565265121291	-1.3880290881969
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-4.060223447	-2.11534664587858	-1.30862857263678	-4.3324381175454	-2.59588438367292	0	-1.91510289943912	0	-1.57592264909898	-2.11912868117162	-1.44421971809804
HALLMARK_PEROXISOME	-2.618739478	-2.56013956050682	0	-1.72000334700025	-3.07482653344435	0	-1.92084370186041	0	0	-1.70243945243945	0
