Cell type	Notes	STAR mapped file	read counts	Bulk_Single
Adipocytes	Classical brown adipocyte	ERR525589Aligned.out.bam	ERR525589Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	Classical brown adipocyte	ERR525592Aligned.out.bam	ERR525592Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	cultured brown adipocyte	SRR275532Aligned.out.bam	SRR275532Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	primary brown adipocyte	SRR275534Aligned.out.bam	SRR275534Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	cultured brown adipocyte	SRR278172Aligned.out.bam	SRR278172Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	rosiglitazone-treated adipocyte (beige cell)	ERR525591Aligned.out.bam	ERR525591Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	rosiglitazone-treated adipocyte (beige cell)	ERR525593Aligned.out.bam	ERR525593Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	inguinal white adipocyte	ERR525590Aligned.out.bam	ERR525590Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	inguinal white adipocyte	ERR525594Aligned.out.bam	ERR525594Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	gonadal white adipose tissue, male	SRR1873549Aligned.out.bam	SRR1873549Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	gonadal white adipose tissue, male	SRR1873550Aligned.out.bam	SRR1873550Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	gonadal white adipose tissue, male	SRR1873551Aligned.out.bam	SRR1873551Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	gonadal white adipose tissue, male	SRR1873552Aligned.out.bam	SRR1873552Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	cultured White_adipocytes	SRR275529Aligned.out.bam	SRR275529Aligned.out_counts_genes_mm9.txt	Bulk
Adipocytes	primary White_adipocytes	SRR275533Aligned.out.bam	SRR275533Aligned.out_counts_genes_mm9.txt	Bulk
aNSCs	aNSCs SVZ, 3m	PGE_young_DAligned.out.bam	PGE_young_DAligned.out_counts_genes_mm9.txt	Bulk
aNSCs	aNSCs SVZ, 3m	PGE_young_EAligned.out.bam	PGE_young_EAligned.out_counts_genes_mm9.txt	Bulk
aNSCs	aNSCs SVZ, 3m	PGE_young_FAligned.out.bam	PGE_young_FAligned.out_counts_genes_mm9.txt	Bulk
aNSCs	NSCs hippocampus; LPA1-GFP+EGFR+Prominin1+, rep1	SRR1997853Aligned.out.bam	SRR1997853Aligned.out_counts_genes_mm9.txt	Bulk
aNSCs	NSCs hippocampus; LPA1-GFP+EGFR+Prominin1+, rep2	SRR1997854Aligned.out.bam	SRR1997854Aligned.out_counts_genes_mm9.txt	Bulk
aNSCs	NSCs hippocampus; LPA1-GFP+EGFR+Prominin1+, rep3	SRR1997855Aligned.out.bam	SRR1997855Aligned.out_counts_genes_mm9.txt	Bulk
aNSCs	NSCs hippocampus; LPA1-GFP+EGFR+Prominin1+, rep4	SRR1997856Aligned.out.bam	SRR1997856Aligned.out_counts_genes_mm9.txt	Bulk
aNSCs	Steve_quake Striatum scRNAseq	GSM2189465Aligned.out.bam	GSM2189465Aligned.out_counts_genes_mm9.txt	Single
aNSCs	Steve_quake Striatum scRNAseq	GSM2189469Aligned.out.bam	GSM2189469Aligned.out_counts_genes_mm9.txt	Single
aNSCs	Steve_quake Striatum scRNAseq	GSM2189476Aligned.out.bam	GSM2189476Aligned.out_counts_genes_mm9.txt	Single
aNSCs	Steve_quake Striatum scRNAseq	GSM2189489Aligned.out.bam	GSM2189489Aligned.out_counts_genes_mm9.txt	Single
