Input Sample,Adipocytes,aNSCs,Astrocytes,Endothelial_cells,Erythrocytes,Granulocytes,Macrophages,Microglia,Monocytes,Neurons,NK_cells,NPCs,Oligodendrocytes,qNSCs,T_cells,Cardiomyocytes,Hepatocytes,B_cells,Cardiac_Fibroblasts,Dermal_Fibroblasts,Ependymal,P-value,Pearson Correlation,RMSE
Neuron_Astrocytes.50_50,0.0033620177798365,0.0064943303310338,0.38674911546033,0.0007,0.0001,0,0,0.0021869135967747,0.0003,0.48244739260561,0,0.037031145442601,0,0.067594294176167,0,0.0005,0.0002,0,0.0012311331752083,0.0043987007532001,0.0067322509453137,0,0.8561772897830251,0.6783772519924136
Neuron_Astrocytes.30_70,0.0024020893419468,0,0.23159808265233,0.0011681116393125,0.0001,0,0,0.0012559912048201,0.0005,0.65004115960364,0.0001,0.053352885533024,0,0.035984353901377,0,0.0003,0.0002,0,0.0018640939833885,0.0060309460451075,0.015110162669266,0,0.8760138649576549,0.667501726550212
Neuron_Astrocytes.70_30,0.0040604879441382,0.0033861256945121,0.55458844769067,0.0007,0,0,0,0.0038279237835635,0.0003,0.28591504074737,0.0002,0.03956483912187,0,0.095441805734043,0,0.0007,0.0003,0,0.0006,0.002953919421308,0.0074067929935663,0,0.8349954518524799,0.6606162010097532
Neuron_Astrocytes.Microglia_0.1,0.0033684189233515,0.0091480797649143,0.38708406477355,0.0007,0.0001,0,0,0.003075728389879,0.0002,0.48175580305257,0,0.03392521060874,0,0.067667776220424,0,0.0005,0.0001,0,0.0011464178468124,0.0044066998161076,0.0068326287056965,0,0.85631924027355,0.6759578816794909
Neuron_Astrocytes.Microglia_1,0.003329629841493,0.0099004134277485,0.38075479661926,0.0006,0.0001,0,0.0001,0.01189971275123,0.0001,0.47923549248967,0,0.034954419780336,0,0.067027359464936,0,0.0004,0.0001,0,0.0010848192770804,0.0043690561893081,0.0059221671166479,0,0.8556274002732415,0.6536372305336793
Neuron_Astrocytes.Microglia_5,0.0031870033952272,0.0076134337492822,0.3730037678519,0.0007,0.0002,0.0001,0,0.049012338529553,0.0003,0.45925474942349,0,0.030348189891077,0,0.065162844690288,0,0.0004,0.0003,0,0.0008,0.0040507739716255,0.0055453347630548,0,0.8564065130186602,0.6139058498816828
Neuron_Astrocytes.Microglia_10,0.0029955443209194,0.01085712967555,0.35421367879599,0.001005008283923,0.0003,0.0002,0.0001,0.095251348543816,0.0002,0.43346578864542,0.0002,0.028853382609776,0.0012754462597159,0.061953714202396,0,0.0004,0.0004,0.0001,0.0007,0.0038051586536987,0.0039970161839909,0,0.8543685071524242,0.6011750500693982
Neuron_Astrocytes.Microglia_15,0.0027597829018111,0.012713413527558,0.33926148137148,0.0011143897062004,0.0003,0.0002,0,0.14479115727971,0.0002,0.40215707235557,0.0001,0.024839740266566,0.0040610036587415,0.058697383710056,0,0.0003,0.0005,0.0001,0.0009,0.003511319261611,0.0035285902064335,0,0.849048971955753,0.6022959712942831
Neuron_Astrocytes.Microglia_20,0.0026187745859196,0.012028328898603,0.31854978912429,0.0011468074519655,0.0003,0.0003,0,0.18896580942511,0.0002,0.38197980190634,0.0002,0.026123179578802,0.0048346901749227,0.053458983432366,0,0.0003,0.0004,0.0001,0.001214416991997,0.003268582106515,0.0039212697697336,0,0.8462803546112265,0.6153579255456524
Cardiomyocytes_CardiacFibro.90_10,0.0004,0.0055337391635095,0,0.013073412249993,0.0008,0,0.0031373406267741,0.0004,0.0008,0.0001,0,0.012495175826438,0.0002,0,0,0.80793978809969,0,0.0010748344110302,0.12831426663528,0.025733167413652,0,0,0.9028719140421639,0.7751558106420358
