Input Sample,Adipocytes,aNSCs,Astrocytes,Endothelial_cells,Erythrocytes,Granulocytes,Macrophages,Microglia,Monocytes,Neurons,NK_cells,NPCs,Oligodendrocytes,qNSCs,T_cells,Cardiomyocytes,Hepatocytes,B_cells,Cardiac_Fibroblasts,Dermal_Fibroblasts,Ependymal,P-value,Pearson Correlation,RMSE
Adipocytes,0.89966304596783,0,0.0018970878325924,0,0,0.0003,0,0,0.004314054926082,0,0.0018416491999218,0,0.0011589007714519,0,0,0,0,0,0.031762762931228,0.058282945030571,0.0007,0,0.9678888176180463,0.25657759846751627
aNSCs,0,0.2099873458635,0,0,0.0007,0.0002,0,0,0,0,0,0.76597763153443,0,0.015659913615996,0.0065586038504677,0.0003,0,0,0,0.0007,0,0,0.8294487827635937,0.7919045046118427
Astrocytes,0.0002,0.0082823667627488,0.95057524600221,0,0,0,0,0,0,0.036951202539264,0,0,0.0036098720619489,0,0.0002,0.0001,0,0,0,0.0001,0,0,0.9535142986700327,0.5396870424019508
Endothelial_cells,0.0002,0,0,0.99611186698451,0,0,0.0002,0,0,0,0.0003,0,0,0.0001,0,0,0.0001,0.0009,0.002044689587748,0,0,0,0.4420481324661836,0.9062086534181519
Erythrocytes,0.0026626323479031,0.0292607781632,0,0.0045431916002107,0.72026713448888,0.10857492931938,0,0,0.004125987857734,0,0,0.088765786747581,0.0005,0,0.037572081964588,0.0006,0.0008,0,0,0.0013543596990002,0.001,0,0.7116394514392579,0.717857438154684
Granulocytes,0.0002,0,0,0,0.020731305166894,0.96808489407084,0,0,0,0.0010238409564986,0,0.0080390925135526,0,0.0012993827397119,0,0.0003,0,0,0,0.0004,0,0,0.9693830354310655,0.32601725440612284
Macrophages,0,0,0.0001,0.0001,0.0003,0.0002,0.99810255287968,0,0,0.0001,0,0.0009,0,0.0001,0,0,0,0,0,0.0001,0,0,0.5215757436556151,0.9059676613342511
Microglia,0,0.019339503826738,0,0,0.0006,0,0.10983691963669,0.86722821814382,0,0.0005,0,0,0,0,0,0,0.0004,0,0,0.0021217510485658,0,0,0.3355442364590235,0.9449617984882561
Monocytes,0.0006,0.0055850647149955,0,0,0,0.82063128424539,0.0022656117703222,0.017101413229503,0.10009764702662,0,0.001923663646752,0.021145923255331,0,0,0.019573452637223,0.0007,0,0,0.0027188707044903,0.0070448862044659,0.0006,0,0.942552286695877,0.3371991703800076
Neurons,0.0021049070811821,0,0.090172115365475,0.0023665579783059,0.0025000254254287,0,0.011690073464444,0.011088928226895,0.0007,0.55736739609571,0,0.30201171224241,0.0009,0,0.014788180083536,0,0.0004,0.0004,0.0010416368115942,0,0.002494948679208,0,0.3330518342174843,0.9472476063477677
NK_cells,0,0.0002,0,0.0001,0.0008,0.0001,0,0,0.0010996080065209,0,0.98623797019096,0.0004,0,0,0.011130300545536,0,0,0,0,0,0,0,0.8494512872084147,0.7373281106029276
NPCs,0.0036799468621572,0,0.03612722280403,0,0.0001,0,0.0086518558476276,0.0035571491424456,0,0.0021950761143712,0,0.94489213719695,0,0,0,0,0,0.0003,0,0.0005,0,0,0.4673789491061175,0.9109011531555689
Oligodendrocytes,0.0098677624638307,0,0.010846962962887,0,0.0043961739618773,0.0002,0.0023358951726989,0.0048276121647204,0,0.0003,0,0.014049891254886,0.9425414398426,0.0052614728966346,0.005273346343374,0,0,0.0002,0,0,0,0,0.6623465676254685,0.83030774194459
qNSCs,0.0002,0.0076024578876005,0.093579166114757,0.001416317601966,0,0,0,0,0,0,0,0,0,0.8928399861954,0,0,0,0,0,0,0.0042058635500514,0,0.9451586091220648,0.4205967653887843
T_cells,0,0,0,0,0.0017393970974442,0.0003,0,0.0001,0.0011277572018135,0,0.0003,0,0,0.0002,0.99449038009537,0,0,0.0016545047476115,0,0,0,0,0.7931350352952877,0.8300305130606691
Cardiomyocytes,0.001172421279664,0,0.0004,0.039504197933428,0.0006,0.0001,0.0047647397630019,0.0060079537071829,0.0009,0.0001,0.0003,0,0,0,0,0.91226609893051,0,0.0017313521861674,0.03204989193977,0,0.0001,0,0.528906332681655,1.289948132684556
Hepatocytes,0.0010466689954971,0,0,0,0,0.0001,0.0029383175856483,0,0,0.0003,0.0006,0,0,0.0005,0,0,0.9925839155595,0,0.0018828889846249,0,0,0,0.9794480465809268,0.28525270412361886
B_cells,0.008183325763699,0.0029017960895081,0.0006,0.001018998436359,0,0.0002,0,0.0006,0,0.0003,0,0,0.0001,0,0.0039556561065647,0,0,0.98215715270535,0,0,0,0,0.9808811793681607,0.19487847418029092
Cardiac_Fibroblasts,0,0.031566016101946,0,0.0016824586887779,0.0023283857022529,0,0,0.0074833546979781,0.0009,0,0,0,0,0.010512546634674,0.035021044728031,0.021946798749243,0.0011851695417551,0.0005,0.099871658796856,0.78702792132241,0,0,0.8789495558270929,0.47903362883450734
Dermal_Fibroblasts,0,0,0,0.0028990510377381,0,0.0004,0.006930914320833,0.0071268631487961,0,0.0037303700738274,0.0015829922148001,0,0,0.0088652496696413,0,0,0.0005,0,0,0.96802200967913,0,0,0.957785764912178,0.2903628223437072
