Gene stable ID	Transcript stable ID	Gene name	Mouse gene stable ID	Mouse gene name
ENSRNOG00000030644	ENSRNOT00000047550	Mt-nd1	ENSMUSG00000064341	mt-Nd1
ENSRNOG00000031033	ENSRNOT00000040993	Mt-nd2	ENSMUSG00000064345	mt-Nd2
ENSRNOG00000034234	ENSRNOT00000050156	Mt-co1	ENSMUSG00000064351	mt-Co1
ENSRNOG00000030371	ENSRNOT00000043693	Mt-co2	ENSMUSG00000064354	mt-Co2
ENSRNOG00000033299	ENSRNOT00000046201	Mt-atp8	ENSMUSG00000064356	mt-Atp8
ENSRNOG00000031979	ENSRNOT00000046108	Mt-atp6	ENSMUSG00000064357	mt-Atp6
ENSRNOG00000030700	ENSRNOT00000049683	Mt-cox3	ENSMUSG00000064358	mt-Co3
ENSRNOG00000033615	ENSRNOT00000041241	Mt-nd3	ENSMUSG00000064360	mt-Nd3
ENSRNOG00000031053	ENSRNOT00000044582	Mt-nd4l	ENSMUSG00000065947	mt-Nd4l
ENSRNOG00000029707	ENSRNOT00000042928	Mt-nd4	ENSMUSG00000064363	mt-Nd4
ENSRNOG00000029971	ENSRNOT00000048767	Mt-nd5	ENSMUSG00000096449	Gm4076
ENSRNOG00000029971	ENSRNOT00000048767	Mt-nd5	ENSMUSG00000064367	mt-Nd5
ENSRNOG00000029042	ENSRNOT00000051268	Mt-nd6	ENSMUSG00000064368	mt-Nd6
ENSRNOG00000031766	ENSRNOT00000042098	Mt-cyb	ENSMUSG00000064370	mt-Cytb
ENSRNOG00000018762	ENSRNOT00000067916	Rsph3	ENSMUSG00000023806	Rsph3b
ENSRNOG00000018762	ENSRNOT00000067916	Rsph3	ENSMUSG00000073471	Rsph3a
ENSRNOG00000000415	ENSRNOT00000000471	Asf1a	ENSMUSG00000019857	Asf1a
ENSRNOG00000000415	ENSRNOT00000084420	Asf1a	ENSMUSG00000019857	Asf1a
ENSRNOG00000013102	ENSRNOT00000017829	Entpd2	ENSMUSG00000015085	Entpd2
ENSRNOG00000058883	ENSRNOT00000072054	NEWGENE_1589866	ENSMUSG00000043230	Fam124b
ENSRNOG00000040242	ENSRNOT00000061930	Epm2a	ENSMUSG00000055493	Epm2a
ENSRNOG00000007027	ENSRNOT00000009763	Hgf	ENSMUSG00000028864	Hgf
ENSRNOG00000056734	ENSRNOT00000082727	SNORA17	ENSMUSG00000094031	Gm24656
ENSRNOG00000014268	ENSRNOT00000020339	Abca2	ENSMUSG00000026944	Abca2
ENSRNOG00000003508	ENSRNOT00000005273	Ergic1	ENSMUSG00000001576	Ergic1
ENSRNOG00000014185	ENSRNOT00000018987	Tktl2	ENSMUSG00000025519	Tktl2
ENSRNOG00000050854	ENSRNOT00000071707	Clcn2	ENSMUSG00000022843	Clcn2
ENSRNOG00000050854	ENSRNOT00000073435	Clcn2	ENSMUSG00000022843	Clcn2
ENSRNOG00000033391	ENSRNOT00000048033	Ascl5	ENSMUSG00000097918	Ascl5
ENSRNOG00000038902	ENSRNOT00000059467	RGD1565641	ENSMUSG00000078784	1810022K09Rik
ENSRNOG00000033540	ENSRNOT00000043686	Cts7	ENSMUSG00000021440	Cts7
ENSRNOG00000001452	ENSRNOT00000001973	Fzd9	ENSMUSG00000049551	Fzd9
ENSRNOG00000017462	ENSRNOT00000023584	Spata5	ENSMUSG00000027722	Spata5
ENSRNOG00000017462	ENSRNOT00000078650	Spata5	ENSMUSG00000027722	Spata5
ENSRNOG00000005491	ENSRNOT00000007309	Best3	ENSMUSG00000020169	Best3
ENSRNOG00000019804	ENSRNOT00000026875	B3gat3	ENSMUSG00000071649	B3gat3
ENSRNOG00000042286	ENSRNOT00000068623	Nsl1	ENSMUSG00000062510	Nsl1
ENSRNOG00000003073	ENSRNOT00000004104	Gpr161	ENSMUSG00000040836	Gpr161
ENSRNOG00000021693	ENSRNOT00000034448	Fam149a	ENSMUSG00000070044	Fam149a
ENSRNOG00000005151	ENSRNOT00000006953	Dync2li1	ENSMUSG00000024253	Dync2li1
ENSRNOG00000005151	ENSRNOT00000068030	Dync2li1	ENSMUSG00000024253	Dync2li1
ENSRNOG00000006703	ENSRNOT00000008743	Zfp398	ENSMUSG00000062519	Zfp398
ENSRNOG00000018567	ENSRNOT00000025294	Slc20a1	ENSMUSG00000027397	Slc20a1
ENSRNOG00000004356	ENSRNOT00000005768	Lrrc52	ENSMUSG00000040485	Lrrc52
ENSRNOG00000025619	ENSRNOT00000033977	Ap1g2	ENSMUSG00000040701	Ap1g2
ENSRNOG00000003633	ENSRNOT00000004880	Rcvrn	ENSMUSG00000020907	Rcvrn
ENSRNOG00000015444	ENSRNOT00000020699	Olr49	ENSMUSG00000043310	Olfr571
ENSRNOG00000018767	ENSRNOT00000025550	Rbm17	ENSMUSG00000037197	Rbm17
ENSRNOG00000019575	ENSRNOT00000026526	Rell2	ENSMUSG00000044024	Rell2
ENSRNOG00000030830	ENSRNOT00000040170	Mex3d	ENSMUSG00000048696	Mex3d
ENSRNOG00000001959	ENSRNOT00000039876	Mx1	ENSMUSG00000000386	Mx1
ENSRNOG00000057255	ENSRNOT00000083040	7SK	ENSMUSG00000084643	Gm24385
ENSRNOG00000009450	ENSRNOT00000012644	Hcn4	ENSMUSG00000032338	Hcn4
ENSRNOG00000008345	ENSRNOT00000011287	Clcn6	ENSMUSG00000029016	Clcn6
