Mouse.Ensembl.Gene.ID	Human.Ensembl.Gene.ID	Gencode19	Human_Symbol	Mouse_Symbol
ENSMUSG00000000001	ENSG00000065135	ENSG00000065135.7	GNAI3	Gnai3
ENSMUSG00000000028	ENSG00000093009	ENSG00000093009.5	CDC45	Cdc45
ENSMUSG00000000037	ENSG00000102098	ENSG00000102098.13	SCML2	Scml2
ENSMUSG00000000049	ENSG00000091583	ENSG00000091583.6	APOH	Apoh
ENSMUSG00000000056	ENSG00000141562	ENSG00000141562.13	NARF	Narf
ENSMUSG00000000058	ENSG00000105971	ENSG00000105971.10	CAV2	Cav2
ENSMUSG00000000078	ENSG00000067082	ENSG00000067082.10	KLF6	Klf6
ENSMUSG00000000085	ENSG00000010803	ENSG00000010803.12	SCMH1	Scmh1
ENSMUSG00000000088	ENSG00000178741	ENSG00000178741.7	COX5A	Cox5a
ENSMUSG00000000093	ENSG00000121068	ENSG00000121068.9	TBX2	Tbx2
ENSMUSG00000000094	ENSG00000121075	ENSG00000121075.5	TBX4	Tbx4
ENSMUSG00000000103	ENSG00000067646	ENSG00000067646.7	ZFY	Zfy2
ENSMUSG00000000120	ENSG00000064300	ENSG00000064300.4	NGFR	Ngfr
ENSMUSG00000000125	ENSG00000108379	ENSG00000108379.5	WNT3	Wnt3
ENSMUSG00000000126	ENSG00000143816	ENSG00000143816.7	WNT9A	Wnt9a
ENSMUSG00000000127	ENSG00000151422	ENSG00000151422.8	FER	Fer
ENSMUSG00000000131	ENSG00000169180	ENSG00000169180.7	XPO6	Xpo6
ENSMUSG00000000134	ENSG00000068323	ENSG00000068323.12	TFE3	Tfe3
ENSMUSG00000000142	ENSG00000168646	ENSG00000168646.8	AXIN2	Axin2
ENSMUSG00000000148	ENSG00000106009	ENSG00000106009.11	BRAT1	Brat1
ENSMUSG00000000149	ENSG00000146535	ENSG00000146535.9	GNA12	Gna12
ENSMUSG00000000154	ENSG00000110628	ENSG00000110628.9	SLC22A18	Slc22a18
ENSMUSG00000000157	ENSG00000160255	ENSG00000160255.12	ITGB2	Itgb2l
ENSMUSG00000000159	ENSG00000183067	ENSG00000183067.5	IGSF5	Igsf5
ENSMUSG00000000167	ENSG00000150773	ENSG00000150773.6	PIH1D2	Pih1d2
ENSMUSG00000000168	ENSG00000150768	ENSG00000150768.11	DLAT	Dlat
ENSMUSG00000000171	ENSG00000204370	ENSG00000204370.4	SDHD	Sdhd
ENSMUSG00000000182	ENSG00000118972	ENSG00000118972.1	FGF23	Fgf23
ENSMUSG00000000183	ENSG00000111241	ENSG00000111241.2	FGF6	Fgf6
ENSMUSG00000000184	ENSG00000118971	ENSG00000118971.3	CCND2	Ccnd2
ENSMUSG00000000194	ENSG00000148358	ENSG00000148358.15	GPR107	Gpr107
ENSMUSG00000000197	ENSG00000102452	ENSG00000102452.11	NALCN	Nalcn
ENSMUSG00000000202	ENSG00000204347	ENSG00000204347.3	BTBD17	Btbd17
ENSMUSG00000000204	ENSG00000205045	ENSG00000205045.4	SLFN12L	Slfn4
ENSMUSG00000000204	ENSG00000172123	ENSG00000172123.8	SLFN12	Slfn4
ENSMUSG00000000214	ENSG00000180176	ENSG00000180176.10	TH	Th
ENSMUSG00000000215	ENSG00000254647	ENSG00000254647.2	INS	Ins2
ENSMUSG00000000216	ENSG00000166828	ENSG00000166828.2	SCNN1G	Scnn1g
ENSMUSG00000000223	ENSG00000102385	ENSG00000102385.8	DRP2	Drp2
ENSMUSG00000000244	ENSG00000064201	ENSG00000064201.11	TSPAN32	Tspan32
ENSMUSG00000000247	ENSG00000106689	ENSG00000106689.6	LHX2	Lhx2
ENSMUSG00000000248	ENSG00000069493	ENSG00000069493.10	CLEC2D	Clec2g
ENSMUSG00000000253	ENSG00000137198	ENSG00000137198.5	GMPR	Gmpr
ENSMUSG00000000263	ENSG00000145888	ENSG00000145888.6	GLRA1	Glra1
ENSMUSG00000000266	ENSG00000080561	ENSG00000080561.9	MID2	Mid2
ENSMUSG00000000275	ENSG00000121060	ENSG00000121060.10	TRIM25	Trim25
